wave,source,campaign,cluster_id,bin_id,pthat_min_GeV,pthat_max_GeV,shard_id,seed,n_events,dataset_split,split_salt,payload_sha256,delphes_card_sha256,remote_bundle,adler32,receipt_path
wave3,wave3_original,qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718,84901352,0,50,75,1033,1201033,10000,train,qcd-adaptive-wave3-trainval-v1,c9a3a1aaf1a57c9c0a2c09a53683d28f1126ca67a80ef444e2bf195e24a07758,1b2041245162de8360defdc502404e0696496c50773d4aa7f043798651a9517c,/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718/qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin00_pthat50to75_shard1033_seed1201033_bundle.tar.gz,ba1fb9b4,/uscms_data/d3/iturkmen/hh4b_delphes/condor_return/qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718/receipts/qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_84901352_job0_bin0_shard1033_receipt.json
wave3,wave3_exact_recovery,qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718,3591876,0,50,75,1034,1201034,10000,train,qcd-adaptive-wave3-trainval-v1,3e17b5a4872b7a141183599c2a5119fd716f671b65daefa88bb4733c13f6e6b9,1b2041245162de8360defdc502404e0696496c50773d4aa7f043798651a9517c,/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718/qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin00_pthat50to75_shard1034_seed1201034_bundle.tar.gz,7c06c8ec,/uscms_data/d3/iturkmen/hh4b_delphes/condor_return/qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_job1_recovery_238170f0d6cd/receipts/qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_job1_recovery_238170f0d6cd_3591876_job1_bin0_shard1034_receipt.json
wave3,wave3_original,qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718,84901352,0,50,75,1035,1201035,10000,validation,qcd-adaptive-wave3-trainval-v1,c9a3a1aaf1a57c9c0a2c09a53683d28f1126ca67a80ef444e2bf195e24a07758,1b2041245162de8360defdc502404e0696496c50773d4aa7f043798651a9517c,/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718/qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin00_pthat50to75_shard1035_seed1201035_bundle.tar.gz,ef149eed,/uscms_data/d3/iturkmen/hh4b_delphes/condor_return/qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718/receipts/qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_84901352_job2_bin0_shard1035_receipt.json
wave3,wave3_original,qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718,84901352,0,50,75,1036,1201036,10000,train,qcd-adaptive-wave3-trainval-v1,c9a3a1aaf1a57c9c0a2c09a53683d28f1126ca67a80ef444e2bf195e24a07758,1b2041245162de8360defdc502404e0696496c50773d4aa7f043798651a9517c,/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718/qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin00_pthat50to75_shard1036_seed1201036_bundle.tar.gz,6d34fc8b,/uscms_data/d3/iturkmen/hh4b_delphes/condor_return/qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718/receipts/qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_84901352_job3_bin0_shard1036_receipt.json
wave3,wave3_original,qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718,84901352,0,50,75,1037,1201037,10000,train,qcd-adaptive-wave3-trainval-v1,c9a3a1aaf1a57c9c0a2c09a53683d28f1126ca67a80ef444e2bf195e24a07758,1b2041245162de8360defdc502404e0696496c50773d4aa7f043798651a9517c,/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718/qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin00_pthat50to75_shard1037_seed1201037_bundle.tar.gz,13b545b8,/uscms_data/d3/iturkmen/hh4b_delphes/condor_return/qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718/receipts/qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_84901352_job4_bin0_shard1037_receipt.json
wave3,wave3_original,qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718,84901352,0,50,75,1038,1201038,10000,train,qcd-adaptive-wave3-trainval-v1,c9a3a1aaf1a57c9c0a2c09a53683d28f1126ca67a80ef444e2bf195e24a07758,1b2041245162de8360defdc502404e0696496c50773d4aa7f043798651a9517c,/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718/qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin00_pthat50to75_shard1038_seed1201038_bundle.tar.gz,d0573e0d,/uscms_data/d3/iturkmen/hh4b_delphes/condor_return/qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718/receipts/qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_84901352_job5_bin0_shard1038_receipt.json
wave3,wave3_original,qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718,84901352,0,50,75,1039,1201039,10000,validation,qcd-adaptive-wave3-trainval-v1,c9a3a1aaf1a57c9c0a2c09a53683d28f1126ca67a80ef444e2bf195e24a07758,1b2041245162de8360defdc502404e0696496c50773d4aa7f043798651a9517c,/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718/qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin00_pthat50to75_shard1039_seed1201039_bundle.tar.gz,fa47b90f,/uscms_data/d3/iturkmen/hh4b_delphes/condor_return/qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718/receipts/qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_84901352_job6_bin0_shard1039_receipt.json
wave3,wave3_original,qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718,84901352,0,50,75,1040,1201040,10000,train,qcd-adaptive-wave3-trainval-v1,c9a3a1aaf1a57c9c0a2c09a53683d28f1126ca67a80ef444e2bf195e24a07758,1b2041245162de8360defdc502404e0696496c50773d4aa7f043798651a9517c,/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718/qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin00_pthat50to75_shard1040_seed1201040_bundle.tar.gz,d3705e16,/uscms_data/d3/iturkmen/hh4b_delphes/condor_return/qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718/receipts/qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_84901352_job7_bin0_shard1040_receipt.json
wave3,wave3_original,qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718,84901352,0,50,75,1041,1201041,10000,train,qcd-adaptive-wave3-trainval-v1,c9a3a1aaf1a57c9c0a2c09a53683d28f1126ca67a80ef444e2bf195e24a07758,1b2041245162de8360defdc502404e0696496c50773d4aa7f043798651a9517c,/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718/qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin00_pthat50to75_shard1041_seed1201041_bundle.tar.gz,3b173d1d,/uscms_data/d3/iturkmen/hh4b_delphes/condor_return/qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718/receipts/qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_84901352_job8_bin0_shard1041_receipt.json
wave3,wave3_original,qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718,84901352,0,50,75,1042,1201042,10000,train,qcd-adaptive-wave3-trainval-v1,c9a3a1aaf1a57c9c0a2c09a53683d28f1126ca67a80ef444e2bf195e24a07758,1b2041245162de8360defdc502404e0696496c50773d4aa7f043798651a9517c,/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718/qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin00_pthat50to75_shard1042_seed1201042_bundle.tar.gz,9d935aff,/uscms_data/d3/iturkmen/hh4b_delphes/condor_return/qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718/receipts/qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_84901352_job9_bin0_shard1042_receipt.json
