variable	rows	unique_values	mean	std	min	q0_001	q0_01	q0_05	q0_10	q0_25	median	q0_75	q0_90	q0_95	q0_99	q0_999	max
mbb1	1042397	1042397	136.02004535180032	75.69521377841482	15.592951427450222	31.096790674324538	51.29161463979782	75.29083281243612	86.46147675728578	106.71344693437395	123.9848599270457	142.38037009372414	179.90018190043045	232.3677268057095	447.2277551708622	972.7051437647543	2824.7852547843736
mbb2	1042397	1042397	134.23022539682614	70.72114079962601	14.891513669737666	30.522068962515036	52.299416797086664	76.53591154736002	87.80811126702677	106.59134774096499	123.19211549878676	140.54417786561208	176.61707091942026	225.2912028000498	418.4986628272232	917.4958150133083	2673.1857052756786
r_hh_125_125	1042397	1042397	54.4308980933876	89.30374177015224	0.017831239483490403	0.8450511400822256	2.793965586616728	6.633719490405958	9.955318226289764	18.260364263741952	33.03031573668061	55.74849503481314	99.99406148357097	168.86443717110788	443.59686105880405	1063.2703756157346	2742.49995371934
r_hh_125_120	1042397	1042397	54.52230322748706	89.90273504804253	0.016998179144021186	0.9125548392963575	2.9212166737306746	6.754905454992128	9.982562474747455	18.093570039760174	32.57679182182445	55.47427040820273	101.5568614870574	171.39580551008595	446.2890262806776	1066.9116944664577	2743.3833972922816
ht_selected_jets	1042397	1039213	458.62593011127274	359.88116536989975	124.13724899291992	141.63975214385985	162.73284286499023	193.06766815185546	215.30798568725587	265.58343505859375	351.24744033813477	502.69945907592773	777.6593772888184	1112.878239440918	2159.035703582764	3132.999989837655	6081.1231689453125
ht_candidate_jets	1042397	1036716	348.8516222539775	247.42421949218436	123.47262573242188	140.18312871551512	158.81692253112794	183.5539794921875	200.08696823120118	233.64419555664062	283.9177017211914	369.00501251220703	519.0972717285156	701.2904876708983	1522.8117364501998	2616.9163248291065	6081.1231689453125
ht_selected_bjets	1042397	808880	125.21218982081682	133.39773349661445	0.0	0.0	0.0	0.0	0.0	37.74221420288086	98.60441589355469	174.5732879638672	271.1669845581055	355.6271217346188	614.973056640626	1161.7893263702663	5566.0595703125
mhh	1042397	1042397	452.46885790154414	334.9105739821084	84.60119940338446	154.14973087220451	187.4671178129412	224.65575565806597	246.6247033301411	287.33077058580335	358.346255067166	492.1678736932218	714.351874994268	950.1482379743786	2002.6229048020032	3598.8651160873274	8177.603485874105
h1_pt	1042397	1042397	158.48179353905397	154.67289596128296	1.3450988740999885	10.958031732445729	21.991297904767865	38.16366544155153	50.134627935573164	75.97584203900688	117.22041611763007	184.00241217900668	285.66147922396914	403.92878501942806	900.0370961642309	1385.1909838085105	2908.517835791404
h2_pt	1042397	1042397	95.44393699153359	113.89790688090561	0.028181727222247408	1.8377900329285033	5.870458371341486	13.913059293040243	20.803630078594416	37.766348093806734	67.4210803139523	113.28074458514097	180.22061211831544	246.80250442679375	624.6794493319875	1182.3230954332687	2737.753190290576
