population,k,u,count
all_background,54,5.492326,0
all_background,55,5.484357,0
all_background,56,5.476532,0
all_background,57,5.468845,0
all_background,58,5.461292,0
all_background,59,5.453868,0
all_background,60,5.446569,0
all_background,61,5.439390,0
all_background,62,5.432328,0
all_background,63,5.425379,0
all_background,64,5.418540,0
qcd,exact_1.0,inf,0
qcd,1,7.224720,0
qcd,2,6.923690,0
qcd,3,6.747599,0
qcd,4,6.622660,0
qcd,5,6.525750,0
qcd,6,6.446569,0
qcd,7,6.379622,0
qcd,8,6.321630,0
qcd,9,6.270477,0
qcd,10,6.224720,0
qcd,11,6.183327,0
qcd,12,6.145539,0
qcd,13,6.110777,0
qcd,14,6.078592,0
qcd,15,6.048629,0
qcd,16,6.020600,0
qcd,17,5.994271,0
qcd,18,5.969447,0
qcd,19,5.945966,0
qcd,20,5.923690,0
qcd,21,5.902501,0
qcd,22,5.882297,0
qcd,23,5.862992,0
qcd,24,5.844509,0
qcd,25,5.826780,0
qcd,26,5.809747,0
qcd,27,5.793356,0
qcd,28,5.777562,0
qcd,29,5.762322,0
qcd,30,5.747599,0
qcd,31,5.733358,0
qcd,32,5.719570,0
qcd,33,5.706206,0
qcd,34,5.693241,0
qcd,35,5.680652,0
qcd,36,5.668417,0
qcd,37,5.656518,0
qcd,38,5.644936,0
qcd,39,5.633655,0
qcd,40,5.622660,0
qcd,41,5.611936,0
qcd,42,5.601471,0
qcd,43,5.591251,0
qcd,44,5.581267,0
qcd,45,5.571507,0
qcd,46,5.561962,0
qcd,47,5.552622,0
qcd,48,5.543479,0
qcd,49,5.534524,0
qcd,50,5.525750,0
qcd,51,5.517150,0
qcd,52,5.508717,0
qcd,53,5.500444,0
qcd,54,5.492326,0
qcd,55,5.484357,0
qcd,56,5.476532,0
qcd,57,5.468845,0
qcd,58,5.461292,0
qcd,59,5.453868,0
qcd,60,5.446569,0
qcd,61,5.439390,0
qcd,62,5.432328,0
qcd,63,5.425379,0
qcd,64,5.418540,0
ttbar,exact_1.0,inf,0
ttbar,1,7.224720,0
ttbar,2,6.923690,0
ttbar,3,6.747599,0
ttbar,4,6.622660,0
ttbar,5,6.525750,0
ttbar,6,6.446569,0
ttbar,7,6.379622,0
ttbar,8,6.321630,0
ttbar,9,6.270477,0
ttbar,10,6.224720,0
ttbar,11,6.183327,0
ttbar,12,6.145539,0
ttbar,13,6.110777,0
ttbar,14,6.078592,0
ttbar,15,6.048629,0
ttbar,16,6.020600,0
ttbar,17,5.994271,0
ttbar,18,5.969447,0
ttbar,19,5.945966,0
ttbar,20,5.923690,0
ttbar,21,5.902501,0
ttbar,22,5.882297,0
ttbar,23,5.862992,0
ttbar,24,5.844509,0
ttbar,25,5.826780,0
ttbar,26,5.809747,0
ttbar,27,5.793356,0
ttbar,28,5.777562,0
ttbar,29,5.762322,0
ttbar,30,5.747599,0
ttbar,31,5.733358,0
ttbar,32,5.719570,0
ttbar,33,5.706206,0
ttbar,34,5.693241,0
ttbar,35,5.680652,0
ttbar,36,5.668417,0
ttbar,37,5.656518,0
ttbar,38,5.644936,0
ttbar,39,5.633655,0
ttbar,40,5.622660,0
ttbar,41,5.611936,0
ttbar,42,5.601471,0
ttbar,43,5.591251,0
ttbar,44,5.581267,0
ttbar,45,5.571507,0
ttbar,46,5.561962,0
ttbar,47,5.552622,0
ttbar,48,5.543479,0
ttbar,49,5.534524,0
ttbar,50,5.525750,0
ttbar,51,5.517150,0
ttbar,52,5.508717,0
ttbar,53,5.500444,0
ttbar,54,5.492326,0
ttbar,55,5.484357,0
ttbar,56,5.476532,0
ttbar,57,5.468845,0
ttbar,58,5.461292,0
ttbar,59,5.453868,0
ttbar,60,5.446569,0
ttbar,61,5.439390,0
ttbar,62,5.432328,0
ttbar,63,5.425379,0
ttbar,64,5.418540,0
other_background,exact_1.0,inf,0
other_background,1,7.224720,0
other_background,2,6.923690,0
other_background,3,6.747599,0
other_background,4,6.622660,0
other_background,5,6.525750,0
other_background,6,6.446569,0
other_background,7,6.379622,0
other_background,8,6.321630,0
other_background,9,6.270477,0
other_background,10,6.224720,0
other_background,11,6.183327,0
other_background,12,6.145539,0
other_background,13,6.110777,0
other_background,14,6.078592,0
other_background,15,6.048629,0
other_background,16,6.020600,0
other_background,17,5.994271,0
other_background,18,5.969447,0
other_background,19,5.945966,0
other_background,20,5.923690,0
other_background,21,5.902501,0
other_background,22,5.882297,0
other_background,23,5.862992,0
other_background,24,5.844509,0
other_background,25,5.826780,0
other_background,26,5.809747,0
other_background,27,5.793356,0
other_background,28,5.777562,0
other_background,29,5.762322,0
other_background,30,5.747599,0
other_background,31,5.733358,0
other_background,32,5.719570,0
other_background,33,5.706206,0
other_background,34,5.693241,0
other_background,35,5.680652,0
other_background,36,5.668417,0
other_background,37,5.656518,0
other_background,38,5.644936,0
other_background,39,5.633655,0
other_background,40,5.622660,0
other_background,41,5.611936,0
other_background,42,5.601471,0
other_background,43,5.591251,0
other_background,44,5.581267,0
other_background,45,5.571507,0
other_background,46,5.561962,0
other_background,47,5.552622,0
other_background,48,5.543479,0
other_background,49,5.534524,0
other_background,50,5.525750,0
other_background,51,5.517150,0
other_background,52,5.508717,0
other_background,53,5.500444,0
other_background,54,5.492326,0
other_background,55,5.484357,0
other_background,56,5.476532,0
other_background,57,5.468845,0
other_background,58,5.461292,0
other_background,59,5.453868,0
other_background,60,5.446569,0
other_background,61,5.439390,0
other_background,62,5.432328,0
other_background,63,5.425379,0
other_background,64,5.418540,0
