k_round,score_f32,n_events,n_distinct_delta,n_distinct_u_logit,delta_min,delta_median,delta_max,u_logit_min,u_logit_median,u_logit_max,all_events_separated_in_logit_space
0,1.0,67,67,67,16.636716842651367,17.20731544494629,19.63951015472412,7.225234347605701,7.473042160721864,8.529330888763234,True
2,0.9999998807907104,99,99,99,15.543834209442139,15.948678493499756,16.633173942565918,6.750601501902525,6.926423114823149,7.223695685740421,True
4,0.9999997615814209,100,100,100,15.028609275817871,15.268202066421509,15.529827117919922,6.526842208272461,6.630896007629437,6.7445183004347795,True
6,0.9999996423721313,93,93,93,14.691452026367188,14.860542297363281,15.01960277557373,6.38041672706809,6.453851670567688,6.522930736083204,True
8,0.9999995231628418,98,98,98,14.44349479675293,14.57003903388977,14.688852787017822,6.272730321396464,6.327687757752848,6.379287892232251,True
10,0.9999994039535522,113,113,113,14.23836088180542,14.321769714355469,14.435104846954346,6.18364184685474,6.219865819802936,6.269086614448198,True
12,0.9999992847442627,102,102,102,14.071939468383789,14.150757312774658,14.236958026885986,6.111365996856942,6.145596126280839,6.183032595103766,True
14,0.9999991655349731,98,98,98,13.927928447723389,13.993848323822021,14.068706035614014,6.048822857305681,6.077451470983558,6.109961735935814,True
16,0.9999990463256836,98,98,98,13.80271291732788,13.865370273590088,13.926525115966797,5.994442495178153,6.021654212537296,6.0482133986125515,True
18,0.999998927116394,89,89,89,13.692834854125977,13.738961696624756,13.801934719085693,5.946723109736768,5.966755720768769,5.994104528318197,True
20,0.9999988079071045,91,91,91,13.591531753540039,13.649576663970947,13.690898895263672,5.902727784496651,5.927936338160167,5.945882334437108,True
22,0.9999986886978149,112,112,112,13.505075454711914,13.544663429260254,13.59065294265747,5.865180340053726,5.882373155956607,5.902346122257401,True
24,0.9999985694885254,71,71,71,13.417600154876709,13.451452255249023,13.499439239501953,5.827190354185507,5.841892113057682,5.862732566237456,True
26,0.9999984502792358,95,95,95,13.340508937835693,13.371193408966064,13.416048526763916,5.793710115835315,5.807036191224227,5.826516491662119,True
28,0.9999983310699463,83,83,83,13.268702030181885,13.297105312347412,13.339455604553223,5.762524824069513,5.774860191769578,5.793252659739117,True
30,0.9999982118606567,68,68,68,13.201950073242188,13.238925218582153,13.267508506774902,5.733534869310702,5.749592941781857,5.762006484335925,True
32,0.9999980926513672,89,89,89,13.139941692352295,13.171394348144531,13.201517105102539,5.706605022972285,5.720264711398467,5.733346833984188,True
34,0.9999979734420776,76,76,76,13.081175804138184,13.110926628112793,13.13839864730835,5.6810833736536015,5.69400396580727,5.705934888342304,True
36,0.9999978542327881,67,67,67,13.024950504302979,13.046525955200195,13.076561450958252,5.656665088539692,5.666035167372618,5.679079389716149,True
38,0.9999977350234985,67,67,67,12.972548007965088,13.00093412399292,13.023553848266602,5.633907025053184,5.64623493036874,5.656058529868149,True
40,0.999997615814209,85,85,85,12.922142505645752,12.946516513824463,12.971234798431396,5.612016245699418,5.622601717401995,5.633336706724975,True
42,0.9999974966049194,61,61,61,12.875036716461182,12.896755695343018,12.921385288238525,5.591558512572167,5.6009909213553435,5.611687391161667,True
44,0.9999973773956299,63,63,63,12.828875064849854,12.846624374389648,12.873384952545166,5.571510814551443,5.579219221249125,5.590841162456827,True
46,0.9999972581863403,66,66,66,12.785972118377686,12.810919523239136,12.828684329986572,5.55287835270464,5.563712843015189,5.571427979675014,True
48,0.9999971389770508,62,62,62,12.744318008422852,12.768309831619263,12.78519344329834,5.534788254320491,5.54520774069443,5.552540179361662,True
50,0.9999970197677612,63,63,63,12.704936504364014,12.726319789886475,12.743570804595947,5.517685135336293,5.526971750347875,5.5344637487691495,True
52,0.9999969005584717,63,63,63,12.665319442749023,12.688993453979492,12.703287601470947,5.5004797173736115,5.5107611777198935,5.516969028084608,True
