model,qcd_weighted_auc_mean,qcd_weighted_auc_std,top_weighted_auc_mean,top_weighted_auc_std,best_working_point,qcd_threshold,top_threshold,S_over_sqrtB_mean,S_over_sqrtB_std_or_boot,S_over_sqrtB_p16,S_over_sqrtB_p50,S_over_sqrtB_p84,S_over_B_mean,relative_to_BDT_S_over_sqrtB
BDT-v2 optimized,0.8297281542816265,0.014164235304877692,0.7891548271450045,0.016783552387492146,v2_loose_mid,0.775,0.5,0.1810785388114691,0.0283589035882772,0.1532787227144905,0.1788250453152324,0.2098577631538188,0.0003356459871381,1.0
DNN-v2 simple MLP,0.775336090392526,0.0065194952641775,0.7390391574987847,0.0117017918818058,best_per_seed_mean,0.675,0.55,0.1491336674681356,0.0078395725235674,,0.1513445355875365,,0.0002806828497583,0.8235855471719205
