sample,group,root_files,events_seen,events_kept,keep_efficiency,truth_available_events,truth_complete_assignment_events,truth_complete_fraction_of_kept,xsec_pb,n_generated_for_weight,weight_pb
ggF_HH4b_SMnorm,signal,10,10000,638,0.0638,638,448,0.7021943573667712,0.01055,10000,1.055e-06
VBF_HH4b_SMnorm,signal,10,10000,693,0.0693,693,476,0.6868686868686869,0.000587,10000,5.8699999999999996e-08
ttbar_200k,background,20,200000,726,0.00363,0,0,0.0,512.2746276855469,200000,0.0025613731384277346
Zbbbb_100k,background,10,100000,3434,0.03434,0,0,0.0,6.912992,100000,6.912992e-05
qcd_bbbb_iht100to200_20000,background,1,20000,319,0.01595,0,0,0.0,206.2399139404297,20000,0.010311995697021485
qcd_bbbb_iht200to400_combined120k,background,11,120000,8195,0.06829166666666667,0,0,0.0,126.35226440429688,120000,0.001052935536702474
qcd_bbbb_iht400to600_20000,background,1,20000,3036,0.1518,0,0,0.0,9.774867057800293,20000,0.0004887433528900147
qcd_bbbb_iht600plus_20000,background,1,20000,3623,0.18115,0,0,0.0,1.7876876592636108,20000,8.938438296318055e-05
