process_or_mode	hard_process	ihtmin_gev	ihtmax_gev	representative_generator_xsec_pb	phase_space_role
qcd_bbbb_general	p p > b b~ b b~ QED=0	0.0	-1.0	347.012401	inclusive_partonic_ht
qcd_bbbb_iht400to600	p p > b b~ b b~ QED=0	400.0	600.0	9.7152351	subset_400_to_600_gev
