feature_group,n_features,qcd_weighted_auc_mean,qcd_weighted_auc_std,top_weighted_auc_mean,top_weighted_auc_std
all_v2_features,46,0.8397980767546688,0.009565266339445735,0.7839250050273501,0.02096013680735552
angular_topology,9,0.7967556908750131,0.016899001673700578,0.602834963662213,0.032057472664159925
event_activity,8,0.7847452299330434,0.014773433662921283,0.7484759939361952,0.02489562204133162
mass_core,8,0.7281104540990911,0.017014930806828605,0.6750376944007828,0.024785900510448773
jet_kinematics,21,0.722574614769374,0.008117765645323776,0.6170508539475863,0.020307012877404086
