qcd_threshold,top_threshold,signal_events_450fb,background_events_450fb,S_over_B,S_over_sqrtB,n_signal_test_rows,n_background_test_rows,neff_signal,neff_background,feature_group,seed,n_features
0.6,0.5,227.04536065242962,2279853.2311699344,9.958770922105303e-05,0.15036930323920264,293.0,1580.0,173.65362525345847,456.39242332180635,mass_core,0,8
0.5,0.5,185.27493499944822,2111268.4700642945,8.77552701735777e-05,0.127510203424152,284.0,1562.0,143.15590347512762,350.9123531382965,mass_core,1,8
0.525,0.5,180.8852683850989,1797580.3492658483,0.00010062708376789636,0.13491462876265775,245.0,1384.0,139.0458655489273,402.68362646029027,mass_core,2,8
0.5,0.5,228.32681491065483,2514603.6082536303,9.080032103716965e-05,0.14398662470966486,312.0,1849.0,167.1101043993838,489.7946496211499,mass_core,3,8
0.65,0.525,167.23843826627612,1553848.7666682054,0.00010762851691472667,0.13416268140483167,242.0,1208.0,126.61462311906718,321.6117933633682,mass_core,4,8
0.725,0.525,71.70032013967507,202776.24179648823,0.0003535932982308424,0.15922547749149632,79.0,242.0,54.03978392745197,78.47378710988474,angular_topology,0,9
0.75,0.5,59.99466300794613,223696.0477737005,0.0002681972417708472,0.12684795284001485,71.0,244.0,45.10629102273905,53.06777286725178,angular_topology,1,9
0.7,0.5,81.24052234029259,263594.031567622,0.00030820319358957596,0.1582358632995803,103.0,294.0,62.02592024507873,122.47522348407793,angular_topology,2,9
0.5,0.5,148.43794494006664,1087802.3971634752,0.00013645671799136452,0.1423213082848256,206.0,1223.0,108.81548524683583,465.08778706552005,angular_topology,3,9
0.7,0.5,89.93486803691832,381691.8661334633,0.00023562165195700418,0.14556992194610077,108.0,368.0,66.80918114522804,106.66387252269654,angular_topology,4,9
0.725,0.5,62.98656101282804,173616.9665804325,0.00036279035542098305,0.15116519723993788,66.0,157.0,47.275171576679064,80.47464673354966,event_activity,0,8
0.775,0.55,42.35297969208697,84826.2998603088,0.000499290665298775,0.1454181811461263,44.0,75.0,31.49140604025054,34.052527950765665,event_activity,1,8
0.725,0.5,58.892640609240615,122202.25597869266,0.00048192760548961726,0.16846954997794683,63.0,120.0,44.277060625264774,53.722873120473366,event_activity,2,8
0.775,0.5,47.15643588679246,121201.34511171698,0.0003890751859505037,0.13545257126174012,49.0,116.0,33.68056559661783,55.31773838817276,event_activity,3,8
0.775,0.5,44.89381148833868,127268.66624258303,0.00035274834579289075,0.12584203486454493,53.0,113.0,33.29827900611597,55.3593584960797,event_activity,4,8
0.675,0.5,66.37974323752114,321959.6296024839,0.00020617411977855323,0.11698626044592712,94.0,325.0,51.27498662940947,145.70647516500014,jet_kinematics,0,21
0.575,0.5,98.62817220450283,737956.0809116949,0.00013365046342955043,0.11481158879808827,135.0,667.0,75.22810989339742,195.55855889200268,jet_kinematics,1,21
0.6,0.5,82.36749016816142,507643.9156478167,0.00016225446150191768,0.11560489938795644,118.0,523.0,63.708008435973355,248.55262923814047,jet_kinematics,2,21
0.725,0.525,54.19224785793564,214110.73830054305,0.0002531038297661981,0.1171164611678587,71.0,185.0,39.49478812216474,80.83748102004286,jet_kinematics,3,21
0.75,0.5,43.57149479827567,134854.66792155264,0.00032309964104188063,0.11865047125477858,53.0,143.0,32.406004342139134,66.51270052502066,jet_kinematics,4,21
0.75,0.525,121.16618470208776,316275.2178917443,0.00038310363205112366,0.2154511671844623,171.0,297.0,93.55909654864911,164.11360500274566,all_v2_features,0,46
0.825,0.5,70.79029436099765,143373.37976851844,0.0004937478245633267,0.1869560211411767,111.0,121.0,54.850235437166766,61.075731664465835,all_v2_features,1,46
0.75,0.5,109.64801411765787,334818.4727939925,0.0003274849598430676,0.18949426244663264,155.0,321.0,84.68089795857713,143.81629911855305,all_v2_features,2,46
0.875,0.5,57.85393431409546,62463.68509845068,0.0009262011074580428,0.23148299728602115,84.0,60.0,42.61782484341762,31.11758687557995,all_v2_features,3,46
0.875,0.575,57.754643442577624,77079.46938733196,0.0007492869878534688,0.2080259666956029,84.0,56.0,43.75065461496028,28.89389346719863,all_v2_features,4,46
