feature_group,n_features,S_over_sqrtB_mean,S_over_sqrtB_std,S_over_B_mean,qcd_threshold_median,top_threshold_median,median_neff_background,median_background_test_rows
all_v2_features,46,0.20628208295077913,0.01855752476678975,0.0005759649023538059,0.825,0.5,61.075731664465835,121.0
angular_topology,9,0.14644010477240357,0.01326819312111359,0.0002604144207079268,0.7,0.5,106.66387252269654,294.0
event_activity,8,0.14526950689805923,0.016177315618240044,0.000417166431590554,0.775,0.5,55.31773838817276,116.0
mass_core,8,0.13818868830810177,0.008985289137325561,9.727978022288467e-05,0.525,0.5,402.68362646029027,1562.0
jet_kinematics,21,0.11663393621092182,0.0014835129894798069,0.00021565650310362,0.675,0.5,145.70647516500014,325.0
