feature_group,seed,n_features,qcd_auc,qcd_weighted_auc,top_auc,top_weighted_auc
mass_core,0,8,0.7860793426773085,0.7465114936054742,0.6950925245293873,0.7054046547744424
mass_core,1,8,0.7786906280227706,0.7047334394705085,0.6688877692404586,0.6387671717757637
mass_core,2,8,0.7658541373294099,0.738899727362385,0.6597243465551816,0.6833178057029858
mass_core,3,8,0.7794974808973573,0.7335597244392246,0.6755684325808718,0.6824597661737286
mass_core,4,8,0.7783351747977224,0.7168478856178637,0.6822528243372961,0.6652390735769935
angular_topology,0,9,0.7622481506715982,0.7890304961538659,0.5782303685001118,0.5859797143899683
angular_topology,1,9,0.7499568248027523,0.7765013327012653,0.576185077885544,0.5602449889718097
angular_topology,2,9,0.7737792529590984,0.819713780307233,0.5847566364161654,0.5992606382807694
angular_topology,3,9,0.7608770485909855,0.8074121562666646,0.6179609984144369,0.6370105628404945
angular_topology,4,9,0.7581072120442576,0.7911206889460369,0.601639223214945,0.6316789138280234
event_activity,0,8,0.7465166926221529,0.778127790932035,0.7454217137013008,0.7772252244103133
event_activity,1,8,0.7481345476982553,0.8006133928101841,0.7204391820968216,0.7235681178171414
event_activity,2,8,0.7542132473864385,0.7978909267709222,0.7049981305869957,0.7238938416134282
event_activity,3,8,0.7398554051551729,0.7647772105418997,0.7213740458015266,0.748529540718551
event_activity,4,8,0.7406260392001814,0.782316828610176,0.7430868345270619,0.769163245121542
jet_kinematics,0,21,0.7321227532282135,0.7192123789181013,0.6188996132826233,0.6196614168510127
jet_kinematics,1,21,0.7382970891403636,0.7257680662612611,0.587152034261242,0.609458233198048
jet_kinematics,2,21,0.7349256744981703,0.7309680367031568,0.6038798817171408,0.6148130611436147
jet_kinematics,3,21,0.7295359814137099,0.7267634359811568,0.5860781012472007,0.59278637056899
jet_kinematics,4,21,0.728326310957907,0.710161155983194,0.6298549065938124,0.6485351879762659
all_v2_features,0,46,0.8472994127571215,0.8416644090214926,0.7842053117709099,0.8004417931902996
all_v2_features,1,46,0.8469887225573988,0.8339731518559494,0.7564848637527816,0.750220585455863
all_v2_features,2,46,0.84308094779287,0.8554451748497425,0.7519713809863702,0.7769063479808607
all_v2_features,3,46,0.8373189501670365,0.8367306995689043,0.7704039099661638,0.7942556647074793
all_v2_features,4,46,0.8368653300609824,0.8311769484772552,0.7854611238278076,0.7978006338022476
