seed,qcd_auc,qcd_weighted_auc,top_auc,top_weighted_auc
10,0.805988263612581,0.7919531284103659,0.6563292229688154,0.6485878733323678
11,0.813154146156194,0.8164227343439441,0.6633714484007753,0.6711960565115105
12,0.8082104711567698,0.8144358909970065,0.6837123775104876,0.6944379864761634
13,0.8084105476230783,0.812301904608866,0.6795439291763878,0.6943514509466197
14,0.7970984386706297,0.792776710248301,0.6397764251631287,0.6422240365405313
15,0.791074914236102,0.7846887251246788,0.6702188169164882,0.6928666229722114
16,0.804295436876946,0.8051859187663593,0.7133125934305685,0.7181132752002537
17,0.8093795758228708,0.8149710894527225,0.6684377896385312,0.6770199270802012
18,0.8052991682155213,0.7949501835279369,0.7030920163409115,0.7095113863341185
19,0.7923238234773229,0.8024176399191663,0.6761040717425255,0.7091748879231298
20,0.7921791112666622,0.7812729022391061,0.6581262553325697,0.6640316380987121
21,0.8154717176062654,0.818688103859556,0.685002775795067,0.6935487239395883
22,0.7965835304832448,0.8032432738711329,0.6732775908364773,0.6797897931031964
23,0.7903654628285645,0.7591902245171698,0.6224064877670965,0.605635021257422
24,0.8040939280659093,0.793259816447083,0.6754139757884947,0.6753645276156635
25,0.8018245340045899,0.8030808132710872,0.6905267982016008,0.6879907020466316
26,0.8066963690829168,0.8107889067839555,0.6716951448673688,0.6910671397765926
27,0.7988075648900047,0.8135493699279576,0.6705309015727682,0.6882068986667815
28,0.8116061725537099,0.8165853224703523,0.7012723950625449,0.7009879304829857
29,0.807092229662967,0.7961116919925356,0.6733569428430243,0.686207285882261
