sample	selected_order_index	root_event_entry	p_signal	fit_success	p1_amp	p1_x_mean_gev	p1_y_mean_gev	p1_x_sigma_gev	p1_y_sigma_gev	p1_physical_40_200	p1_in_target_region	p2_amp	p2_x_mean_gev	p2_y_mean_gev	p2_x_sigma_gev	p2_y_sigma_gev	p2_valid	p2_physical_40_200	p2_in_target_region	either_physical_peak_in_target_region	distance	amplitude_ratio	dominant_raw_upstream	dominant_with_valid_secondary
ZZ	0	4	0.9974410533905029	True	0.0338676922330758	112.41974424623093	148.70746495032816	9.150579159117713	18.000124453987716	True	False	0.0043745142205365494	193.589263888454	106.85072447099357	21.893795517512356	30.039292465230094	True	True	False	False	91.32621552710702	7.7420464366262385	False	False
ZZ	1	29	0.9977457523345947	True	0.23078941617955526	86.45840643488383	85.61164363209093	7.639472992676291	4.757759913292839	True	True	0.009904069259833552	74.61909872962777	81.4311481857449	26.022897386054055	1.3800929116829237	True	True	False	True	12.555705839046064	23.302484072434073	True	True
ZZ	2	47	0.9998932480812073	True	0.13119399279028934	96.02019803903873	102.54899812640674	6.902916427074546	11.091080786019711	True	True	0.005270254197887806	116.81646343862114	100.62115513986623	5.526220181118157	18.05979966744929	True	True	False	True	20.88543112197165	24.893295060201993	True	True
ZZ	3	64	0.9982572793960571	True	0.06787439953900753	99.20372007072847	117.46619812050169	7.910494263105657	11.600723854069225	True	False	0.006400828531031321	115.77981184950035	131.08062447801706	8.01663825713849	12.989434402404136	True	True	False	False	21.450394488271726	10.604002155338382	True	True
ZZ	4	67	0.9982466101646423	True	0.043772517320562115	112.13439161426355	113.72289507406445	15.91388154304704	9.074495979595557	True	False	0.016280129581059403	168.965326655922	113.67098532346476	12.295067515726315	9.261176392399408	True	True	False	False	56.83095874900767	2.6887081643064965	False	False
ZZ	5	74	0.9984341859817505	True	0.13408894699203336	88.49259292574702	86.10725027735033	11.170233868745985	5.701137069275672	True	True	0.007267329061924651	87.0957144073159	118.69612945669923	25.48900745112596	11.197975055441328	True	True	False	True	32.61880310130116	18.450925484378956	True	True
ZZ	6	76	0.9996227622032166	True	0.023189874903292346	82.39020370587922	84.84922152631324	11.769628847154484	11.416436789705253	True	True	0.03964479106526698	185.46084257691302	81.4617030571119	67.39999309281595	4.560624384543429	True	True	False	True	103.12629091876738	0.5849412818222448	False	False
ZZ	7	96	0.998211681842804	True	0.059763200675927164	95.02385966507951	190.30521405742314	8.42412489057378	22.282878661631855	True	False	0.0	500.0	500.0	15.0	15.0	False	False	False	False	inf	inf	True	False
ZZ	8	104	0.998812735080719	True	0.11663672948955628	103.64216585605178	107.09026229194356	7.551412425215532	9.598853831472915	True	False	0.00967641995880803	103.32859583604152	87.16605983648336	8.86296544347555	24.265361692844337	True	True	True	True	19.926669808164526	12.053706844687623	True	True
ZZ	9	118	0.9980602860450745	True	0.03980252051380203	102.0670020642108	101.89927647422503	14.125615010270687	14.525595024011276	True	True	0.0022759238525261773	125.52334457606136	109.35800044516701	11.992886833813957	10.711331055489685	True	True	False	True	24.613666271158234	17.48851152011213	True	True
