sample	selected_order_index	root_event_entry	p_signal	fit_success	p1_amp	p1_x_mean_gev	p1_y_mean_gev	p1_x_sigma_gev	p1_y_sigma_gev	p1_physical_40_200	p1_in_target_region	p2_amp	p2_x_mean_gev	p2_y_mean_gev	p2_x_sigma_gev	p2_y_sigma_gev	p2_valid	p2_physical_40_200	p2_in_target_region	either_physical_peak_in_target_region	distance	amplitude_ratio	dominant_raw_upstream	dominant_with_valid_secondary
ZH	0	3	0.9990524649620056	True	0.0833153800988314	84.04336760787722	127.3648629032628	7.2435613361404805	9.361033638389403	True	True	0.0265419608703299	137.93691100192225	89.65160602950111	7.964463479523084	2.977989732475124	True	True	True	True	65.77844452092303	3.139006213816178	False	False
ZH	1	9	0.9976218342781067	True	0.02270616371020216	84.87002738686984	164.43410181889018	13.296379401423124	39.69132778819756	True	False	0.0	500.0	500.0	15.0	15.0	False	False	False	False	inf	inf	True	False
ZH	2	15	0.9971621036529541	True	0.10478844616149535	94.55610551483116	106.4017136613921	6.108056082545443	10.33080504655147	True	False	0.020355734262447224	100.04063958498922	200.65115479596534	8.460720132855421	17.503019788849357	True	False	False	False	94.4088834175371	5.147858820048154	False	False
ZH	3	18	0.9994267821311951	True	0.09056509216602625	92.97233073297991	136.92488037697723	6.696639565308602	10.817703703599333	True	True	0.006192560545430354	149.19268418389288	137.22237659930235	93.30309337227202	6.079975410345961	True	True	False	True	56.22114056249552	14.624821429135077	True	True
ZH	4	19	0.9998435378074646	True	0.14835534497061348	78.93479109310506	115.7635899769804	13.413430206227494	6.84201020882852	True	True	0.10464851119496049	137.06921818237814	79.6439433952229	9.607305763650997	2.4483191936692994	True	True	True	True	68.44151139614812	1.4176536605879373	False	False
ZH	5	22	0.9975144863128662	True	0.05999632290788554	89.04913228482432	133.4396384018505	9.646096111682462	9.432094981358508	True	True	0.013253679758091937	67.3933759239216	203.8381059686845	16.813429674968273	51.52550033483714	True	False	False	True	73.65402921308079	4.526767207518744	False	False
ZH	6	23	0.9999803304672241	True	0.24798711160885772	83.87944866211541	125.5809398169883	8.313445661764312	6.029213961449516	True	True	0.019465693857900358	198.89216450835988	128.0275265140142	29.591513074480183	3.7648939114306907	True	True	False	True	115.03873518426322	12.739700594243628	True	True
ZH	7	26	0.9997091889381409	True	0.15232652345492068	92.24683335299515	116.8187015877546	8.244130907302438	10.109574568052007	True	True	0.0070399536663638485	128.49633296066315	109.83001136363663	6.434203474391455	9.41650367403698	True	True	False	True	36.917042309142325	21.637432669865518	True	True
ZH	8	29	0.9978935122489929	True	0.08171944835132	90.40638425820548	129.40301737819033	12.105664487254337	8.424194519537476	True	True	0.012833359853944114	184.89548635744103	210.55958901962552	9.436659277098332	14.009487145162979	True	False	False	True	124.55753504349371	6.367736062992493	False	False
ZH	9	40	0.9995448589324951	True	0.019168976596494983	90.90650094979509	171.08505436490987	10.568608020817646	49.99864399725363	True	False	0.0	500.0	500.0	15.0	15.0	False	False	False	False	inf	inf	True	False
ZH	10	45	0.9998873472213745	True	0.09956696217469255	76.40257288919649	157.5603534813651	4.751537978798797	14.076742314630142	True	False	0.003481878488199349	84.15884349888584	183.7348837328917	22.94283892022433	16.028009944802033	True	True	False	False	27.299556180619703	28.595760165709727	True	True
ZH	11	52	0.9975429177284241	True	0.02573907584641932	127.46249897584579	180.12802158189004	11.587177731725749	25.356261157074833	True	False	0.010796671219810943	124.67703282204089	97.1991097399846	10.028189602992288	11.473575462825197	True	True	True	True	82.97567861112385	2.383982555585316	False	False
ZH	12	53	0.9995691776275635	True	0.1196892273256047	92.97376195262453	121.68747374326122	5.513227272976921	11.084715681826664	True	True	0.004453338779602357	146.66785533209458	89.1338915976125	7.602523473827333	14.289872846960092	True	True	False	True	62.79165051467231	26.87629063250649	True	True
ZH	13	55	0.9978534579277039	True	0.06535084165726193	119.50469963014106	130.6208939390415	12.565567180210166	8.179370618701336	True	False	0.010545001237017597	209.02729072579785	124.971938446126	46.28076237423005	9.435760447194012	True	False	False	False	89.7006411049615	6.197328970228255	False	False
ZH	14	57	0.9999063611030579	True	0.11664826095113491	90.16139739602218	124.09835671079657	11.94860242356681	10.43825688093963	True	True	0.01081103291639837	99.82998843576152	140.22294828743773	6.546303712767465	9.781877392537202	True	True	False	True	18.801173000832023	10.789742465236667	True	True
ZH	15	60	0.9993575215339661	True	0.19340384216538803	82.45073299337486	191.37170448865945	8.405151574718936	6.977365987831496	True	False	0.019670607011922102	79.32274522379055	147.6805342926986	7.124819292618038	36.221457122467584	True	True	False	False	43.80299830581333	9.832123739148896	False	False
