sample	selected_order_index	root_event_entry	p_signal	fit_success	p1_x_mean_gev	p1_y_mean_gev	p1_physical	p1_in_target_region	p2_amp	p2_x_mean_gev	p2_y_mean_gev	p2_valid	p2_physical	p2_in_target_region	bg_amp	reasons
ZH	1	9	0.9976218342781067	True	84.87002738686984	164.43410181889018	True	False	0.0	500.0	500.0	False	False	False	0.0007020124658740453	secondary_invalid_or_sentinel
ZH	2	15	0.9971621036529541	True	94.55610551483116	106.4017136613921	True	False	0.020355734262447224	100.04063958498922	200.65115479596534	True	False	False	0.0008144706360701878	secondary_nonphysical,one_or_more_parameters_at_bound
ZH	3	18	0.9994267821311951	True	92.97233073297991	136.92488037697723	True	True	0.006192560545430354	149.19268418389288	137.22237659930235	True	True	False	0.00199701573358209	one_or_more_parameters_at_bound
ZH	4	19	0.9998435378074646	True	78.93479109310506	115.7635899769804	True	True	0.10464851119496049	137.06921818237814	79.6439433952229	True	True	True	0.0001720467180279237	one_or_more_parameters_at_bound
ZH	5	22	0.9975144863128662	True	89.04913228482432	133.4396384018505	True	True	0.013253679758091937	67.3933759239216	203.8381059686845	True	False	False	0.0027209141689247996	secondary_nonphysical
ZH	8	29	0.9978935122489929	True	90.40638425820548	129.40301737819033	True	True	0.012833359853944114	184.89548635744103	210.55958901962552	True	False	False	0.0024590714580237706	secondary_nonphysical,one_or_more_parameters_at_bound
ZH	9	40	0.9995448589324951	True	90.90650094979509	171.08505436490987	True	False	0.0	500.0	500.0	False	False	False	1.650334424015021e-38	secondary_invalid_or_sentinel
ZH	13	55	0.9978534579277039	True	119.50469963014106	130.6208939390415	True	False	0.010545001237017597	209.02729072579785	124.971938446126	True	False	False	0.004649948574148235	secondary_nonphysical,one_or_more_parameters_at_bound
ZH	20	94	0.9984139800071716	True	175.07232880513249	124.29377342172084	True	False	0.0	500.0	500.0	False	False	False	0.003812259465964749	secondary_invalid_or_sentinel,one_or_more_parameters_at_bound
ZH	21	97	0.9980829954147339	True	118.24558755029496	92.66176689558492	True	True	0.0	500.0	500.0	False	False	False	0.002937383960527442	secondary_invalid_or_sentinel,one_or_more_parameters_at_bound
ZH	22	98	0.9990435242652893	True	77.1549532933616	74.90350082091109	True	False	0.007434420076445575	92.83796220720961	77.45804089678839	True	True	False	0.0015539385364924238	one_or_more_parameters_at_bound
ZH	24	107	0.9991335272789001	True	96.37044716712592	123.8126521778181	True	True	0.018684288271196628	96.58220414277473	198.1848952810375	True	True	False	0.0009961589106842312	one_or_more_parameters_at_bound
