sample	parameter	finite_count	nonfinite_count	min	q01	q05	q25	median	q75	q95	q99	max	mean
ZH	p1_amp	187	0	0.01360788423247164	0.016214724726376906	0.025321388210563005	0.04731723643717879	0.08047416705264644	0.12270415393190662	0.2091619106231206	0.4749611088683401	228.3598473935765	1.3165858963123722
ZH	p1_x_mean	187	0	59.063701202242896	63.50498489623319	72.56225879680434	83.95354429761525	90.16139739602218	96.42269181346832	126.95239315535768	143.30763142044665	196.25418250799663	93.30899104038122
ZH	p1_y_mean	187	0	74.90350082091109	83.412508541156	98.87801144767838	117.34432454180624	125.25167755108716	136.63836302716192	193.11463690282102	244.68759392023537	317.8755671469957	132.9186873090052
ZH	p1_x_sigma	187	0	2.50066432605988	3.478614538690445	4.602961481176942	6.545443982948118	8.710471286884022	11.936769491896786	19.787767723617932	26.487204503578894	53.44784342770522	9.936464095582545
ZH	p1_y_sigma	187	0	1.0000411222013412	4.411790138806523	6.400611180295357	9.992761029630435	12.149298361060557	17.362768457304092	49.99696738540541	56.72375627486671	107.7255803619632	16.97624308100801
ZH	p1_theta	187	0	-1.570796326794896	-1.5669422830465556	-0.5824332206231259	-0.2942534321998509	-0.07292239553295751	0.024256826920642315	0.5780426061242769	0.7853981633974482	1.048602581641507	-0.09722777932580595
ZH	p1_alpha_low	187	0	0.30029078165067774	0.4923388681355135	0.5000000000000001	0.7812140850500365	1.1023369280768487	1.5	2.5098879255596533	2.8398745730735113	2.9999999999999996	1.2016266779957
ZH	p1_n_low	187	0	1.5000000000000002	1.5530953689827858	2.265990764586159	3.6239637616034717	4.783838095630921	6.758594510344	9.99999999999998	14.838945491477705	14.999999999612502	5.490115050754775
ZH	p1_alpha_high	187	0	0.5000000000000001	0.5000000000000656	0.5042268207890566	1.0928888667776802	1.4886922975136518	1.8366950969137026	2.7147940682124734	2.9999999369219696	4.999616953139095	1.5130090850123592
ZH	p1_n_high	187	0	1.5000000000000002	1.5000000000000002	1.5000888854325884	2.148344960478438	2.971264561542297	3.8516467529280076	9.99955619454577	14.993577691515629	14.999999999999988	3.7284819059709875
ZH	p2_amp	187	0	0.0	0.0	0.0	0.002737714665509915	0.005523953448398457	0.015895530282377134	0.5949974369331054	9.251336501798141	68.90048434703763	0.5900177446880727
ZH	p2_x_mean	187	0	42.96064354134828	57.11716137500846	78.5713365965468	100.4741421446185	135.41454700478582	177.50065460272805	500.0	500.0	500.0	184.38076625171055
ZH	p2_y_mean	187	0	58.2339566654432	66.87677360176076	76.72504834252375	96.86590144028756	131.18260304764965	189.97339274913702	500.0	500.0	500.0	184.93429203779303
ZH	p2_x_sigma	187	0	1.0000000000000002	1.0000083435240716	2.0852202257290804	7.056766608266592	11.122956626456665	15.0	37.240095883868875	69.69459826206496	103.19054656978398	14.060386623373185
ZH	p2_y_sigma	187	0	1.0000000000000002	1.0004478131326007	2.0389577949268003	7.332677833409205	12.062073612946834	15.0	38.239547549758235	75.22247457412362	85.49913261335792	14.78562328077944
ZH	p2_theta	187	0	-1.5570165112678835	-1.537991278432495	-0.8473182755297974	-0.1865814888696531	0.0	0.1725758976737454	0.7644766991845414	1.2106778607037358	1.5191842537341924	-0.0028145469331304863
ZH	p2_alpha_low	187	0	0.30000000000000004	0.30000000000000004	0.30033416924011125	0.5845280089163616	1.1482556428381474	1.5	3.5181476156368676	4.997749933716023	4.9999999974746085	1.2791694456987213
ZH	p2_n_low	187	0	1.0000000000000002	1.9046162833256808	2.9831071292996523	5.640523645211221	9.737632446963456	13.150663493169212	14.999999780632884	14.999999999999998	14.999999999999998	9.225900403718668
ZH	p2_alpha_high	187	0	0.30000000014582756	0.3314926844079996	0.5895126593819704	1.3180099916065884	1.5110228839165112	2.1064533065078574	3.7771175139347632	4.979416723845201	4.994453715113871	1.7884774964352115
ZH	p2_n_high	187	0	1.0000254989344608	1.2150150020155437	1.588627117758001	3.0	6.773143847401647	10.718707787995566	14.9999963640855	14.999999999549141	14.999999999999995	7.247089014761579
ZH	bg_amp	187	0	2.8818309782689406e-40	2.790598786298453e-39	1.8197422158081184e-06	0.00012881115850611584	0.00032459395053613686	0.0010344609567414064	0.008581250084004254	0.01600034970514074	0.02230546547325476	0.0015416791613463625
ZH	bg_x_center	187	0	40.005126252852826	40.55438477539342	43.683466771679385	74.70175005911798	181.99766627419675	197.2385735013749	199.99999999999997	199.99999999999997	199.99999999999997	146.10833857971946
