sample	rank_within_sample	selected_order_index	root_event_entry	p_signal	fit_success	p1_physical	p1_in_target_region	p2_valid	p2_physical	p2_in_target_region	bg_amp	bg_x_center	bg_y_center	bg_x_slope	bg_y_slope	bg_x_log	bg_y_log	any_parameter_at_bound
ZH	1	99	556	0.9982865452766418	True	True	False	True	False	False	0.02230546547325476	199.99999999999997	199.99999999999997	0.009999999999999998	0.009999999999999998	0.49999999999999994	-0.2504343202701879	True
ZH	2	158	854	0.9994931221008301	True	True	False	True	True	False	0.019294544902586228	191.434939041924	199.9443962684802	0.00999615262971516	0.009999709880691342	-0.14266680047530605	-0.23844989048177034	False
ZH	3	124	677	0.9984039068222046	True	True	False	True	True	False	0.01546408537067293	199.99999999999116	199.99999999993463	0.009999999999999584	0.009999999999974828	-0.2621718565899621	0.4999999999896841	True
ZH	4	184	996	0.9991253614425659	True	True	False	True	True	True	0.01525054655689617	199.12645839234355	158.05847822740307	0.004297976166836055	0.006306878358709585	0.32884208536241005	0.37282839922795646	False
ZH	5	149	818	0.999437153339386	False	False	False	True	True	False	0.014141910722206876	120.0	120.0	0.0	0.0	0.0	0.0	False
ZH	6	62	355	0.9997488260269165	False	False	False	False	False	False	0.014089596237114048	120.0	120.0	0.0	0.0	0.0	0.0	False
ZH	7	173	931	0.9992785453796387	False	False	False	False	False	False	0.014024452638726674	120.0	120.0	0.0	0.0	0.0	0.0	False
ZH	8	50	285	0.999754786491394	False	False	False	False	False	False	0.01402445263872667	120.0	120.0	0.0	0.0	0.0	0.0	False
ZH	9	133	721	0.9985327124595642	True	True	False	False	False	False	0.008697802787347827	168.20368617625658	194.9768594995575	0.004828154606594641	0.003376682957766382	0.49909066949660064	0.4979149831449391	False
ZH	10	165	880	0.9993870258331299	True	True	False	True	True	False	0.008668437332436132	199.99999999996112	199.9999999999988	0.003456178614516942	0.003456171578081574	0.49999901949131886	0.49999999999162253	True
ZH	11	130	709	0.9991720914840698	True	True	True	True	True	False	0.008377813170996546	199.99999999999997	199.99999999999997	0.009999999999999998	0.009999999999999998	-0.09923308071888987	-0.09920142809684579	True
ZH	12	120	663	0.9993524551391602	True	True	False	True	True	False	0.008110405338785293	187.34856869398774	181.97771423543622	0.009999999999984192	0.009999999999999967	0.011493582515168082	0.10292291892803845	True
ZH	13	146	803	0.9987124800682068	True	True	True	False	False	False	0.00754205049182467	199.99999999999997	199.99999999987892	-0.0001716810099527695	-0.00017168347309740032	0.49999999999999994	0.49999999999999994	True
ZH	14	13	55	0.9978534579277039	True	True	False	True	False	False	0.004649948574148235	199.99999999999434	199.99999999990246	0.0020445407960499352	0.0020445407945912392	0.4999999999987682	0.4999999999977454	True
ZH	15	109	596	0.9983081817626953	True	True	False	True	True	False	0.004431188025908251	199.5498146740739	198.97000833703243	0.0022099000934335737	0.0020862769021022898	0.47676108198652145	0.49482644097153405	False
ZH	16	126	693	0.997621476650238	True	True	False	True	True	True	0.004268868678969399	48.937525300833165	52.087404721248	-0.00999999999923724	-0.009999999999877626	0.48513212282756896	0.4894887440307417	True
ZH	17	170	920	0.9972743988037109	True	True	True	True	True	False	0.004057638495733213	186.76793851571435	184.28585241741095	0.0018061428420969754	0.0019367346092358036	0.49592069964047125	0.4890404097451152	True
ZH	18	20	94	0.9984139800071716	True	True	False	False	False	False	0.003812259465964749	199.99999999877159	199.99999999877159	0.0004039607486506399	0.00040396074861137707	0.49999999999999994	0.49999999999999994	True
ZH	19	117	647	0.998552143573761	True	True	False	True	True	False	0.003406956392041806	197.51324518466024	197.5132450130867	0.002426475689717038	0.002426475695118383	0.499999998094454	0.4999999980944543	True
ZH	20	32	134	0.997726559638977	True	True	False	True	False	False	0.0031962934366507665	162.52987844731194	189.90721036449236	0.009835583954835006	0.008166982784344114	0.09926427452235786	0.007685360548718392	True
ZZ	1	65	982	0.9979746341705322	True	False	False	True	False	False	950533065405.022	53.45640110854839	53.49390667834271	-0.00937686968729552	-0.009376651843254105	0.49999999999999994	0.49999999999999994	True
ZZ	2	26	469	0.9990359544754028	False	False	False	False	False	False	0.02231181910633581	120.0	120.0	0.0	0.0	0.0	0.0	False
ZZ	3	41	668	0.9979541301727295	True	False	False	True	False	False	0.01422387556388281	199.99999400887876	199.99999995948534	0.009894332694444823	0.009894332748523055	-0.23739750833940745	-0.23739746951720653	True
ZZ	4	56	880	0.9987847208976746	False	False	False	False	False	False	0.014136371454747793	120.0	120.0	0.0	0.0	0.0	0.0	False
ZZ	5	50	793	0.998723566532135	True	True	False	True	False	False	0.005598480068960294	199.03225142972562	197.36534637785633	0.009999999999999998	0.009999999999999998	-0.2696304899624141	0.4999990897661614	True
ZZ	6	13	200	0.9984057545661926	True	True	False	True	False	False	0.0045272722340857306	190.08383973077008	199.83544864533474	0.007323225135211881	0.006938726561833018	0.2862801131733262	0.23770195726243543	False
ZZ	7	29	510	0.9970289468765259	True	True	False	False	False	False	0.003215959419484291	199.99999991042486	199.99999999999997	0.0023665963453606683	0.0023665973364389455	0.49999999999999994	0.49999999999999994	True
ZZ	8	18	333	0.9989505410194397	True	True	False	True	True	False	0.002879280439322537	61.31113955444625	61.31113782230876	-0.009999999943090821	-0.00999999994308797	0.06669443807279803	0.0666944450815422	True
ZZ	9	4	67	0.9982466101646423	True	True	False	True	True	False	0.0026962207508513885	199.99999999999997	199.99999999999997	0.0004061295893175908	0.0004061295890988372	0.49999999999999994	0.49999999999999994	True
ZZ	10	6	76	0.9996227622032166	True	True	True	True	True	False	0.00266164354007387	125.35324867587597	62.60249805632385	-0.007243976882581415	-0.007229357839641121	0.4944581975572275	0.489355697410657	False
ZZ	11	47	770	0.9975925087928772	True	False	False	True	True	True	0.002577683059351319	199.9999999999991	199.99999999999912	0.009999999920753972	0.00999999992075673	-0.32002512574089337	-0.32002512658937	True
ZZ	12	24	447	0.9979170560836792	True	True	True	True	True	False	0.0023440575747616984	199.86246217695918	199.88716363695232	-0.001123276134929145	-0.001123279095043527	0.49999999999999994	0.49999999999999994	True
ZZ	13	27	492	0.9975481629371643	True	True	False	True	False	False	0.0021990516585931085	199.99999999999898	199.999999999999	-0.0022709778556064893	-0.002270977854448565	0.49999999999999983	0.4999999999999997	True
ZZ	14	35	591	0.9996837973594666	True	True	True	True	True	False	0.0021965127126471213	199.99999999999997	199.99999999999997	0.0003785730451892032	0.0003785716516822614	0.49999999999999994	0.49999999999999994	True
ZZ	15	31	526	0.9982991814613342	True	True	True	True	True	False	0.0021735613227455266	199.99999999999997	199.99999999999997	0.00022221062606991415	0.0002222106266683161	0.4999999999579594	0.4999999999579575	True
ZZ	16	57	888	0.9970425367355347	True	True	False	True	False	False	0.002078388567089469	177.0406377813338	177.04063667513168	0.009995088388595202	0.009995088465332114	-0.3721054863524752	-0.37210550196631265	True
