sample	threshold	base_selection_count	qualifying_count	fraction_of_base	first_entry	last_entry	entry_array_sha256
ZH	0.5	1000	677	0.677	0	999	52dacf490c0086379038de495b2fdf476324d37aa5813e1435df2014fd0f0fb1
ZH	0.8	1000	545	0.545	3	999	e05a6a3c089b317683f2eb76a6ced9189fe1346c65dbf44002cfdeca86237537
ZH	0.9	1000	470	0.47	3	999	32d1b34f7979727f33cb8232f39bca0097b555aa9f101b30a3938cdb9d3bdff0
ZH	0.95	1000	419	0.419	3	999	4c5468044e832f3592aacf49ae57b68d20db38194246911ba5b280004a110f66
ZH	0.99	1000	279	0.279	3	999	a39170fa954d7caa4e9de89ea4b73b228b9fce7998a9c66de207461513138116
ZH	0.997	1000	187	0.187	3	999	ffdb2961823d0917f3c63ee4ef738673fb0dd471c421dbf1bfd578b1bb67473f
ZZ	0.5	1000	424	0.424	2	999	a1f8376a1093959307eded98f8cc04af2dbc924dea2101cca025ab47c61ea1d5
ZZ	0.8	1000	305	0.305	2	999	b649044147e79478b2d536790c3332f087a11df4b65438c85ee96c06747eadaf
ZZ	0.9	1000	236	0.236	2	998	abf156b871bc6206d6385bd9cea1322847be65a8c889b6d264f3269b4fec4913
ZZ	0.95	1000	196	0.196	2	998	6664c539720323aa830fd7873ceca097638ef939af1fbd1c29e0078545a22466
ZZ	0.99	1000	110	0.11	2	998	78914dc07234fe85a7532e24c1aad76ebaf0dff73a28495869e40c0237b00982
ZZ	0.997	1000	67	0.067	4	998	e3ed1bb4b96018e35245527436cac9f5b1aa875cd2d2cfe6ee281329a5823015
