variant	category_count	label	metric	bootstrap_mean	bootstrap_median	bootstrap_standard_deviation	bootstrap_p16	bootstrap_p84	bootstrap_p2p5	bootstrap_p97p5	valid_replicas	invalid_replicas	invalid_reason_counts_json	nominal_full_oof
mass_aware	2	mass_aware_scan_n2_n2	combined_nominal_asimov_ZA	0.06546968711494199	0.06496479595322516	0.005514400155960565	0.060057855529276366	0.07071873293836016	0.05635594902964503	0.07726920040583449	1000	0	{}	0.06487029823642303
mass_aware	2	mass_aware_scan_n2_n2	combined_systematic_aware_asimov_ZA	0.05359364077413407	0.05322122405731716	0.006664577254946757	0.04682229313108091	0.06008766053288414	0.041906154858670094	0.06807022581077443	1000	0	{}	0.053016377144575556
mass_aware	2	mass_aware_scan_n2_n2	signal_yield	79.20825058152904	79.22462810208418	1.0352155637052451	78.23479417001268	80.26143061795128	77.13774303572882	81.19150075210024	1000	0	{}	79.2373685205979
mass_aware	2	mass_aware_scan_n2_n2	background_yield	4148587.4361667787	4136040.6712317355	345815.59117860487	3789828.9887183434	4504185.45143035	3499044.5336307795	4861733.23818142	1000	0	{}	4150611.833897537
mass_aware	2	mass_aware_scan_n2_n2	signal_over_background	1.922666295357417e-05	1.912222885949979e-05	1.6373958629501239e-06	1.7586915060773127e-05	2.089959644744089e-05	1.627940336070866e-05	2.271676017021133e-05	1000	0	{}	1.909052729852405e-05
mass_aware	2	mass_aware_scan_n2_n2	signal_over_sqrt_background	0.038990422837323103	0.03892788433531946	0.0017188665663925864	0.037307897708442714	0.040720107483866556	0.035768618103648335	0.04264137830667922	1000	0	{}	0.03889322751849844
mass_aware	2	mass_aware_scan_n2_n2	background_neff	218.95382917012705	217.98932457540337	23.75132338996741	195.76859874207105	242.1103439498772	175.2207699444645	269.3949525253694	1000	0	{}	218.0042654728853
mass_aware	2	mass_aware_scan_n2_n2	signal_neff	6077.509209867345	6079.068521725644	73.0179223242454	6005.933811532067	6151.081428646862	5933.381878530053	6222.127041752478	1000	0	{}	6079.441177258959
mass_aware	2	mass_aware_scan_n2_n2	transferred_qcd_fraction	0.914420369193403	0.91481672640617	0.0073265476238787465	0.9071176088444594	0.921919837157307	0.8990273381986108	0.9275996662729177	1000	0	{}	0.9150823329517486
mass_aware	2	mass_aware_scan_n2_n2	direct_qcd_closure_ratio	2.343575581615348	2.3035412982783248	0.6644475241356129	1.6486104687346907	3.0120455614305777	1.152106588075326	3.6124744334148415	1000	0	{}	2.3325464675742436
