variant	outer_fold	selection_role	candidate_id	category_count	stage1_target_signal_efficiency	stage1_threshold	stage2_boundaries_json	boundary_quantiles_json	inner_nominal_ZA	inner_systematic_ZA	boundary_instability	outer_held_used_for_selection
mass_aware	0	outer_selected	e0.65_n6_q0.10-0.20-0.30-0.50	6	0.65	0.636249840259552	[0.7688276363685155,0.8409707682119085,0.8800800685333822,0.925209219033834]	[0.1,0.2,0.30000000000000004,0.5]	0.060891798573344175	0.05019896881477191	0.006184824375664438	False
mass_aware	0	best_supported_n2	e0.65_n2_q	2	0.65	0.636249840259552	[]	[]	0.05861483512560108	0.04755118370680786	0.0	False
mass_aware	0	best_supported_n3	e0.65_n3_q0.50	3	0.65	0.636249840259552	[0.925209219033834]	[0.5]	0.06009946329131586	0.0491417771890831	0.004119160109696062	False
mass_aware	0	best_supported_n4	e0.65_n4_q0.30-0.50	4	0.65	0.636249840259552	[0.8800800685333822,0.925209219033834]	[0.30000000000000004,0.5]	0.06022470618003285	0.04939435895227651	0.004636300764972055	False
mass_aware	0	best_supported_n5	e0.65_n5_q0.10-0.30-0.50	5	0.65	0.636249840259552	[0.7688276363685155,0.8800800685333822,0.925209219033834]	[0.1,0.30000000000000004,0.5]	0.06089131291000627	0.05019887793630546	0.005695953759634095	False
mass_aware	0	best_supported_n6	e0.65_n6_q0.10-0.20-0.30-0.50	6	0.65	0.636249840259552	[0.7688276363685155,0.8409707682119085,0.8800800685333822,0.925209219033834]	[0.1,0.2,0.30000000000000004,0.5]	0.060891798573344175	0.05019896881477191	0.006184824375664438	False
mass_aware	1	outer_selected	e0.65_n6_q0.10-0.20-0.40-0.50	6	0.65	0.6635502576828003	[0.7795555118459572,0.8434681737650263,0.9094457193863736,0.9289800876534141]	[0.1,0.2,0.4,0.5]	0.07249145076122111	0.06500874962730692	0.008729126830616224	False
mass_aware	1	best_supported_n2	e0.65_n2_q	2	0.65	0.6635502576828003	[]	[]	0.06603813765202679	0.05790877854659039	0.0	False
mass_aware	1	best_supported_n3	e0.65_n3_q0.20	3	0.65	0.6635502576828003	[0.8434681737650263]	[0.2]	0.07062148200427452	0.06289082845600888	0.010823068873629563	False
mass_aware	1	best_supported_n4	e0.65_n4_q0.20-0.50	4	0.65	0.6635502576828003	[0.8434681737650263,0.9289800876534141]	[0.2,0.5]	0.07161349998115898	0.06392551985056233	0.0077258918003900645	False
mass_aware	1	best_supported_n5	e0.65_n5_q0.20-0.40-0.50	5	0.65	0.6635502576828003	[0.8434681737650263,0.9094457193863736,0.9289800876534141]	[0.2,0.4,0.5]	0.07247982225907015	0.06500092598045464	0.0077258918003900645	False
