variant	category_count	configuration	combined_nominal_asimov_ZA	combined_systematic_aware_asimov_ZA	signal_yield	background_yield	signal_over_background	signal_over_sqrt_background	background_neff	signal_neff	transferred_qcd_fraction	direct_qcd_closure_ratio	shared_qcd_relative_nonclosure	shared_multijet_relative_nuisance	support_pass	support_failure_reason	systematic_evaluation_pass	systematic_evaluation_failure_reason	minimum_support_margin	contract_name	selection_role
mass_aware	2	mass_aware_scan_n2_n2	0.06487029823642303	0.053016377144575556	79.2373685205979	4150611.833897537	1.909052729852405e-05	0.03889322751849844	218.0042654728853	6079.441177258959	0.9150823329517486	2.3325464675742436	0.5712839963098525	2.615322584866661	True		True		12.0	nominal	nan
mass_aware	3	mass_aware_scan_n3_n3	0.06462676561409443	0.05226173514574639	79.2373685205979	4150611.8338975366	1.909052729852405e-05	0.03889322751849844	218.0042654728853	6079.441177258959	0.9150823329517487	2.332546467574243	0.5712839963098524	2.615322584866661	True		True		8.0	nominal	nan
mass_aware	4	mass_aware_scan_n4_n4	0.07166792611086664	0.06087529276780739	79.2373685205979	4150611.833897537	1.909052729852405e-05	0.03889322751849844	218.0042654728853	6079.441177258959	0.9150823329517485	2.332546467574243	0.5712839963098524	2.615322584866661	True		True		5.9009586202089706	nominal	nan
mass_aware	5	mass_aware_fixed5_n5	0.06903795216125722	0.05767002251240743	79.2373685205979	4150611.833897537	1.909052729852405e-05	0.03889322751849844	218.0042654728853	6079.441177258959	0.9150823329517485	2.332546467574243	0.5712839963098524	2.615322584866661	True		True		4.666666666666667	nominal	nan
mass_aware	6	mass_aware_scan_n6_n6	0.06704205574003064	0.05520192174016813	79.2373685205979	4150611.833897537	1.909052729852405e-05	0.03889322751849844	218.0042654728853	6079.441177258959	0.9150823329517486	2.332546467574243	0.5712839963098524	2.615322584866661	True		True		2.3218939551356215	nominal	nan
mass_aware	6	mass_aware_outer_selected	0.06704205574003064	0.05520192174016813	79.2373685205979	4150611.833897537	1.909052729852405e-05	0.03889322751849844	218.0042654728853	6079.441177258959	0.9150823329517486	2.332546467574243	0.5712839963098524	2.615322584866661	True		True		2.3218939551356215	nominal	outer_selected
mass_plane_blind	2	mass_plane_blind_scan_n2_n2	0.0658903580798102	0.05449442595570006	79.2373685205979	4150611.8338975376	1.9090527298524047e-05	0.038893227518498434	218.0042654728853	6079.441177258959	0.9150823329517486	2.332546467574243	0.5712839963098525	2.615322584866661	True		True		13.0	nominal	nan
mass_plane_blind	3	mass_plane_blind_scan_n3_n3	0.06609800501388449	0.054697355162734704	79.2373685205979	4150611.8338975376	1.9090527298524047e-05	0.038893227518498434	218.0042654728853	6079.441177258959	0.9150823329517486	2.332546467574243	0.5712839963098525	2.615322584866661	True		True		5.0	nominal	nan
mass_plane_blind	4	mass_plane_blind_scan_n4_n4	0.06640260907089013	0.055054014375560664	79.2373685205979	4150611.8338975376	1.9090527298524047e-05	0.038893227518498434	218.0042654728853	6079.441177258959	0.9150823329517485	2.3325464675742436	0.5712839963098525	2.615322584866661	True		True		3.2	nominal	nan
mass_plane_blind	5	mass_plane_blind_fixed5_n5	0.0674287068817139	0.056439255767262685	79.2373685205979	4150611.8338975376	1.9090527298524047e-05	0.038893227518498434	218.0042654728853	6079.441177258959	0.9150823329517485	2.3325464675742436	0.5712839963098525	2.615322584866661	True		True		1.4	nominal	nan
mass_plane_blind	6	mass_plane_blind_scan_n6_n6	0.0665979206999133	0.055447661935330066	79.2373685205979	4150611.833897538	1.9090527298524043e-05	0.038893227518498434	218.0042654728853	6079.441177258959	0.9150823329517483	2.332546467574243	0.5712839963098524	2.615322584866661	True		True		1.0	nominal	nan
mass_plane_blind	6	mass_plane_blind_outer_selected	0.0665979206999133	0.055447661935330066	79.2373685205979	4150611.833897538	1.9090527298524043e-05	0.038893227518498434	218.0042654728853	6079.441177258959	0.9150823329517483	2.332546467574243	0.5712839963098524	2.615322584866661	True		True		1.0	nominal	outer_selected
