variant	category_count	configuration	category	signal_rows	background_rows	background_sources	background_neff	signal_yield	signal_neff	ordinary_background_yield	transferred_qcd_yield	transferred_rows	transferred_sources	direct_qcd_closure_yield	direct_qcd_rows	direct_qcd_sources	direct_qcd_neff	background_yield	signal_over_background	signal_over_sqrt_background	transferred_qcd_fraction	direct_qcd_closure_ratio	nominal_asimov_ZA_contribution	support_pass	support_failure_reason	minimum_support_margin	shared_qcd_relative_nonclosure	shared_multijet_relative_nuisance	systematic_aware_ZA_standalone_contribution	contract_name	selection_role
mass_aware	2	mass_aware_scan_n2_n2	0	3323	17463	254	185.41827578489276	28.792283313313405	2197.5076837232464	258530.53241538594	3251432.4236981357	516	91	7203589.490489205	46	21	8.621405733922634	3509962.956113522	8.203016291999346e-06	0.015368264999763986	0.9263438003056165	2.215512596228569	0.015368243989132708	True		25.4	0.5712839963098525	2.615322584866661	0.0	nominal	nan
mass_aware	2	mass_aware_scan_n2_n2	1	6014	4425	195	32.6242749561779	50.445085207284485	3882.029360890599	93929.74134205756	546719.1364419581	60	38	1655775.5144271713	10	7	3.5063214484738654	640648.8777840157	7.874061277024701e-05	0.06302441527272508	0.8533834295207734	3.0285669625594953	0.06302358820293363	True		12.0	0.5712839963098525	2.615322584866661	3.180931010633612e-05	nominal	nan
mass_aware	3	mass_aware_scan_n3_n3	0	2601	15818	246	159.68928115419118	22.813452955999725	1736.066376427761	220145.26468265255	2878864.3064728263	458	87	6105996.293919713	38	19	6.6902522081943365	3099009.571155479	7.36153033160644e-06	0.012959240946300387	0.9289627025577173	2.120973982758068	0.012959225046328777	True		24.6	0.5712839963098524	2.615322584866661	0.0	nominal	nan
mass_aware	3	mass_aware_scan_n3_n3	1	3189	4275	176	41.58826188093218	26.855732964718342	2064.7015309970493	102053.95246210729	664583.9585978084	76	31	1736021.3019226398	11	8	4.3947056605836305	766637.9110599157	3.503053081159127e-05	0.03067198365101992	0.8668811560323014	2.6121926048071256	0.03067180457774419	True		10.333333333333334	0.5712839963098524	2.615322584866661	2.4298656211860583e-06	nominal	nan
mass_aware	3	mass_aware_scan_n3_n3	2	3547	1795	149	17.09240411933778	29.568182599879833	2278.845407699232	30261.05661268365	254703.2950694589	42	24	1017347.4090740228	7	5	1.908525066857833	284964.3516821426	0.00010376098773526953	0.055389744827904215	0.8938075712486391	3.9942451816203906	0.05538878698691978	True		8.0	0.5712839963098524	2.615322584866661	4.305579921886194e-05	nominal	nan
mass_aware	4	mass_aware_scan_n4_n4	0	2601	15818	246	159.68928115419118	22.813452955999725	1736.066376427761	220145.26468265255	2878864.3064728263	458	87	6105996.293919713	38	19	6.6902522081943365	3099009.571155479	7.36153033160644e-06	0.012959240946300387	0.9289627025577173	2.120973982758068	0.012959225046328777	True		24.6	0.5712839963098524	2.615322584866661	0.0	nominal	nan
mass_aware	4	mass_aware_scan_n4_n4	1	1573	2611	160	34.8236407618079	12.617751840894034	982.6359711129874	71507.90300086969	497810.4960043335	53	27	1733586.4805372201	9	8	4.382415849619828	569318.399005203	2.216290895031959e-05	0.016722621959712594	0.8743973440418952	3.4824225171060457	0.016722560189889293	True		9.0	0.5712839963098524	2.615322584866661	9.691417170260712e-06	nominal	nan
mass_aware	4	mass_aware_scan_n4_n4	2	1961	1893	158	11.801917240417941	17.71351196716569	1338.4008300367473	37452.07643798354	256912.77361183238	33	19	33612.09842813939	3	3	1.1568984087438856	294364.85004981596	6.0175363886578156e-05	0.03264838477372889	0.8727698757795115	0.1308307794727391	0.032648057343799865	True		5.9009586202089706	0.5712839963098524	2.615322584866661	2.4053591457934267e-05	nominal	nan
mass_aware	4	mass_aware_scan_n4_n4	3	3202	1566	141	15.811067672241117	26.092651756538448	2023.2132965893352	23355.029635937717	164563.98405110155	32	19	986170.132031303	6	4	1.796561633364788	187919.01368703926	0.00013885051461579726	0.06019117978646166	0.8757175807934303	5.992624313987625	0.06018978693767516	True		6.333333333333333	0.5712839963098524	2.615322584866661	6.0622568112264355e-05	nominal	nan
mass_aware	5	mass_aware_fixed5_n5	0	2601	15818	246	159.68928115419118	22.813452955999725	1736.066376427761	220145.26468265255	2878864.3064728263	458	87	6105996.293919713	38	19	6.6902522081943365	3099009.571155479	7.36153033160644e-06	0.012959240946300387	0.9289627025577173	2.120973982758068	0.012959225046328777	True		24.6	0.5712839963098524	2.615322584866661	0.0	nominal	nan
mass_aware	5	mass_aware_fixed5_n5	1	1084	1993	145	28.319146707873305	8.766095502852169	681.1324829476656	59513.53189882768	228368.7451301537	30	15	1092723.5537986525	4	4	2.67623889776367	287882.27702898136	3.045027847257745e-05	0.016337994037795994	0.7932712895249318	4.7849085179142135	0.016337911122740304	True		5.0	0.5712839963098524	2.615322584866661	9.950100112090778e-06	nominal	nan
mass_aware	5	mass_aware_fixed5_n5	2	1022	1150	145	13.666288408716795	8.69360242025924	666.4673401665486	24880.318193679122	270601.8295678205	29	18	215837.28367294825	5	4	1.367687859998066	295482.1477614996	2.9421751825346613e-05	0.01599315518830165	0.9157975587284499	0.7976194544495987	0.015993076764864035	True		5.8	0.5712839963098524	2.615322584866661	1.2281296414120569e-05	nominal	nan
mass_aware	5	mass_aware_fixed5_n5	3	1392	1361	125	9.943248467754788	12.526683967223645	947.5361004368783	24172.896207001064	243805.78388360768	25	14	458637.74149375886	3	2	1.018548422643932	267978.6800906087	4.674507674635957e-05	0.024198363651810453	0.9097954501498862	1.8811602177276954	0.024198175129667435	True		4.666666666666667	0.5712839963098524	2.615322584866661	1.964083605155963e-05	nominal	nan
mass_aware	5	mass_aware_fixed5_n5	4	3238	1566	142	17.096849944151312	26.437533674263115	2048.8628950273455	23748.2627752831	176510.89508568545	34	21	986170.132031303	6	4	1.796561633364788	200259.15786096855	0.00013201660266951473	0.05907785861587325	0.8814123507311934	5.587021308529293	0.059076558811013986	True		6.8	0.5712839963098524	2.615322584866661	5.6757947423045255e-05	nominal	nan
mass_aware	6	mass_aware_scan_n6_n6	0	2601	15818	246	159.68928115419118	22.813452955999725	1736.066376427761	220145.26468265255	2878864.3064728263	458	87	6105996.293919713	38	19	6.6902522081943365	3099009.571155479	7.36153033160644e-06	0.012959240946300387	0.9289627025577173	2.120973982758068	0.012959225046328777	True		24.6	0.5712839963098524	2.615322584866661	0.0	nominal	nan
mass_aware	6	mass_aware_scan_n6_n6	1	1007	1939	138	29.32706891884145	7.943014813894008	621.4885139792984	56095.059399916936	255405.52405281525	33	16	1093055.895808402	5	5	2.67786639022512	311500.5834527321	2.5499197227344202e-05	0.014231672470907978	0.8199198897859243	4.279687762674895	0.014231611988844813	True		5.333333333333333	0.5712839963098524	2.615322584866661	1.1891291963032254e-05	nominal	nan
mass_aware	6	mass_aware_scan_n6_n6	2	563	778	122	8.351662850759386	4.840981119006377	370.1297359162893	16902.0504736155	194739.8348119495	13	13	183995.32261072946	2	2	1.0231146917918417	211641.885285565	2.287345490461172e-05	0.01052283057545208	0.9201384430553062	0.9448263257920729	0.01052279046024795	True		2.6	0.5712839963098524	2.615322584866661	5.6656956313522435e-06	nominal	nan
mass_aware	6	mass_aware_scan_n6_n6	3	887	917	136	9.194077312215741	7.889806052787328	598.3197873398157	19115.796588555397	155883.9293070922	22	16	458970.08350350836	4	3	1.0200245505037147	174999.7258956476	4.508467663253383e-05	0.018860258603299287	0.890766705543561	2.9443066103327094	0.01886011688782753	True		4.4	0.5712839963098524	2.615322584866661	1.9349011713005275e-05	nominal	nan
mass_aware	6	mass_aware_scan_n6_n6	4	1049	870	118	4.643787910271243	9.341342288318822	708.2631018493279	16592.96336591825	93393.90349902344	13	10	31177.277042719805	1	1	1.0	109986.86686494166	8.49314336755271e-05	0.028166888237800544	0.8491368666197797	0.3338256125363237	0.028166489542869644	True		2.3218939551356215	0.5712839963098524	2.615322584866661	3.7861440245502145e-05	nominal	nan
mass_aware	6	mass_aware_scan_n6_n6	5	3230	1566	140	13.865631466788646	26.408771290591634	2045.9027986961917	23609.139246784875	219864.0619963869	37	22	986170.132031303	6	4	1.796561633364788	243473.2012431718	0.00010846685037921507	0.05352080197713328	0.9030318773226916	4.485363015113898	0.053519834482045635	True		6.932815733394323	0.5712839963098524	2.615322584866661	4.528869970750482e-05	nominal	nan
mass_aware	6	mass_aware_outer_selected	0	2601	15818	246	159.68928115419118	22.813452955999725	1736.066376427761	220145.26468265255	2878864.3064728263	458	87	6105996.293919713	38	19	6.6902522081943365	3099009.571155479	7.36153033160644e-06	0.012959240946300387	0.9289627025577173	2.120973982758068	0.012959225046328777	True		24.6	0.5712839963098524	2.615322584866661	0.0	nominal	outer_selected
mass_aware	6	mass_aware_outer_selected	1	1007	1939	138	29.32706891884145	7.943014813894008	621.4885139792984	56095.059399916936	255405.52405281525	33	16	1093055.895808402	5	5	2.67786639022512	311500.5834527321	2.5499197227344202e-05	0.014231672470907978	0.8199198897859243	4.279687762674895	0.014231611988844813	True		5.333333333333333	0.5712839963098524	2.615322584866661	1.1891291963032254e-05	nominal	outer_selected
mass_aware	6	mass_aware_outer_selected	2	563	778	122	8.351662850759386	4.840981119006377	370.1297359162893	16902.0504736155	194739.8348119495	13	13	183995.32261072946	2	2	1.0231146917918417	211641.885285565	2.287345490461172e-05	0.01052283057545208	0.9201384430553062	0.9448263257920729	0.01052279046024795	True		2.6	0.5712839963098524	2.615322584866661	5.6656956313522435e-06	nominal	outer_selected
mass_aware	6	mass_aware_outer_selected	3	887	917	136	9.194077312215741	7.889806052787328	598.3197873398157	19115.796588555397	155883.9293070922	22	16	458970.08350350836	4	3	1.0200245505037147	174999.7258956476	4.508467663253383e-05	0.018860258603299287	0.890766705543561	2.9443066103327094	0.01886011688782753	True		4.4	0.5712839963098524	2.615322584866661	1.9349011713005275e-05	nominal	outer_selected
mass_aware	6	mass_aware_outer_selected	4	1049	870	118	4.643787910271243	9.341342288318822	708.2631018493279	16592.96336591825	93393.90349902344	13	10	31177.277042719805	1	1	1.0	109986.86686494166	8.49314336755271e-05	0.028166888237800544	0.8491368666197797	0.3338256125363237	0.028166489542869644	True		2.3218939551356215	0.5712839963098524	2.615322584866661	3.7861440245502145e-05	nominal	outer_selected
