claim_id	model	metric	nominal_full_oof	bootstrap_median	bootstrap_p16	bootstrap_p84	bootstrap_p2p5	bootstrap_p97p5	valid_replicas	invalid_replicas	units	source_file	source_row	common_bootstrap_registry_sha256	train_only	validation_used	test_used	observed_data_used
C7W-001	Mass-aware categorized BDT	combined_nominal_asimov_ZA	0.06704205574003064	0.06954408805977144	0.06286836734905951	0.07762660485930162	0.05833623100663878	0.090870780506598	1000	0	sigma	bootstrap_metric_summary.tsv	label=mass_aware_outer_selected; metric=combined_nominal_asimov_ZA	37218e5531018ea2a79473bfbee43df657b309cf06d89751509e74b586d9dc29	True	False	False	False
C7W-002	Mass-aware categorized BDT	combined_systematic_aware_asimov_ZA	0.05520192174016813	0.058432258338233414	0.050188074398698754	0.06805831822600418	0.043950749510183615	0.08313778187419421	1000	0	sigma	bootstrap_metric_summary.tsv	label=mass_aware_outer_selected; metric=combined_systematic_aware_asimov_ZA	37218e5531018ea2a79473bfbee43df657b309cf06d89751509e74b586d9dc29	True	False	False	False
C7W-003	Mass-aware categorized BDT	signal_over_background	1.909052729852405e-05	1.9122228859499793e-05	1.7586915060773127e-05	2.089959644744089e-05	1.6279403360708656e-05	2.2716760170211328e-05	1000	0	dimensionless	bootstrap_metric_summary.tsv	label=mass_aware_outer_selected; metric=signal_over_background	37218e5531018ea2a79473bfbee43df657b309cf06d89751509e74b586d9dc29	True	False	False	False
C7W-004	Mass-aware categorized BDT	background_neff	218.0042654728853	217.98932457540343	195.768598742071	242.1103439498773	175.2207699444645	269.3949525253696	1000	0	effective events	bootstrap_metric_summary.tsv	label=mass_aware_outer_selected; metric=background_neff	37218e5531018ea2a79473bfbee43df657b309cf06d89751509e74b586d9dc29	True	False	False	False
C7W-005	Mass-aware categorized BDT	transferred_qcd_fraction	0.9150823329517486	0.9148167264061698	0.9071176088444592	0.921919837157307	0.8990273381986107	0.9275996662729177	1000	0	fraction	bootstrap_metric_summary.tsv	label=mass_aware_outer_selected; metric=transferred_qcd_fraction	37218e5531018ea2a79473bfbee43df657b309cf06d89751509e74b586d9dc29	True	False	False	False
C7W-006	Mass-plane-blind categorized BDT	combined_nominal_asimov_ZA	0.0665979206999133	0.0695097455787545	0.06438855252635647	0.07607494395044045	0.06027170807394183	0.083801938984614	1000	0	sigma	bootstrap_metric_summary.tsv	label=mass_plane_blind_outer_selected; metric=combined_nominal_asimov_ZA	37218e5531018ea2a79473bfbee43df657b309cf06d89751509e74b586d9dc29	True	False	False	False
C7W-007	Mass-plane-blind categorized BDT	combined_systematic_aware_asimov_ZA	0.055447661935330066	0.0591615814353553	0.053132808594972186	0.06653054423620701	0.04779043471263054	0.076076154744935	1000	0	sigma	bootstrap_metric_summary.tsv	label=mass_plane_blind_outer_selected; metric=combined_systematic_aware_asimov_ZA	37218e5531018ea2a79473bfbee43df657b309cf06d89751509e74b586d9dc29	True	False	False	False
C7W-008	Mass-plane-blind categorized BDT	signal_over_background	1.9090527298524043e-05	1.912222885949979e-05	1.7586915060773127e-05	2.089959644744088e-05	1.6279403360708652e-05	2.2716760170211325e-05	1000	0	dimensionless	bootstrap_metric_summary.tsv	label=mass_plane_blind_outer_selected; metric=signal_over_background	37218e5531018ea2a79473bfbee43df657b309cf06d89751509e74b586d9dc29	True	False	False	False
C7W-009	Mass-plane-blind categorized BDT	background_neff	218.0042654728853	217.98932457540343	195.76859874207102	242.11034394987726	175.2207699444646	269.3949525253696	1000	0	effective events	bootstrap_metric_summary.tsv	label=mass_plane_blind_outer_selected; metric=background_neff	37218e5531018ea2a79473bfbee43df657b309cf06d89751509e74b586d9dc29	True	False	False	False
C7W-010	Mass-plane-blind categorized BDT	transferred_qcd_fraction	0.9150823329517483	0.91481672640617	0.9071176088444595	0.9219198371573069	0.8990273381986108	0.9275996662729179	1000	0	fraction	bootstrap_metric_summary.tsv	label=mass_plane_blind_outer_selected; metric=transferred_qcd_fraction	37218e5531018ea2a79473bfbee43df657b309cf06d89751509e74b586d9dc29	True	False	False	False
