comparison	model	reference_model	metric	nominal_difference	bootstrap_mean	bootstrap_median	bootstrap_standard_deviation	bootstrap_p16	bootstrap_p84	bootstrap_p2p5	bootstrap_p97p5	valid_replicas	invalid_replicas	invalid_reason_counts_json	fraction_valid_difference_greater_than_zero	interval_includes_zero_68	interval_includes_zero_95
mass_aware_scan_n2_n2_minus_inclusive_bdt	mass_aware_scan_n2_n2	inclusive_bdt	combined_nominal_asimov_ZA	0.001316205455200628	0.0012797999545380954	0.001457159724413029	0.0019673791211649084	-0.0005948631237507472	0.0030838758516750857	-0.0030584638235782976	0.004586899398581059	1000	0	{}	0.784	True	True
mass_aware_scan_n2_n2_minus_inclusive_bdt	mass_aware_scan_n2_n2	inclusive_bdt	combined_systematic_aware_asimov_ZA	0.05297798290839312	0.0536387588808109	0.05319815119797585	0.0067102921749372536	0.047001441669740775	0.06012755428293318	0.04178771428840646	0.06809492520510325	865	135	"{""model or reference metric undefined"":135}"	1.0	False	False
mass_aware_scan_n2_n2_minus_inclusive_bdt	mass_aware_scan_n2_n2	inclusive_bdt	signal_over_background	-6.48946186704139e-05	-6.721004383045661e-05	-6.54408993018186e-05	1.598972678541276e-05	-8.232487791546669e-05	-5.1429540555402074e-05	-0.00010608114880316962	-4.212778719230475e-05	1000	0	{}	0.0	False	False
mass_aware_scan_n2_n2_minus_inclusive_bdt	mass_aware_scan_n2_n2	inclusive_bdt	background_neff	189.8878304132847	189.72898380090012	188.37875499331278	21.475943220289388	169.6848623306768	209.76757036954788	150.83110962854894	236.4425412094307	1000	0	{}	1.0	False	False
mass_aware_scan_n3_n3_minus_inclusive_bdt	mass_aware_scan_n3_n3	inclusive_bdt	combined_nominal_asimov_ZA	0.001072672832872032	0.0019859619530824815	0.0018423788029918522	0.005481206613314997	-0.0032214140117489635	0.006841717678976255	-0.007632439798897743	0.013752420297016291	1000	0	{}	0.636	True	True
mass_aware_scan_n3_n3_minus_inclusive_bdt	mass_aware_scan_n3_n3	inclusive_bdt	combined_systematic_aware_asimov_ZA	0.05222334090956395	0.05404021125234433	0.0536716092004654	0.007731483736531206	0.046399344995437346	0.060904513817103066	0.04104505361353458	0.07141526737096833	865	135	"{""model or reference metric undefined"":135}"	1.0	False	False
mass_aware_scan_n3_n3_minus_inclusive_bdt	mass_aware_scan_n3_n3	inclusive_bdt	signal_over_background	-6.48946186704139e-05	-6.721004383045661e-05	-6.544089930181861e-05	1.5989726785412755e-05	-8.232487791546669e-05	-5.1429540555402074e-05	-0.00010608114880316962	-4.212778719230475e-05	1000	0	{}	0.0	False	False
mass_aware_scan_n3_n3_minus_inclusive_bdt	mass_aware_scan_n3_n3	inclusive_bdt	background_neff	189.8878304132847	189.72898380090012	188.37875499331284	21.475943220289388	169.68486233067685	209.76757036954794	150.831109628549	236.44254120943086	1000	0	{}	1.0	False	False
mass_aware_scan_n4_n4_minus_inclusive_bdt	mass_aware_scan_n4_n4	inclusive_bdt	combined_nominal_asimov_ZA	0.008113833329644243	0.009873997388656113	0.009259196296186246	0.0068016368834126085	0.003407623200615305	0.01573916648475428	-0.0007953262327416709	0.025689984171389995	1000	0	{}	0.96	False	True
mass_aware_scan_n4_n4_minus_inclusive_bdt	mass_aware_scan_n4_n4	inclusive_bdt	combined_systematic_aware_asimov_ZA	0.06083689853162495	0.06355945412839283	0.06261987114938991	0.009104887775778175	0.054865784387693545	0.07269849304385909	0.048727623532736075	0.0854267926994946	865	135	"{""model or reference metric undefined"":135}"	1.0	False	False
mass_aware_scan_n4_n4_minus_inclusive_bdt	mass_aware_scan_n4_n4	inclusive_bdt	signal_over_background	-6.48946186704139e-05	-6.721004383045661e-05	-6.544089930181861e-05	1.598972678541276e-05	-8.232487791546669e-05	-5.1429540555402074e-05	-0.00010608114880316962	-4.212778719230475e-05	1000	0	{}	0.0	False	False
