role	path	bytes	sha256	rows	columns	row_groups	committed_event_product
development_all_cache	outputs/agent_runs/hh4b_full_5m_200k_development_common_cache_20260728_v2/cache/development_all_canonical72_plus_features.parquet	32977848	bc7f574e84f26efd706b09e92071d86ded5699dfa773268849410cd84c42c707	63386	89	367	False
development_train_cache	outputs/agent_runs/hh4b_full_5m_200k_development_common_cache_20260728_v2/cache/development_train_canonical72_plus_features.parquet	27448012	da5ad0750a98986bf1687b66b223a2851a131fbf86aeb05753a71b84ca5cf6b7	53162	89	298	False
development_validation_cache	outputs/agent_runs/hh4b_full_5m_200k_development_common_cache_20260728_v2/cache/development_validation_canonical72_plus_features.parquet	5532575	1f14ffca2d9fdb954bee07c9652414f34df467e8b47680b2b14b254e0fe2e2a0	10224	89	69	False
