position	name	arrow_type	role
0	sample	string	canonical72
1	event	int64	canonical72
2	n_selected_jets	int64	canonical72
3	n_selected_bjets	int64	canonical72
4	n_extra_selected_jets	int64	canonical72
5	n_extra_selected_bjets	int64	canonical72
6	ht_selected_jets	double	canonical72
7	ht_selected_bjets	double	canonical72
8	ht_candidate_jets	double	canonical72
9	pairing	string	canonical72
10	pairing_combo_bjet_ranks	string	canonical72
11	pairing_score_125_125	double	canonical72
12	higgs_ordering	string	canonical72
13	mbb1	double	canonical72
14	mbb2	double	canonical72
15	avg_mbb	double	canonical72
16	delta_mbb	double	canonical72
17	r_hh	double	canonical72
18	r_hh_125_125	double	canonical72
19	r_hh_125_120	double	canonical72
20	mhh	double	canonical72
21	hh_pt	double	canonical72
22	hh_eta	double	canonical72
23	hh_phi	double	canonical72
24	h1_pt	double	canonical72
25	h1_eta	double	canonical72
26	h1_phi	double	canonical72
27	h2_pt	double	canonical72
28	h2_eta	double	canonical72
29	h2_phi	double	canonical72
30	h_delta_eta	double	canonical72
31	h_delta_phi	double	canonical72
32	h_delta_r	double	canonical72
33	h_pt_balance	double	canonical72
34	drbb1	double	canonical72
35	drbb2	double	canonical72
36	j1_pt	double	canonical72
37	j2_pt	double	canonical72
38	j3_pt	double	canonical72
39	j4_pt	double	canonical72
40	j1_eta	double	canonical72
41	j1_phi	double	canonical72
42	j1_mass	double	canonical72
43	j1_btag	double	canonical72
44	j1_flavor	int64	canonical72
45	j1_raw_index	int64	canonical72
46	j1_selected_index	int64	canonical72
47	j1_bjet_rank	int64	canonical72
48	j2_eta	double	canonical72
49	j2_phi	double	canonical72
50	j2_mass	double	canonical72
51	j2_btag	double	canonical72
52	j2_flavor	int64	canonical72
53	j2_raw_index	int64	canonical72
54	j2_selected_index	int64	canonical72
55	j2_bjet_rank	int64	canonical72
56	j3_eta	double	canonical72
57	j3_phi	double	canonical72
58	j3_mass	double	canonical72
59	j3_btag	double	canonical72
60	j3_flavor	int64	canonical72
61	j3_raw_index	int64	canonical72
62	j3_selected_index	int64	canonical72
63	j3_bjet_rank	int64	canonical72
64	j4_eta	double	canonical72
65	j4_phi	double	canonical72
66	j4_mass	double	canonical72
67	j4_btag	double	canonical72
68	j4_flavor	int64	canonical72
69	j4_raw_index	int64	canonical72
70	j4_selected_index	int64	canonical72
71	j4_bjet_rank	int64	canonical72
72	abs_hh_eta	double	deterministic_derived_feature
73	abs_h1_eta	double	deterministic_derived_feature
74	abs_h2_eta	double	deterministic_derived_feature
75	abs_h_delta_eta	double	deterministic_derived_feature
76	abs_h_delta_phi	double	deterministic_derived_feature
77	abs_j1_eta	double	deterministic_derived_feature
78	abs_j2_eta	double	deterministic_derived_feature
79	abs_j3_eta	double	deterministic_derived_feature
80	abs_j4_eta	double	deterministic_derived_feature
81	registry_sample_class	string	registry_metadata
82	registry_source_index	int64	registry_metadata
83	registry_member_id	string	registry_metadata
84	registry_process_or_mode	string	registry_metadata
85	registry_group_id	string	registry_metadata
86	registry_final_split	string	registry_metadata
87	registry_training_target	int8	registry_metadata
88	registry_member_row	int32	registry_metadata
