target_index	source_tag	transport_class	fragment_path	fragment_sha256s_sha256	complete_marker_sha256	sidecar_or_uniform_sha256
1	qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin01_pthat75to100_shard1120_seed1211120	variable	/uscms/home/iturkmen/pn_c4i_qcd_train_generator_weight_transport_scaleout_20260729_v1/fragments/qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin01_pthat75to100_shard1120_seed1211120	2358e6987f933cd1679e37033555cb67f21403528f90300b84b33a8e5b2eee15	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	06e883237c3661f095ea36ecc5a9428bd4e355dc428d1e7580be50412f4e18a7
2	qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin00_pthat50to75_shard1033_seed1201033	variable	/uscms/home/iturkmen/pn_c4i_qcd_train_generator_weight_transport_scaleout_20260729_v1/fragments/qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin00_pthat50to75_shard1033_seed1201033	986b02c0f2bd635178ab535d9ce71c73a11a25e9740bcf9590b8419306e428af	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	a487619a0e3fb2a3f281567aac3a0ffe2dfd1c0a739f81a9f459ca6074819f03
3	qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin00_pthat50to75_shard1034_seed1201034	variable	/uscms/home/iturkmen/pn_c4i_qcd_train_generator_weight_transport_scaleout_20260729_v1/fragments/qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin00_pthat50to75_shard1034_seed1201034	22fbcb36ea24b571ec2dc16ec8eec5c8974853e2a2af172e406b581c773888a9	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	a487619a0e3fb2a3f281567aac3a0ffe2dfd1c0a739f81a9f459ca6074819f03
4	qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin00_pthat50to75_shard1037_seed1201037	variable	/uscms/home/iturkmen/pn_c4i_qcd_train_generator_weight_transport_scaleout_20260729_v1/fragments/qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin00_pthat50to75_shard1037_seed1201037	f051cb5c0dd362ce4168197002bae2918ea33c6cbda20d713478cab4441d842c	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	a487619a0e3fb2a3f281567aac3a0ffe2dfd1c0a739f81a9f459ca6074819f03
5	qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin00_pthat50to75_shard1040_seed1201040	variable	/uscms/home/iturkmen/pn_c4i_qcd_train_generator_weight_transport_scaleout_20260729_v1/fragments/qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin00_pthat50to75_shard1040_seed1201040	08c91c17f7cec1665dcb30346cb94dbc6b0a1db26a39c1b938854e14bbf39c88	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	a487619a0e3fb2a3f281567aac3a0ffe2dfd1c0a739f81a9f459ca6074819f03
6	qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin00_pthat50to75_shard1042_seed1201042	variable	/uscms/home/iturkmen/pn_c4i_qcd_train_generator_weight_transport_scaleout_20260729_v1/fragments/qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin00_pthat50to75_shard1042_seed1201042	bd1c395d0f573be4714bc24b6d74ea1d36ad981c83ea1f19232329095d63f3d1	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	a487619a0e3fb2a3f281567aac3a0ffe2dfd1c0a739f81a9f459ca6074819f03
7	qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin00_pthat50to75_shard1043_seed1201043	variable	/uscms/home/iturkmen/pn_c4i_qcd_train_generator_weight_transport_scaleout_20260729_v1/fragments/qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin00_pthat50to75_shard1043_seed1201043	ed37ca40e3717044d99d825e5b0d0deaaa7f50e33fe0eebc48e4a12f148a77c5	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	a487619a0e3fb2a3f281567aac3a0ffe2dfd1c0a739f81a9f459ca6074819f03
8	qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin00_pthat50to75_shard1047_seed1201047	variable	/uscms/home/iturkmen/pn_c4i_qcd_train_generator_weight_transport_scaleout_20260729_v1/fragments/qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin00_pthat50to75_shard1047_seed1201047	12adc43f6ba6217963bc7d9a3c85c46adb7c03b60ea69fb1b3f110aa8d62fe3d	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	a487619a0e3fb2a3f281567aac3a0ffe2dfd1c0a739f81a9f459ca6074819f03
9	qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin00_pthat50to75_shard1048_seed1201048	variable	/uscms/home/iturkmen/pn_c4i_qcd_train_generator_weight_transport_scaleout_20260729_v1/fragments/qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin00_pthat50to75_shard1048_seed1201048	ce33ed8438fd9686d956610a605b7df92dba89d3240340a7a3af926f9d91b720	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	a487619a0e3fb2a3f281567aac3a0ffe2dfd1c0a739f81a9f459ca6074819f03
10	qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin00_pthat50to75_shard1050_seed1201050	variable	/uscms/home/iturkmen/pn_c4i_qcd_train_generator_weight_transport_scaleout_20260729_v1/fragments/qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin00_pthat50to75_shard1050_seed1201050	5f90e8d9e5e74c5f354a9b97366d21aa3b96deeccc7e52d8b072823314e51626	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	a487619a0e3fb2a3f281567aac3a0ffe2dfd1c0a739f81a9f459ca6074819f03
