target_index	source_tag	campaign	transport_class	generated_events	candidate_rows	candidate_sha256	source_bundle_sha256	source_bundle_sha256_origin	fragment_sha256s_sha256	fragment_complete_marker_sha256	root_tree	root_weight_branch	root_weight_storage_dtype	n_events_closure	sum_event_weights_closure	sum_squared_event_weights_closure	min_event_weight_closure	max_event_weight_closure	candidate_event_join_column	candidate_event_join_pass	sidecar_rows	source_bundle_sha256_frozen_during_transport	validation_payload_files_opened	evaluation_payload_files_opened	physical_luminosity_weights_calculated	physical_yields_calculated	transport_complete
1	qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin01_pthat75to100_shard1120_seed1211120	qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718	variable	10000	1	a08cdbb8de3993bc7ce6f1c62bf1d37e185ed7b804f6674155555a70ad76cfd5	513ba20ad3e2246c3b687bb26dcf692e6f267731eabe515463a990d1ba98e712	pn_c4f_exact_bundle_checksum	2358e6987f933cd1679e37033555cb67f21403528f90300b84b33a8e5b2eee15	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	Delphes;1	Event/Event.Weight	<f4	True	True	True	True	True	event	True	1	False	0	0	0	0	True
2	qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin00_pthat50to75_shard1033_seed1201033	qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718	variable	10000	0	a895d60c3634d5e3b0d305fbd8a89c1adb2d7eb2a79f698bc0eff08f3be0ef20	a5994e5b40ec3b27b46b651cf58ff12ca997c85b81373f86bd93ab73259db65a	pn_c4i_first_transport_checksum_freeze	986b02c0f2bd635178ab535d9ce71c73a11a25e9740bcf9590b8419306e428af	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	Delphes;1	Event/Event.Weight	<f4	True	True	True	True	True	not_required_zero_candidate_rows	True	0	True	0	0	0	0	True
3	qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin00_pthat50to75_shard1034_seed1201034	qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718	variable	10000	0	a895d60c3634d5e3b0d305fbd8a89c1adb2d7eb2a79f698bc0eff08f3be0ef20	fd9596302f6f49037089417b2d40557c2990d35ae276be172b70beb77d6ccdf4	pn_c4f_exact_bundle_checksum	22fbcb36ea24b571ec2dc16ec8eec5c8974853e2a2af172e406b581c773888a9	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	Delphes;1	Event/Event.Weight	<f4	True	True	True	True	True	not_required_zero_candidate_rows	True	0	False	0	0	0	0	True
4	qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin00_pthat50to75_shard1037_seed1201037	qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718	variable	10000	0	a895d60c3634d5e3b0d305fbd8a89c1adb2d7eb2a79f698bc0eff08f3be0ef20	e8779e7e04444686318c2eb7cc33cc7729e581c5549c3f47fa0347370899a00e	pn_c4f_exact_bundle_checksum	f051cb5c0dd362ce4168197002bae2918ea33c6cbda20d713478cab4441d842c	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	Delphes;1	Event/Event.Weight	<f4	True	True	True	True	True	not_required_zero_candidate_rows	True	0	False	0	0	0	0	True
5	qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin00_pthat50to75_shard1040_seed1201040	qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718	variable	10000	0	a895d60c3634d5e3b0d305fbd8a89c1adb2d7eb2a79f698bc0eff08f3be0ef20	9e6fd84184d1d5a6de83751a2dbfc5747c6dc4f0a6573c854853a0306284e069	pn_c4f_exact_bundle_checksum	08c91c17f7cec1665dcb30346cb94dbc6b0a1db26a39c1b938854e14bbf39c88	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	Delphes;1	Event/Event.Weight	<f4	True	True	True	True	True	not_required_zero_candidate_rows	True	0	False	0	0	0	0	True
6	qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin00_pthat50to75_shard1042_seed1201042	qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718	variable	10000	0	a895d60c3634d5e3b0d305fbd8a89c1adb2d7eb2a79f698bc0eff08f3be0ef20	9faff54cdfacf76f6c85877546c407e3a4ea0d2a6a8217377f14ec8b53861811	pn_c4f_exact_bundle_checksum	bd1c395d0f573be4714bc24b6d74ea1d36ad981c83ea1f19232329095d63f3d1	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	Delphes;1	Event/Event.Weight	<f4	True	True	True	True	True	not_required_zero_candidate_rows	True	0	False	0	0	0	0	True
7	qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin00_pthat50to75_shard1043_seed1201043	qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718	variable	10000	0	a895d60c3634d5e3b0d305fbd8a89c1adb2d7eb2a79f698bc0eff08f3be0ef20	324b8d0f104be7a8f7191ee757ab38ef88d7c2e5cfe244e515cf23f9afdbd50f	pn_c4f_exact_bundle_checksum	ed37ca40e3717044d99d825e5b0d0deaaa7f50e33fe0eebc48e4a12f148a77c5	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	Delphes;1	Event/Event.Weight	<f4	True	True	True	True	True	not_required_zero_candidate_rows	True	0	False	0	0	0	0	True
8	qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin00_pthat50to75_shard1047_seed1201047	qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718	variable	10000	0	a895d60c3634d5e3b0d305fbd8a89c1adb2d7eb2a79f698bc0eff08f3be0ef20	a514ca2228e8e57906ff99be9945a77f86dbacc589571d4991cdd1d50f7dccf3	pn_c4f_exact_bundle_checksum	12adc43f6ba6217963bc7d9a3c85c46adb7c03b60ea69fb1b3f110aa8d62fe3d	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	Delphes;1	Event/Event.Weight	<f4	True	True	True	True	True	not_required_zero_candidate_rows	True	0	False	0	0	0	0	True
9	qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin00_pthat50to75_shard1048_seed1201048	qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718	variable	10000	0	a895d60c3634d5e3b0d305fbd8a89c1adb2d7eb2a79f698bc0eff08f3be0ef20	34ee79726196c7b7230c2bd0681b085250f748835df69033b797873819a23a29	pn_c4f_exact_bundle_checksum	ce33ed8438fd9686d956610a605b7df92dba89d3240340a7a3af926f9d91b720	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	Delphes;1	Event/Event.Weight	<f4	True	True	True	True	True	not_required_zero_candidate_rows	True	0	False	0	0	0	0	True
10	qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin00_pthat50to75_shard1050_seed1201050	qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718	variable	10000	0	a895d60c3634d5e3b0d305fbd8a89c1adb2d7eb2a79f698bc0eff08f3be0ef20	cb51701b350006b5ec7dbcd1654ff03a4ddde204a28d1400ee53471c414f4934	pn_c4f_exact_bundle_checksum	5f90e8d9e5e74c5f354a9b97366d21aa3b96deeccc7e52d8b072823314e51626	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	Delphes;1	Event/Event.Weight	<f4	True	True	True	True	True	not_required_zero_candidate_rows	True	0	False	0	0	0	0	True
11	qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin00_pthat50to75_shard1051_seed1201051	qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718	variable	10000	0	a895d60c3634d5e3b0d305fbd8a89c1adb2d7eb2a79f698bc0eff08f3be0ef20	8224c7ab90ec239ce543f03bc6376e783fa4a65ab3bd0e7deb21206025ef6ced	pn_c4f_exact_bundle_checksum	3feb22d24856d0de3e364be725206c1bea0e2a35bef5d92620b9e50afeb0ce2c	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	Delphes;1	Event/Event.Weight	<f4	True	True	True	True	True	not_required_zero_candidate_rows	True	0	False	0	0	0	0	True
12	qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin00_pthat50to75_shard1052_seed1201052	qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718	variable	10000	0	a895d60c3634d5e3b0d305fbd8a89c1adb2d7eb2a79f698bc0eff08f3be0ef20	3bc4a9634fee9e2f2e26b474e055fc3c14d267e375018b4277915e6ce0fb05a7	pn_c4f_exact_bundle_checksum	157b0993ad488ff46e2bb6317a042ef18f5594034b3057b0eed9201be8d782d7	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	Delphes;1	Event/Event.Weight	<f4	True	True	True	True	True	not_required_zero_candidate_rows	True	0	False	0	0	0	0	True
13	qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin00_pthat50to75_shard1054_seed1201054	qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718	variable	10000	0	a895d60c3634d5e3b0d305fbd8a89c1adb2d7eb2a79f698bc0eff08f3be0ef20	66b33fed74de5490b673ca439fd92e0c540f0dc8a4595f5a57aef7ad4f25c565	pn_c4f_exact_bundle_checksum	fb19f83ff2eb98c8c8e480ab33633b1a6fcf3fedbba083883fc7d7817b869a67	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	Delphes;1	Event/Event.Weight	<f4	True	True	True	True	True	not_required_zero_candidate_rows	True	0	False	0	0	0	0	True
14	qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin00_pthat50to75_shard1057_seed1201057	qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718	variable	10000	0	a895d60c3634d5e3b0d305fbd8a89c1adb2d7eb2a79f698bc0eff08f3be0ef20	ca897c8ef4da31167dcb49d45eb6d743025009624cc6b9407e084e612eae6453	pn_c4f_exact_bundle_checksum	718bbe814dc118272011bbb8392e40126c669ce8e9250fdc88b3b0e024d2f80f	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	Delphes;1	Event/Event.Weight	<f4	True	True	True	True	True	not_required_zero_candidate_rows	True	0	False	0	0	0	0	True
15	qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin00_pthat50to75_shard1058_seed1201058	qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718	variable	10000	0	a895d60c3634d5e3b0d305fbd8a89c1adb2d7eb2a79f698bc0eff08f3be0ef20	a24f114f1c08c431d55db64d8c0c6a4a37ac98a34d75b0690b4c7c722a39109e	pn_c4f_exact_bundle_checksum	87c30a7a6c94de26fce99d504b8efa6dba72dad6c99db472ff2ea1e64543bdb2	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	Delphes;1	Event/Event.Weight	<f4	True	True	True	True	True	not_required_zero_candidate_rows	True	0	False	0	0	0	0	True
16	qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin00_pthat50to75_shard1059_seed1201059	qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718	variable	10000	0	a895d60c3634d5e3b0d305fbd8a89c1adb2d7eb2a79f698bc0eff08f3be0ef20	0e4dc7a6a51b6b9da46568fbadb5cbeec5905cf244c1e189cf09bb1cfd074122	pn_c4f_exact_bundle_checksum	cb520c67c01f535f6b09d03616f818398a7d1b93a212da7ab027aabe9e53fd22	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	Delphes;1	Event/Event.Weight	<f4	True	True	True	True	True	not_required_zero_candidate_rows	True	0	False	0	0	0	0	True
17	qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin00_pthat50to75_shard1060_seed1201060	qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718	variable	10000	0	a895d60c3634d5e3b0d305fbd8a89c1adb2d7eb2a79f698bc0eff08f3be0ef20	e53248dc9a34004d4547f7a3be147f18c626023b50f7329a8757e0c346ef6baf	pn_c4f_exact_bundle_checksum	0b877943d32be13efad9f97f04bf82d6bfc9442ff89404606c651d1a1772849c	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	Delphes;1	Event/Event.Weight	<f4	True	True	True	True	True	not_required_zero_candidate_rows	True	0	False	0	0	0	0	True
18	qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin00_pthat50to75_shard1061_seed1201061	qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718	variable	10000	0	a895d60c3634d5e3b0d305fbd8a89c1adb2d7eb2a79f698bc0eff08f3be0ef20	0097c6ac61640f17d18d378144ede341ff24bc0f2532d2bbd64fffcfe5f0ef63	pn_c4f_exact_bundle_checksum	87cb3e9ffa8f596f84e631fe92ca16155137806c3772fb7e11523a47daa73208	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	Delphes;1	Event/Event.Weight	<f4	True	True	True	True	True	not_required_zero_candidate_rows	True	0	False	0	0	0	0	True
19	qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin00_pthat50to75_shard1063_seed1201063	qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718	variable	10000	0	a895d60c3634d5e3b0d305fbd8a89c1adb2d7eb2a79f698bc0eff08f3be0ef20	e574587b5fda97ec7696650916402708716d7c1d6908599635e8477930910360	pn_c4f_exact_bundle_checksum	18f301ea058a3c2854b0a723d2690b7188843455f7d4f2d4b6dccfbd03f71cf6	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	Delphes;1	Event/Event.Weight	<f4	True	True	True	True	True	not_required_zero_candidate_rows	True	0	False	0	0	0	0	True
