target_index	sample_class	process_or_mode	campaign	source_tag	remote_bundle_path	final_split	final_role	future_use	candidate_path	candidate_sha256	candidate_rows_metadata	n_events	bin_index	pthat_min_GeV	pthat_max_GeV	shard_id	seed	weights_uniform_positive	per_event_weight_transport_required	generator_coefficient_pb_per_event_weight	expected_sum_event_weights	expected_sum_squared_event_weights	expected_min_event_weight	expected_max_event_weight	source_bundle_sha256_expected	source_bundle_sha256_origin	metadata_origin	transport_plan	payload_access_authorized	source_commit
1	background	qcd_hardqcd	qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718	qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin01_pthat75to100_shard1120_seed1211120	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718/qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin01_pthat75to100_shard1120_seed1211120_bundle.tar.gz	train	development_train	model_fit	/uscms_data/d3/iturkmen/hh4b_delphes/parquet_materialized/background_frozen_v2_strict493_materialization_20260724_v1/train/qcd_hardqcd/0095_qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin01_pthat75to100_shard1120_seed1211120_hh4b_candidates_v2.parquet	a08cdbb8de3993bc7ce6f1c62bf1d37e185ed7b804f6674155555a70ad76cfd5	1	10000	1	75	100	1120	1211120	False	True	5.1242287813082905	10001.869528460929	10003.932390074662	1	1.1781838269060791	513ba20ad3e2246c3b687bb26dcf692e6f267731eabe515463a990d1ba98e712	pn_c4f_exact_bundle_checksum	pn_c4f_exact_small_bundle_recovery	extract_event_weight_sidecar_train_only	True	60fa40399f6205bd2e5d8cda3d243e287d65a5e8
2	background	qcd_hardqcd	qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718	qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin00_pthat50to75_shard1033_seed1201033	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718/qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin00_pthat50to75_shard1033_seed1201033_bundle.tar.gz	train	development_train	model_fit	/uscms_data/d3/iturkmen/hh4b_delphes/parquet_materialized/background_frozen_v2_strict493_materialization_20260724_v1/train/qcd_hardqcd/0034_qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin00_pthat50to75_shard1033_seed1201033_hh4b_candidates_v2.parquet	a895d60c3634d5e3b0d305fbd8a89c1adb2d7eb2a79f698bc0eff08f3be0ef20	0	10000	0	50	75	1033	1201033	False	True	13.605786305718333	10000.146754329471	10000.298022688956	1	1.0420168291999075		pn_c4i_first_transport_checksum_freeze	preexisting_exact_metadata	extract_event_weight_sidecar_train_only	True	60fa40399f6205bd2e5d8cda3d243e287d65a5e8
3	background	qcd_hardqcd	qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718	qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin00_pthat50to75_shard1034_seed1201034	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718/qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin00_pthat50to75_shard1034_seed1201034_bundle.tar.gz	train	development_train	model_fit	/uscms_data/d3/iturkmen/hh4b_delphes/parquet_materialized/background_frozen_v2_strict493_materialization_20260724_v1/train/qcd_hardqcd/0035_qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin00_pthat50to75_shard1034_seed1201034_hh4b_candidates_v2.parquet	a895d60c3634d5e3b0d305fbd8a89c1adb2d7eb2a79f698bc0eff08f3be0ef20	0	10000	0	50	75	1034	1201034	False	True	13.76672712310314	10000.023700887348	10000.047963506757	1	1.0237008873478448	fd9596302f6f49037089417b2d40557c2990d35ae276be172b70beb77d6ccdf4	pn_c4f_exact_bundle_checksum	pn_c4f_exact_small_bundle_recovery	extract_event_weight_sidecar_train_only	True	60fa40399f6205bd2e5d8cda3d243e287d65a5e8
4	background	qcd_hardqcd	qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718	qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin00_pthat50to75_shard1037_seed1201037	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718/qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin00_pthat50to75_shard1037_seed1201037_bundle.tar.gz	train	development_train	model_fit	/uscms_data/d3/iturkmen/hh4b_delphes/parquet_materialized/background_frozen_v2_strict493_materialization_20260724_v1/train/qcd_hardqcd/0037_qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin00_pthat50to75_shard1037_seed1201037_hh4b_candidates_v2.parquet	a895d60c3634d5e3b0d305fbd8a89c1adb2d7eb2a79f698bc0eff08f3be0ef20	0	10000	0	50	75	1037	1201037	False	True	13.44299310386733	10000.0303036851	10000.061393283439	1	1.0279337941984796	e8779e7e04444686318c2eb7cc33cc7729e581c5549c3f47fa0347370899a00e	pn_c4f_exact_bundle_checksum	pn_c4f_exact_small_bundle_recovery	extract_event_weight_sidecar_train_only	True	60fa40399f6205bd2e5d8cda3d243e287d65a5e8
5	background	qcd_hardqcd	qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718	qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin00_pthat50to75_shard1040_seed1201040	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718/qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin00_pthat50to75_shard1040_seed1201040_bundle.tar.gz	train	development_train	model_fit	/uscms_data/d3/iturkmen/hh4b_delphes/parquet_materialized/background_frozen_v2_strict493_materialization_20260724_v1/train/qcd_hardqcd/0039_qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin00_pthat50to75_shard1040_seed1201040_hh4b_candidates_v2.parquet	a895d60c3634d5e3b0d305fbd8a89c1adb2d7eb2a79f698bc0eff08f3be0ef20	0	10000	0	50	75	1040	1201040	False	True	13.722743312882667	10000.102292154292	10000.208047905227	1	1.0432204995041205	9e6fd84184d1d5a6de83751a2dbfc5747c6dc4f0a6573c854853a0306284e069	pn_c4f_exact_bundle_checksum	pn_c4f_exact_small_bundle_recovery	extract_event_weight_sidecar_train_only	True	60fa40399f6205bd2e5d8cda3d243e287d65a5e8
6	background	qcd_hardqcd	qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718	qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin00_pthat50to75_shard1042_seed1201042	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718/qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin00_pthat50to75_shard1042_seed1201042_bundle.tar.gz	train	development_train	model_fit	/uscms_data/d3/iturkmen/hh4b_delphes/parquet_materialized/background_frozen_v2_strict493_materialization_20260724_v1/train/qcd_hardqcd/0041_qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin00_pthat50to75_shard1042_seed1201042_hh4b_candidates_v2.parquet	a895d60c3634d5e3b0d305fbd8a89c1adb2d7eb2a79f698bc0eff08f3be0ef20	0	10000	0	50	75	1042	1201042	False	True	13.706064299433692	10000.115707301869	10000.236077715626	1	1.0496135636373305	9faff54cdfacf76f6c85877546c407e3a4ea0d2a6a8217377f14ec8b53861811	pn_c4f_exact_bundle_checksum	pn_c4f_exact_small_bundle_recovery	extract_event_weight_sidecar_train_only	True	60fa40399f6205bd2e5d8cda3d243e287d65a5e8
7	background	qcd_hardqcd	qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718	qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin00_pthat50to75_shard1043_seed1201043	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718/qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin00_pthat50to75_shard1043_seed1201043_bundle.tar.gz	train	development_train	model_fit	/uscms_data/d3/iturkmen/hh4b_delphes/parquet_materialized/background_frozen_v2_strict493_materialization_20260724_v1/train/qcd_hardqcd/0042_qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin00_pthat50to75_shard1043_seed1201043_hh4b_candidates_v2.parquet	a895d60c3634d5e3b0d305fbd8a89c1adb2d7eb2a79f698bc0eff08f3be0ef20	0	10000	0	50	75	1043	1201043	False	True	13.583535817451523	10000.015370532157	10000.030977317572	1	1.015370532156247	324b8d0f104be7a8f7191ee757ab38ef88d7c2e5cfe244e515cf23f9afdbd50f	pn_c4f_exact_bundle_checksum	pn_c4f_exact_small_bundle_recovery	extract_event_weight_sidecar_train_only	True	60fa40399f6205bd2e5d8cda3d243e287d65a5e8
8	background	qcd_hardqcd	qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718	qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin00_pthat50to75_shard1047_seed1201047	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718/qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin00_pthat50to75_shard1047_seed1201047_bundle.tar.gz	train	development_train	model_fit	/uscms_data/d3/iturkmen/hh4b_delphes/parquet_materialized/background_frozen_v2_strict493_materialization_20260724_v1/train/qcd_hardqcd/0043_qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin00_pthat50to75_shard1047_seed1201047_hh4b_candidates_v2.parquet	a895d60c3634d5e3b0d305fbd8a89c1adb2d7eb2a79f698bc0eff08f3be0ef20	0	10000	0	50	75	1047	1201047	False	True	13.604440144531324	10000.029663826534	10000.060207595672	1	1.0296638265336981	a514ca2228e8e57906ff99be9945a77f86dbacc589571d4991cdd1d50f7dccf3	pn_c4f_exact_bundle_checksum	pn_c4f_exact_small_bundle_recovery	extract_event_weight_sidecar_train_only	True	60fa40399f6205bd2e5d8cda3d243e287d65a5e8
9	background	qcd_hardqcd	qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718	qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin00_pthat50to75_shard1048_seed1201048	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718/qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin00_pthat50to75_shard1048_seed1201048_bundle.tar.gz	train	development_train	model_fit	/uscms_data/d3/iturkmen/hh4b_delphes/parquet_materialized/background_frozen_v2_strict493_materialization_20260724_v1/train/qcd_hardqcd/0044_qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin00_pthat50to75_shard1048_seed1201048_hh4b_candidates_v2.parquet	a895d60c3634d5e3b0d305fbd8a89c1adb2d7eb2a79f698bc0eff08f3be0ef20	0	10000	0	50	75	1048	1201048	False	True	13.55312858274859	10000.037863696645	10000.076450368761	1	1.0206848042078669	34ee79726196c7b7230c2bd0681b085250f748835df69033b797873819a23a29	pn_c4f_exact_bundle_checksum	pn_c4f_exact_small_bundle_recovery	extract_event_weight_sidecar_train_only	True	60fa40399f6205bd2e5d8cda3d243e287d65a5e8
10	background	qcd_hardqcd	qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718	qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin00_pthat50to75_shard1050_seed1201050	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718/qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin00_pthat50to75_shard1050_seed1201050_bundle.tar.gz	train	development_train	model_fit	/uscms_data/d3/iturkmen/hh4b_delphes/parquet_materialized/background_frozen_v2_strict493_materialization_20260724_v1/train/qcd_hardqcd/0045_qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin00_pthat50to75_shard1050_seed1201050_hh4b_candidates_v2.parquet	a895d60c3634d5e3b0d305fbd8a89c1adb2d7eb2a79f698bc0eff08f3be0ef20	0	10000	0	50	75	1050	1201050	False	True	13.472581685491809	10000.020317374023	10000.041047543735	1	1.0203173740238287	cb51701b350006b5ec7dbcd1654ff03a4ddde204a28d1400ee53471c414f4934	pn_c4f_exact_bundle_checksum	pn_c4f_exact_small_bundle_recovery	extract_event_weight_sidecar_train_only	True	60fa40399f6205bd2e5d8cda3d243e287d65a5e8
