source_tag	candidate_path	candidate_sha256	candidate_rows	generator_nominal_weight	generator_coefficient_pb_per_event_weight	generator_cross_section_contribution_pb_per_candidate	source_bundle_sha256	source_bundle_sha256_origin	transport_status
qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin02_pthat100to200_shard1171_seed1221171	/uscms_data/d3/iturkmen/hh4b_delphes/parquet_materialized/background_frozen_v2_strict493_materialization_20260724_v1/train/qcd_hardqcd/0135_qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin02_pthat100to200_shard1171_seed1221171_hh4b_candidates_v2.parquet	a895d60c3634d5e3b0d305fbd8a89c1adb2d7eb2a79f698bc0eff08f3be0ef20	0	1	3.3047355723575231	3.3047355723575231	8029e1f3fd7404d3811090e41de54c1df98986d408c402644e57cbffbc5b7d3f	pn_c4f_exact_bundle_checksum	uniform_constant_registry_frozen
qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin02_pthat100to200_shard1173_seed1221173	/uscms_data/d3/iturkmen/hh4b_delphes/parquet_materialized/background_frozen_v2_strict493_materialization_20260724_v1/train/qcd_hardqcd/0136_qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin02_pthat100to200_shard1173_seed1221173_hh4b_candidates_v2.parquet	6beebe6a10c28534b573c7dbced414e56dc6e354214d06d55380650f3bd8d049	1	1	3.294678196542606	3.294678196542606	254245d5ebe3af2d51b04d934cc8657a55f11cd21f1a2dcc6ea5ffc2000b71f5	pn_c4f_exact_bundle_checksum	uniform_constant_registry_frozen
qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin02_pthat100to200_shard1174_seed1221174	/uscms_data/d3/iturkmen/hh4b_delphes/parquet_materialized/background_frozen_v2_strict493_materialization_20260724_v1/train/qcd_hardqcd/0137_qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin02_pthat100to200_shard1174_seed1221174_hh4b_candidates_v2.parquet	3d8acb38deffa2b8406dd8e0dd5b6e95ca8114df4aa3d880b9f4b355cedb5d79	2	1	3.2926587870414799	3.2926587870414799	86e14322cc9947b13d97dacca5c0369b5ef33ec9a6f84c96d7f007b3379d72eb	pn_c4f_exact_bundle_checksum	uniform_constant_registry_frozen
qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin02_pthat100to200_shard1175_seed1221175	/uscms_data/d3/iturkmen/hh4b_delphes/parquet_materialized/background_frozen_v2_strict493_materialization_20260724_v1/train/qcd_hardqcd/0138_qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin02_pthat100to200_shard1175_seed1221175_hh4b_candidates_v2.parquet	a895d60c3634d5e3b0d305fbd8a89c1adb2d7eb2a79f698bc0eff08f3be0ef20	0	1	3.2651781458583775	3.2651781458583775	cf86287a29a078ce1b9ca967788ff1d1fd005d01a9c7d3f93760e15c8befb866	pn_c4f_exact_bundle_checksum	uniform_constant_registry_frozen
qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin02_pthat100to200_shard1176_seed1221176	/uscms_data/d3/iturkmen/hh4b_delphes/parquet_materialized/background_frozen_v2_strict493_materialization_20260724_v1/train/qcd_hardqcd/0139_qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin02_pthat100to200_shard1176_seed1221176_hh4b_candidates_v2.parquet	a895d60c3634d5e3b0d305fbd8a89c1adb2d7eb2a79f698bc0eff08f3be0ef20	0	1	3.2890657581539382	3.2890657581539382	a6d7e927eb9a2180d79249b5ae9360de283a2f4ef87a6dd966de208838e5ec12	pn_c4f_exact_bundle_checksum	uniform_constant_registry_frozen
qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin02_pthat100to200_shard1177_seed1221177	/uscms_data/d3/iturkmen/hh4b_delphes/parquet_materialized/background_frozen_v2_strict493_materialization_20260724_v1/train/qcd_hardqcd/0140_qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin02_pthat100to200_shard1177_seed1221177_hh4b_candidates_v2.parquet	12bb95107b4d90421f811dee6d7c8c6dcd32cabeecedc640fc549187beefc968	1	1	3.3098491948415729	3.3098491948415729	9ff01a8ee4ae0787ba95493037581d0ea2b65c0f1d966dcfe590e3f985017529	pn_c4f_exact_bundle_checksum	uniform_constant_registry_frozen
qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin03_pthat200to300_shard1178_seed1231178	/uscms_data/d3/iturkmen/hh4b_delphes/parquet_materialized/background_frozen_v2_strict493_materialization_20260724_v1/train/qcd_hardqcd/0141_qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin03_pthat200to300_shard1178_seed1231178_hh4b_candidates_v2.parquet	af64cc1bca0b1325f3910a6fcf697b561f3401501c2c5978683e017d509d8edd	2	1	1.3180640814134734	1.3180640814134734	19e4fd0ee41f51e287080cef9f2fa8bb2288b6a03b470c677b3a60a904740dd1	pn_c4f_exact_bundle_checksum	uniform_constant_registry_frozen
qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin04_pthat300to500_shard1179_seed1241179	/uscms_data/d3/iturkmen/hh4b_delphes/parquet_materialized/background_frozen_v2_strict493_materialization_20260724_v1/train/qcd_hardqcd/0142_qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin04_pthat300to500_shard1179_seed1241179_hh4b_candidates_v2.parquet	526e7663a2500bfec65847966565ae92ce96491378f9e98ccc208a7642f24f57	6	1	0.22551770110885905	0.22551770110885905	082ae15017708931b5a26a749f1a273288d22f6362d2545efb7756e594fefd07	pn_c4f_exact_bundle_checksum	uniform_constant_registry_frozen
qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin05_pthat500to700_shard1180_seed1251180	/uscms_data/d3/iturkmen/hh4b_delphes/parquet_materialized/background_frozen_v2_strict493_materialization_20260724_v1/train/qcd_hardqcd/0143_qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin05_pthat500to700_shard1180_seed1251180_hh4b_candidates_v2.parquet	4f6603d29655e3a43fc63e43724c9540f0bff5d4c1d7a4e090658be7dffe2a5c	1	1	0.015347781070837984	0.015347781070837984	9b167f3f5a82be26b0e6c3dac24b5c37f7a8509b6d14ed293fa884cd813cd8f5	pn_c4f_exact_bundle_checksum	uniform_constant_registry_frozen
qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin06_pthat700to1000_shard1181_seed1261181	/uscms_data/d3/iturkmen/hh4b_delphes/parquet_materialized/background_frozen_v2_strict493_materialization_20260724_v1/train/qcd_hardqcd/0144_qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin06_pthat700to1000_shard1181_seed1261181_hh4b_candidates_v2.parquet	26117ea91d630865f3537c66b19ad856c9d1367f81bc6f63dcabd53b6143f474	1	1	0.0024200242014546158	0.0024200242014546158	e279a8b23da5cd2318d84b64630a0a7a34ab1029785c5659fbae80c5c1fa21cc	pn_c4f_exact_bundle_checksum	uniform_constant_registry_frozen
qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin07_pthat1000toInf_shard1182_seed1271182	/uscms_data/d3/iturkmen/hh4b_delphes/parquet_materialized/background_frozen_v2_strict493_materialization_20260724_v1/train/qcd_hardqcd/0145_qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin07_pthat1000toInf_shard1182_seed1271182_hh4b_candidates_v2.parquet	edde94a37606239890a189429cdfe2f62ab21a89d1cc6ef097495d01e184ddda	8	1	0.00029833295151021632	0.00029833295151021632	cc38858b0c0227df196e64bc015b98d33ce844a4fb116c49c816b7c446493577	pn_c4f_exact_bundle_checksum	uniform_constant_registry_frozen
qcd_hardqcd_importance_adaptive500k_phys_20260717_0022_bin00_pthat50to75_shard1823_seed1201823	/uscms_data/d3/iturkmen/hh4b_delphes/parquet_materialized/background_frozen_v2_strict493_materialization_20260724_v1/train/qcd_hardqcd/0150_qcd_hardqcd_importance_adaptive500k_phys_20260717_0022_bin00_pthat50to75_shard1823_seed1201823_hh4b_candidates_v2.parquet	a895d60c3634d5e3b0d305fbd8a89c1adb2d7eb2a79f698bc0eff08f3be0ef20	0	1	13.559272268205156	13.559272268205156	494b6763f1906996c4b93e5ccbc4efc65ad434e96cc6b24224f2e9123a277fc9	pn_c4f_exact_bundle_checksum	uniform_constant_registry_frozen
qcd_hardqcd_importance_adaptive500k_phys_20260717_0022_bin00_pthat50to75_shard1827_seed1201827	/uscms_data/d3/iturkmen/hh4b_delphes/parquet_materialized/background_frozen_v2_strict493_materialization_20260724_v1/train/qcd_hardqcd/0154_qcd_hardqcd_importance_adaptive500k_phys_20260717_0022_bin00_pthat50to75_shard1827_seed1201827_hh4b_candidates_v2.parquet	a895d60c3634d5e3b0d305fbd8a89c1adb2d7eb2a79f698bc0eff08f3be0ef20	0	1	13.558262551238824	13.558262551238824	0398bf125b5d18dd99bdb767c1f95b1a1084cf029a6d0deafd4057a43ca56f31	pn_c4f_exact_bundle_checksum	uniform_constant_registry_frozen
qcd_hardqcd_importance_adaptive500k_phys_20260717_0022_bin00_pthat50to75_shard1845_seed1201845	/uscms_data/d3/iturkmen/hh4b_delphes/parquet_materialized/background_frozen_v2_strict493_materialization_20260724_v1/train/qcd_hardqcd/0167_qcd_hardqcd_importance_adaptive500k_phys_20260717_0022_bin00_pthat50to75_shard1845_seed1201845_hh4b_candidates_v2.parquet	a895d60c3634d5e3b0d305fbd8a89c1adb2d7eb2a79f698bc0eff08f3be0ef20	0	1	13.660081424839163	13.660081424839163	fca9b912c9f30ece267dc42e7e1a889b4fa1a7aa880b24907e824a4350f5d86a	pn_c4f_exact_bundle_checksum	uniform_constant_registry_frozen
qcd_hardqcd_importance_adaptive500k_phys_20260717_0022_bin02_pthat100to200_shard1858_seed1221858	/uscms_data/d3/iturkmen/hh4b_delphes/parquet_materialized/background_frozen_v2_strict493_materialization_20260724_v1/train/qcd_hardqcd/0178_qcd_hardqcd_importance_adaptive500k_phys_20260717_0022_bin02_pthat100to200_shard1858_seed1221858_hh4b_candidates_v2.parquet	a895d60c3634d5e3b0d305fbd8a89c1adb2d7eb2a79f698bc0eff08f3be0ef20	0	1	3.2920043086473116	3.2920043086473116	c8d7821cd2c81d466596dc349e13f29704ac542390342a765d104ebdacd2acd1	pn_c4f_exact_bundle_checksum	uniform_constant_registry_frozen
qcd_hardqcd_importance_adaptive500k_phys_20260717_0022_bin02_pthat100to200_shard1860_seed1221860	/uscms_data/d3/iturkmen/hh4b_delphes/parquet_materialized/background_frozen_v2_strict493_materialization_20260724_v1/train/qcd_hardqcd/0179_qcd_hardqcd_importance_adaptive500k_phys_20260717_0022_bin02_pthat100to200_shard1860_seed1221860_hh4b_candidates_v2.parquet	601c57a86ae3cdba66b7a38c7c61e19b7f42960d6bee837c8e349db1689470ea	1	1	3.2995526474534498	3.2995526474534498	43b7d75161b9f135d7714f1415cbfb9151c425f447bbcef2642cdf0014f32def	pn_c4f_exact_bundle_checksum	uniform_constant_registry_frozen
qcd_hardqcd_importance_adaptive500k_phys_20260717_0022_bin02_pthat100to200_shard1861_seed1221861	/uscms_data/d3/iturkmen/hh4b_delphes/parquet_materialized/background_frozen_v2_strict493_materialization_20260724_v1/train/qcd_hardqcd/0180_qcd_hardqcd_importance_adaptive500k_phys_20260717_0022_bin02_pthat100to200_shard1861_seed1221861_hh4b_candidates_v2.parquet	a895d60c3634d5e3b0d305fbd8a89c1adb2d7eb2a79f698bc0eff08f3be0ef20	0	1	3.2879752121396559	3.2879752121396559	8e30e9e39b15155b829ea787d388c4178b3e1209a53f3cbb19c9678d1702528c	pn_c4f_exact_bundle_checksum	uniform_constant_registry_frozen
