outer_fold	btag3_ceiling	btag4_ceiling	target	any_54_family_can_reach_target
0	0.40734650735063654	0.1026571646714027	0.585957	False
1	0.4078374505932672	0.10300514572240228	0.585957	False
2	0.4090724568690088	0.1033279675309455	0.585957	False
3	0.40843399959183674	0.10281204519310282	0.585957	False
4	0.40808754230700817	0.10273328728966186	0.585957	False
