member_index	column_name	column_order	frozen_arrow_type	parity_arrow_type	frozen_nullable	parity_nullable	arrow_type_compatible	nullability_match	comparison_status
1	sample	1	string	string	True	True	True	True	pass
1	event	2	int64	int64	True	True	True	True	pass
1	n_selected_jets	3	int64	int64	True	True	True	True	pass
1	n_selected_bjets	4	int64	int64	True	True	True	True	pass
1	n_extra_selected_jets	5	int64	int64	True	True	True	True	pass
1	n_extra_selected_bjets	6	int64	int64	True	True	True	True	pass
1	ht_selected_jets	7	double	double	True	True	True	True	pass
1	ht_selected_bjets	8	double	double	True	True	True	True	pass
1	ht_candidate_jets	9	double	double	True	True	True	True	pass
1	pairing	10	string	string	True	True	True	True	pass
1	pairing_combo_bjet_ranks	11	string	string	True	True	True	True	pass
1	pairing_score_125_125	12	double	double	True	True	True	True	pass
1	higgs_ordering	13	string	string	True	True	True	True	pass
1	mbb1	14	double	double	True	True	True	True	pass
1	mbb2	15	double	double	True	True	True	True	pass
1	avg_mbb	16	double	double	True	True	True	True	pass
1	delta_mbb	17	double	double	True	True	True	True	pass
1	r_hh	18	double	double	True	True	True	True	pass
1	r_hh_125_125	19	double	double	True	True	True	True	pass
1	r_hh_125_120	20	double	double	True	True	True	True	pass
1	mhh	21	double	double	True	True	True	True	pass
1	hh_pt	22	double	double	True	True	True	True	pass
1	hh_eta	23	double	double	True	True	True	True	pass
1	hh_phi	24	double	double	True	True	True	True	pass
1	h1_pt	25	double	double	True	True	True	True	pass
1	h1_eta	26	double	double	True	True	True	True	pass
1	h1_phi	27	double	double	True	True	True	True	pass
1	h2_pt	28	double	double	True	True	True	True	pass
1	h2_eta	29	double	double	True	True	True	True	pass
1	h2_phi	30	double	double	True	True	True	True	pass
1	h_delta_eta	31	double	double	True	True	True	True	pass
1	h_delta_phi	32	double	double	True	True	True	True	pass
1	h_delta_r	33	double	double	True	True	True	True	pass
1	h_pt_balance	34	double	double	True	True	True	True	pass
1	drbb1	35	double	double	True	True	True	True	pass
1	drbb2	36	double	double	True	True	True	True	pass
1	j1_pt	37	double	double	True	True	True	True	pass
1	j2_pt	38	double	double	True	True	True	True	pass
1	j3_pt	39	double	double	True	True	True	True	pass
1	j4_pt	40	double	double	True	True	True	True	pass
1	j1_eta	41	double	double	True	True	True	True	pass
1	j1_phi	42	double	double	True	True	True	True	pass
1	j1_mass	43	double	double	True	True	True	True	pass
1	j1_btag	44	double	double	True	True	True	True	pass
1	j1_flavor	45	int64	int64	True	True	True	True	pass
1	j1_raw_index	46	int64	int64	True	True	True	True	pass
