stratum	n_events_control	n_events_test	auc_control	auc_test
le4	232662	232662	0.9720444523367059	0.9514731357639704
eq4	225072	225072	0.9702847913268835	0.9484389098117465
eq5	126159	126159	0.9671966809279818	0.9358470120857921
ge5	167338	167338	0.9643394318876346	0.9313373002949068
ge6	41179	41179	0.9544062234040208	0.9152735296274209
