metric	observed_delta_test_minus_control	ci_low	ci_high	n_boot	excludes_zero
delta_auc.all_background	-0.025058679783173443	-0.0255037236555319	-0.02461860494114646	10000	True
delta_auc.qcd	-0.026935353801528228	-0.027409657168458397	-0.026459183428571096	10000	True
delta_auc.ttbar	-0.01487578131339573	-0.015472644398334665	-0.014259404971492801	10000	True
delta_exact_event_efficiency.all_background	-0.37057342269104177	-0.37393558017715356	-0.367228793549101	10000	True
delta_rejection.epsS_0.1	-16382.822410147992	-38899.43573070607	-9253.326989437963	10000	True
delta_rejection.epsS_0.075	-36836.18260869566	-200844.80238970587	-16227.391304347831	10000	True
delta_rejection.epsS_0.05	-59040.571428571435	-197825.003442029	11485.477777777778	10000	False
delta_rejection.epsS_0.04	-192865.86666666667	-196902.72977272727	22982.11388888889	10000	False
delta_rejection.epsS_0.03	18785.636363636364	10882.294736842106	41338.625	10000	True
