model	all_background	qcd	ttbar
control	0.9692811744939022	0.9681550015623996	0.9753918279738042
test	0.9442224947107287	0.9412196477608714	0.9605160466604085
native10m	0.9692723276616946	0.9677556643819263	0.9775017953474364
