outer_holdout_fold	level	category	target_raw_fraction	observed_raw_fraction	broad_rows	sources	status
0	weight_stratum	background::diboson	0.0625	0.0625	5506	5	pass
0	weight_stratum	background::qcd_multijet::auxiliary	0.00687799043062201	0.0068779904306220125	98890	18	pass
0	weight_stratum	background::qcd_multijet::primary	0.05562200956937799	0.05562200956937802	110405	149	pass
0	weight_stratum	background::single_higgs	0.0625	0.0625	28583	16	pass
0	weight_stratum	background::single_top	0.0625	0.0625	55556	17	pass
0	weight_stratum	background::top_associated	0.0625	0.06250000000000001	80008	9	pass
0	weight_stratum	background::triboson	0.0625	0.06250000000000001	14959	9	pass
0	weight_stratum	background::ttbar	0.0625	0.06249999999999989	421851	65	pass
0	weight_stratum	background::zbbbb	0.0625	0.0625	46157	16	pass
0	weight_stratum	signal::ggf_hh4b	0.25	0.25000000000000017	35194	61	pass
0	weight_stratum	signal::vbf_hh4b	0.25	0.24999999999999997	37942	6	pass
0	class	signal	0.5	0.5000000000000002	73136	67	pass
0	class	background	0.5	0.4999999999999988	861915	304	pass
1	weight_stratum	background::diboson	0.0625	0.0625	4697	4	pass
1	weight_stratum	background::qcd_multijet::auxiliary	0.00687799043062201	0.0068779904306220125	103806	18	pass
1	weight_stratum	background::qcd_multijet::primary	0.05562200956937799	0.055622009569377795	110671	147	pass
1	weight_stratum	background::single_higgs	0.0625	0.062499999999999986	22292	13	pass
1	weight_stratum	background::single_top	0.0625	0.06250000000000001	60393	18	pass
1	weight_stratum	background::top_associated	0.0625	0.06249999999999999	89164	10	pass
1	weight_stratum	background::triboson	0.0625	0.0625	13517	8	pass
1	weight_stratum	background::ttbar	0.0625	0.0625	416621	64	pass
1	weight_stratum	background::zbbbb	0.0625	0.06249999999999999	43428	15	pass
1	weight_stratum	signal::ggf_hh4b	0.25	0.24999999999999964	40044	69	pass
1	weight_stratum	signal::vbf_hh4b	0.25	0.25	31737	5	pass
1	class	signal	0.5	0.4999999999999996	71781	74	pass
1	class	background	0.5	0.4999999999999998	864589	297	pass
2	weight_stratum	background::diboson	0.0625	0.0625	4567	4	pass
2	weight_stratum	background::qcd_multijet::auxiliary	0.00687799043062201	0.006877990430622008	106689	19	pass
2	weight_stratum	background::qcd_multijet::primary	0.05562200956937799	0.055622009569377795	110741	147	pass
2	weight_stratum	background::single_higgs	0.0625	0.062499999999999986	22354	13	pass
2	weight_stratum	background::single_top	0.0625	0.0625	53537	16	pass
2	weight_stratum	background::top_associated	0.0625	0.06249999999999999	88687	10	pass
2	weight_stratum	background::triboson	0.0625	0.0625	13442	8	pass
2	weight_stratum	background::ttbar	0.0625	0.06249999999999989	422733	65	pass
2	weight_stratum	background::zbbbb	0.0625	0.06249999999999999	43486	15	pass
2	weight_stratum	signal::ggf_hh4b	0.25	0.24999999999999964	40002	69	pass
2	weight_stratum	signal::vbf_hh4b	0.25	0.25	31699	5	pass
2	class	signal	0.5	0.4999999999999996	71701	74	pass
2	class	background	0.5	0.49999999999999967	866236	297	pass
3	weight_stratum	background::diboson	0.0625	0.0625	5480	5	pass
3	weight_stratum	background::qcd_multijet::auxiliary	0.00687799043062201	0.006877990430622008	106558	19	pass
3	weight_stratum	background::qcd_multijet::primary	0.05562200956937799	0.05562200956937807	110097	151	pass
3	weight_stratum	background::single_higgs	0.0625	0.06249999999999998	22844	14	pass
3	weight_stratum	background::single_top	0.0625	0.0625	53146	16	pass
3	weight_stratum	background::top_associated	0.0625	0.06249999999999999	89114	10	pass
3	weight_stratum	background::triboson	0.0625	0.06249999999999999	16684	10	pass
3	weight_stratum	background::ttbar	0.0625	0.06249999999999989	420031	65	pass
3	weight_stratum	background::zbbbb	0.0625	0.06249999999999999	43342	15	pass
3	weight_stratum	signal::ggf_hh4b	0.25	0.25000000000000033	34921	60	pass
3	weight_stratum	signal::vbf_hh4b	0.25	0.24999999999999997	37941	6	pass
3	class	signal	0.5	0.5000000000000004	72862	66	pass
3	class	background	0.5	0.4999999999999996	867296	305	pass
4	weight_stratum	background::diboson	0.0625	0.06249999999999999	6750	6	pass
4	weight_stratum	background::qcd_multijet::auxiliary	0.00687799043062201	0.0068779904306220125	98757	18	pass
4	weight_stratum	background::qcd_multijet::primary	0.05562200956937799	0.05562200956937816	110574	150	pass
4	weight_stratum	background::single_higgs	0.0625	0.0625	30015	16	pass
4	weight_stratum	background::single_top	0.0625	0.0625	55652	17	pass
4	weight_stratum	background::top_associated	0.0625	0.06250000000000001	80795	9	pass
4	weight_stratum	background::triboson	0.0625	0.06250000000000001	14326	9	pass
4	weight_stratum	background::ttbar	0.0625	0.06249999999999989	421452	65	pass
4	weight_stratum	background::zbbbb	0.0625	0.06249999999999999	43379	15	pass
4	weight_stratum	signal::ggf_hh4b	0.25	0.25000000000000017	35199	61	pass
4	weight_stratum	signal::vbf_hh4b	0.25	0.24999999999999997	37873	6	pass
4	class	signal	0.5	0.5000000000000002	73072	67	pass
4	class	background	0.5	0.49999999999999956	861700	305	pass
