feature_set	feature_index	feature_name
mass_aware_34	0	n_selected_jets
mass_aware_34	1	n_selected_bjets
mass_aware_34	2	ht_selected_jets
mass_aware_34	3	ht_selected_bjets
mass_aware_34	4	ht_candidate_jets
mass_aware_34	5	mhh
mass_aware_34	6	hh_pt
mass_aware_34	7	abs_hh_eta
mass_aware_34	8	h1_pt
mass_aware_34	9	abs_h1_eta
mass_aware_34	10	h2_pt
mass_aware_34	11	abs_h2_eta
mass_aware_34	12	abs_h_delta_eta
mass_aware_34	13	abs_h_delta_phi
mass_aware_34	14	h_delta_r
mass_aware_34	15	h_pt_balance
mass_aware_34	16	drbb1
mass_aware_34	17	drbb2
mass_aware_34	18	j1_pt
mass_aware_34	19	abs_j1_eta
mass_aware_34	20	j1_mass
mass_aware_34	21	j2_pt
mass_aware_34	22	abs_j2_eta
mass_aware_34	23	j2_mass
mass_aware_34	24	j3_pt
mass_aware_34	25	abs_j3_eta
mass_aware_34	26	j3_mass
mass_aware_34	27	j4_pt
mass_aware_34	28	abs_j4_eta
mass_aware_34	29	j4_mass
mass_aware_34	30	mbb1
mass_aware_34	31	mbb2
mass_aware_34	32	delta_mbb
mass_aware_34	33	r_hh_125_125
mass_plane_blind_30	0	n_selected_jets
mass_plane_blind_30	1	n_selected_bjets
mass_plane_blind_30	2	ht_selected_jets
mass_plane_blind_30	3	ht_selected_bjets
mass_plane_blind_30	4	ht_candidate_jets
mass_plane_blind_30	5	mhh
mass_plane_blind_30	6	hh_pt
mass_plane_blind_30	7	abs_hh_eta
mass_plane_blind_30	8	h1_pt
mass_plane_blind_30	9	abs_h1_eta
mass_plane_blind_30	10	h2_pt
mass_plane_blind_30	11	abs_h2_eta
mass_plane_blind_30	12	abs_h_delta_eta
mass_plane_blind_30	13	abs_h_delta_phi
mass_plane_blind_30	14	h_delta_r
mass_plane_blind_30	15	h_pt_balance
mass_plane_blind_30	16	drbb1
mass_plane_blind_30	17	drbb2
mass_plane_blind_30	18	j1_pt
mass_plane_blind_30	19	abs_j1_eta
mass_plane_blind_30	20	j1_mass
mass_plane_blind_30	21	j2_pt
mass_plane_blind_30	22	abs_j2_eta
mass_plane_blind_30	23	j2_mass
mass_plane_blind_30	24	j3_pt
mass_plane_blind_30	25	abs_j3_eta
mass_plane_blind_30	26	j3_mass
mass_plane_blind_30	27	j4_pt
mass_plane_blind_30	28	abs_j4_eta
mass_plane_blind_30	29	j4_mass
