signal_mode	split	stage	members	generated_events	candidate_denominator	selected_events	efficiency_vs_generated	efficiency_vs_candidate
ggf_hh4b	train	candidate_denominator	80	80000	4893	4893	0.0611625	1.0
ggf_hh4b	train	four_candidate_jets_pt40	80	80000	4893	2480	0.031	0.5068465154302064
ggf_hh4b	train	four_candidate_jets_abs_eta24	80	80000	4893	2414	0.030175	0.4933578581647251
ggf_hh4b	train	analysis_region_rhh55	80	80000	4893	1994	0.024925	0.40752094829348046
ggf_hh4b	train	signal_region_rhh30	80	80000	4893	1454	0.018175	0.2971592070304517
ggf_hh4b	train	control_region_rhh30_55	80	80000	4893	540	0.00675	0.11036174126302882
ggf_hh4b	train	signal_region_low_mhh	80	80000	4893	1205	0.0150625	0.2462701818924995
ggf_hh4b	train	signal_region_high_mhh	80	80000	4893	249	0.0031125	0.050889025137952175
ggf_hh4b	train	control_region_low_mhh	80	80000	4893	413	0.0051625	0.0844062947067239
ggf_hh4b	train	control_region_high_mhh	80	80000	4893	127	0.0015875	0.025955446556304926
ggf_hh4b	validation	candidate_denominator	17	17000	1045	1045	0.06147058823529412	1.0
ggf_hh4b	validation	four_candidate_jets_pt40	17	17000	1045	535	0.03147058823529412	0.5119617224880383
ggf_hh4b	validation	four_candidate_jets_abs_eta24	17	17000	1045	518	0.030470588235294117	0.49569377990430624
ggf_hh4b	validation	analysis_region_rhh55	17	17000	1045	423	0.02488235294117647	0.4047846889952153
ggf_hh4b	validation	signal_region_rhh30	17	17000	1045	313	0.018411764705882353	0.29952153110047847
ggf_hh4b	validation	control_region_rhh30_55	17	17000	1045	110	0.006470588235294118	0.10526315789473684
ggf_hh4b	validation	signal_region_low_mhh	17	17000	1045	251	0.014764705882352942	0.24019138755980862
ggf_hh4b	validation	signal_region_high_mhh	17	17000	1045	62	0.0036470588235294117	0.05933014354066986
ggf_hh4b	validation	control_region_low_mhh	17	17000	1045	90	0.005294117647058823	0.0861244019138756
ggf_hh4b	validation	control_region_high_mhh	17	17000	1045	20	0.001176470588235294	0.019138755980861243
vbf_hh4b	train	candidate_denominator	8	80000	5082	5082	0.063525	1.0
vbf_hh4b	train	four_candidate_jets_pt40	8	80000	5082	2811	0.0351375	0.5531286894923259
vbf_hh4b	train	four_candidate_jets_abs_eta24	8	80000	5082	2680	0.0335	0.5273514364423455
vbf_hh4b	train	analysis_region_rhh55	8	80000	5082	2130	0.026625	0.41912632821723733
vbf_hh4b	train	signal_region_rhh30	8	80000	5082	1488	0.0186	0.29279811097992914
vbf_hh4b	train	control_region_rhh30_55	8	80000	5082	642	0.008025	0.12632821723730814
vbf_hh4b	train	signal_region_low_mhh	8	80000	5082	768	0.0096	0.1511216056670602
vbf_hh4b	train	signal_region_high_mhh	8	80000	5082	720	0.009	0.14167650531286896
vbf_hh4b	train	control_region_low_mhh	8	80000	5082	334	0.004175	0.06572215663124754
vbf_hh4b	train	control_region_high_mhh	8	80000	5082	308	0.00385	0.06060606060606061
vbf_hh4b	validation	candidate_denominator	2	20000	1201	1201	0.06005	1.0
vbf_hh4b	validation	four_candidate_jets_pt40	2	20000	1201	680	0.034	0.5661948376353039
vbf_hh4b	validation	four_candidate_jets_abs_eta24	2	20000	1201	656	0.0328	0.5462114904246461
vbf_hh4b	validation	analysis_region_rhh55	2	20000	1201	530	0.0265	0.4412989175686928
vbf_hh4b	validation	signal_region_rhh30	2	20000	1201	367	0.01835	0.305578684429642
vbf_hh4b	validation	control_region_rhh30_55	2	20000	1201	163	0.00815	0.1357202331390508
vbf_hh4b	validation	signal_region_low_mhh	2	20000	1201	186	0.0093	0.15487094088259784
vbf_hh4b	validation	signal_region_high_mhh	2	20000	1201	181	0.00905	0.15070774354704414
vbf_hh4b	validation	control_region_low_mhh	2	20000	1201	77	0.00385	0.06411323896752706
vbf_hh4b	validation	control_region_high_mhh	2	20000	1201	86	0.0043	0.07160699417152373
