sample_group_directory	branch	typename
00_ZZ_ntuple	event_no	int32_t
00_ZZ_ntuple	event_class	int32_t
00_ZZ_ntuple	pass_selection	int32_t
00_ZZ_ntuple	pass_4j3b_selection	int32_t
00_ZZ_ntuple	pass_4j2b_selection	int32_t
00_ZZ_ntuple	pass_boosted_trigger	int32_t
00_ZZ_ntuple	HT	float
00_ZZ_ntuple	pfcand_sum_mass	float
00_ZZ_ntuple	pfcand_sum_HT	float
00_ZZ_ntuple	pfcand_sum_pt	float
00_ZZ_ntuple	pfcand_sum_eta	float
00_ZZ_ntuple	pfcand_sum_phi	float
00_ZZ_ntuple	pfcand_sum_energy	float
00_ZZ_ntuple	gen_higgs1_pt	float
00_ZZ_ntuple	gen_higgs1_eta	float
00_ZZ_ntuple	gen_higgs1_phi	float
00_ZZ_ntuple	gen_higgs1_mass	float
00_ZZ_ntuple	gen_higgs2_pt	float
00_ZZ_ntuple	gen_higgs2_eta	float
00_ZZ_ntuple	gen_higgs2_phi	float
00_ZZ_ntuple	gen_higgs2_mass	float
00_ZZ_ntuple	gen_dihiggs_mass	float
00_ZZ_ntuple	gen_dihiggs_HT	float
00_ZZ_ntuple	jet_pt	std::vector<float>
00_ZZ_ntuple	jet_eta	std::vector<float>
00_ZZ_ntuple	jet_phi	std::vector<float>
00_ZZ_ntuple	jet_energy	std::vector<float>
00_ZZ_ntuple	jet_mass	std::vector<float>
00_ZZ_ntuple	jet_hadronFlavor	std::vector<int32_t>
00_ZZ_ntuple	jet_partonFlavor	std::vector<int32_t>
00_ZZ_ntuple	jet_flavor	std::vector<int32_t>
00_ZZ_ntuple	jet_nparticles	std::vector<float>
00_ZZ_ntuple	jet_sophonAK4_probB	std::vector<float>
00_ZZ_ntuple	jet_sophonAK4_probC	std::vector<float>
00_ZZ_ntuple	jet_sophonAK4_probL	std::vector<float>
00_ZZ_ntuple	fj_pt	std::vector<float>
00_ZZ_ntuple	fj_eta	std::vector<float>
00_ZZ_ntuple	fj_phi	std::vector<float>
00_ZZ_ntuple	fj_energy	std::vector<float>
00_ZZ_ntuple	fj_mass	std::vector<float>
00_ZZ_ntuple	fj_sdmass	std::vector<float>
00_ZZ_ntuple	fj_trmass	std::vector<float>
00_ZZ_ntuple	fj_nparticles	std::vector<float>
00_ZZ_ntuple	fj_sophon_probXbb	std::vector<float>
00_ZZ_ntuple	fj_sophon_probXcc	std::vector<float>
00_ZZ_ntuple	fj_sophon_probXqq	std::vector<float>
00_ZZ_ntuple	fj_sophon_probXbc	std::vector<float>
00_ZZ_ntuple	fj_sophon_probXcs	std::vector<float>
00_ZZ_ntuple	fj_sophon_probXbq	std::vector<float>
00_ZZ_ntuple	fj_sophon_probXcq	std::vector<float>
00_ZZ_ntuple	fj_sophon_probXbqq	std::vector<float>
00_ZZ_ntuple	fj_sophon_probQCD	std::vector<float>
00_ZZ_ntuple	lep_pt	std::vector<float>
00_ZZ_ntuple	lep_eta	std::vector<float>
00_ZZ_ntuple	lep_phi	std::vector<float>
00_ZZ_ntuple	lep_energy	std::vector<float>
00_ZZ_ntuple	lep_charge	std::vector<int32_t>
00_ZZ_ntuple	lep_pid	std::vector<int32_t>
00_ZZ_ntuple	lep_iso	std::vector<float>
00_ZZ_ntuple	met_pt	float
00_ZZ_ntuple	met_phi	float
00_ZZ_ntuple	part_label	std::vector<int32_t>
00_ZZ_ntuple	part_fjlabel	std::vector<int32_t>
00_ZZ_ntuple	part_px	std::vector<float>
00_ZZ_ntuple	part_py	std::vector<float>
00_ZZ_ntuple	part_pz	std::vector<float>
00_ZZ_ntuple	part_energy	std::vector<float>
00_ZZ_ntuple	part_mass	std::vector<float>
00_ZZ_ntuple	part_pt	std::vector<float>
00_ZZ_ntuple	part_eta	std::vector<float>
00_ZZ_ntuple	part_phi	std::vector<float>
00_ZZ_ntuple	part_charge	std::vector<int32_t>
00_ZZ_ntuple	part_pid	std::vector<int32_t>
