member_index	target_tag	job_seed	searched_exact_identifier	searched_filename	searched_job_identifier	searched_checksum	searched_campaign_metadata	root_matches	hepmc_matches	lhe_matches	archived_bundle_matches	event_summary_path	event_summary_columns	raw_nested_jet_payload	generator_log	pipeline_log	generation_seed_log_match	pythia_8312_log_match	delphes_completion_log_match	search_scope	recovery_classification
324	ttbar_100k_shard001	105001	True	True	True	True	True	[]	[]	[]	[]	/uscms_data/d3/iturkmen/hh4b_delphes/parquet/ttbar_100k_shard001_event_summary.parquet	13	False	/uscms_data/d3/iturkmen/hh4b_delphes/logs/ttbar_100k_shard001_generate_events.log	/uscms_data/d3/iturkmen/hh4b_delphes/logs/ttbar_100k_shard001_pipeline.log	True	True	True	repository manifests; ignored inventories; Condor submit/return; receipts; registries; archive lists; EOS/XRootD recursive listings; local store and documented remote paths	exact_deterministic_regeneration_possible
325	ttbar_100k_shard002	105002	True	True	True	True	True	[]	[]	[]	[]	/uscms_data/d3/iturkmen/hh4b_delphes/parquet/ttbar_100k_shard002_event_summary.parquet	13	False	/uscms_data/d3/iturkmen/hh4b_delphes/logs/ttbar_100k_shard002_generate_events.log	/uscms_data/d3/iturkmen/hh4b_delphes/logs/ttbar_100k_shard002_pipeline.log	True	True	True	repository manifests; ignored inventories; Condor submit/return; receipts; registries; archive lists; EOS/XRootD recursive listings; local store and documented remote paths	exact_deterministic_regeneration_possible
326	ttbar_100k_shard003	105003	True	True	True	True	True	[]	[]	[]	[]	/uscms_data/d3/iturkmen/hh4b_delphes/parquet/ttbar_100k_shard003_event_summary.parquet	13	False	/uscms_data/d3/iturkmen/hh4b_delphes/logs/ttbar_100k_shard003_generate_events.log	/uscms_data/d3/iturkmen/hh4b_delphes/logs/ttbar_100k_shard003_pipeline.log	True	True	True	repository manifests; ignored inventories; Condor submit/return; receipts; registries; archive lists; EOS/XRootD recursive listings; local store and documented remote paths	exact_deterministic_regeneration_possible
327	ttbar_100k_shard007	105007	True	True	True	True	True	[]	[]	[]	[]	/uscms_data/d3/iturkmen/hh4b_delphes/parquet/ttbar_100k_shard007_event_summary.parquet	13	False	/uscms_data/d3/iturkmen/hh4b_delphes/logs/ttbar_100k_shard007_generate_events.log	/uscms_data/d3/iturkmen/hh4b_delphes/logs/ttbar_100k_shard007_pipeline.log	True	True	True	repository manifests; ignored inventories; Condor submit/return; receipts; registries; archive lists; EOS/XRootD recursive listings; local store and documented remote paths	exact_deterministic_regeneration_possible
328	ttbar_100k_shard008	105008	True	True	True	True	True	[]	[]	[]	[]	/uscms_data/d3/iturkmen/hh4b_delphes/parquet/ttbar_100k_shard008_event_summary.parquet	13	False	/uscms_data/d3/iturkmen/hh4b_delphes/logs/ttbar_100k_shard008_generate_events.log	/uscms_data/d3/iturkmen/hh4b_delphes/logs/ttbar_100k_shard008_pipeline.log	True	True	True	repository manifests; ignored inventories; Condor submit/return; receipts; registries; archive lists; EOS/XRootD recursive listings; local store and documented remote paths	exact_deterministic_regeneration_possible
329	ttbar_100k_shard009	105009	True	True	True	True	True	[]	[]	[]	[]	/uscms_data/d3/iturkmen/hh4b_delphes/parquet/ttbar_100k_shard009_event_summary.parquet	13	False	/uscms_data/d3/iturkmen/hh4b_delphes/logs/ttbar_100k_shard009_generate_events.log	/uscms_data/d3/iturkmen/hh4b_delphes/logs/ttbar_100k_shard009_pipeline.log	True	True	True	repository manifests; ignored inventories; Condor submit/return; receipts; registries; archive lists; EOS/XRootD recursive listings; local store and documented remote paths	exact_deterministic_regeneration_possible
347	ttbar_100k_shard004	105004	True	True	True	True	True	[]	[]	[]	[]	/uscms_data/d3/iturkmen/hh4b_delphes/parquet/ttbar_100k_shard004_event_summary.parquet	13	False	/uscms_data/d3/iturkmen/hh4b_delphes/logs/ttbar_100k_shard004_generate_events.log	/uscms_data/d3/iturkmen/hh4b_delphes/logs/ttbar_100k_shard004_pipeline.log	True	True	True	repository manifests; ignored inventories; Condor submit/return; receipts; registries; archive lists; EOS/XRootD recursive listings; local store and documented remote paths	exact_deterministic_regeneration_possible
348	ttbar_100k_shard005	105005	True	True	True	True	True	[]	[]	[]	[]	/uscms_data/d3/iturkmen/hh4b_delphes/parquet/ttbar_100k_shard005_event_summary.parquet	13	False	/uscms_data/d3/iturkmen/hh4b_delphes/logs/ttbar_100k_shard005_generate_events.log	/uscms_data/d3/iturkmen/hh4b_delphes/logs/ttbar_100k_shard005_pipeline.log	True	True	True	repository manifests; ignored inventories; Condor submit/return; receipts; registries; archive lists; EOS/XRootD recursive listings; local store and documented remote paths	exact_deterministic_regeneration_possible
