member_index	source_member_id	target_tag	campaign	dataset_split	generated_events	legacy_candidate_path	legacy_candidate_rows	legacy_column_count	legacy_schema_sha256	recovery_candidate_path	root_locator	hepmc_locator	lhe_locator	outer_bundle_or_archive_locator	condor_cluster	condor_process	job_seed	generator_configuration_digest	software_card_container_provenance	current_recovery_classification	sealed_test
324	event_parquet:/uscms_data/d3/iturkmen/hh4b_delphes/parquet/ttbar_100k_shard001_event_summary.parquet	ttbar_100k_shard001	ttbar_100k	train	10000	/uscms_data/d3/iturkmen/hh4b_delphes/parquet/ttbar_100k_shard001_hh4b_candidates.parquet	46	15	c4586f2f00b85912d4883a308572437de18bc84de23721623141a1e2eea0f8dd						not_applicable_local_campaign	not_applicable_local_campaign	105001	098cd42b378a9e9badd7f81c3bfa720c3f4af6f661fca4e900011f35a9b3505f	MadGraph5_aMC@NLO_3.5.3;Pythia_8.312;Delphes_3.5.2pre01-33-ga3b0385;FastJet_3.5.1;no_container_original_environment_retained	exact_deterministic_regeneration_possible	False
325	event_parquet:/uscms_data/d3/iturkmen/hh4b_delphes/parquet/ttbar_100k_shard002_event_summary.parquet	ttbar_100k_shard002	ttbar_100k	train	10000	/uscms_data/d3/iturkmen/hh4b_delphes/parquet/ttbar_100k_shard002_hh4b_candidates.parquet	36	15	c4586f2f00b85912d4883a308572437de18bc84de23721623141a1e2eea0f8dd						not_applicable_local_campaign	not_applicable_local_campaign	105002	098cd42b378a9e9badd7f81c3bfa720c3f4af6f661fca4e900011f35a9b3505f	MadGraph5_aMC@NLO_3.5.3;Pythia_8.312;Delphes_3.5.2pre01-33-ga3b0385;FastJet_3.5.1;no_container_original_environment_retained	exact_deterministic_regeneration_possible	False
326	event_parquet:/uscms_data/d3/iturkmen/hh4b_delphes/parquet/ttbar_100k_shard003_event_summary.parquet	ttbar_100k_shard003	ttbar_100k	train	10000	/uscms_data/d3/iturkmen/hh4b_delphes/parquet/ttbar_100k_shard003_hh4b_candidates.parquet	39	15	c4586f2f00b85912d4883a308572437de18bc84de23721623141a1e2eea0f8dd						not_applicable_local_campaign	not_applicable_local_campaign	105003	098cd42b378a9e9badd7f81c3bfa720c3f4af6f661fca4e900011f35a9b3505f	MadGraph5_aMC@NLO_3.5.3;Pythia_8.312;Delphes_3.5.2pre01-33-ga3b0385;FastJet_3.5.1;no_container_original_environment_retained	exact_deterministic_regeneration_possible	False
327	event_parquet:/uscms_data/d3/iturkmen/hh4b_delphes/parquet/ttbar_100k_shard007_event_summary.parquet	ttbar_100k_shard007	ttbar_100k	train	10000	/uscms_data/d3/iturkmen/hh4b_delphes/parquet/ttbar_100k_shard007_hh4b_candidates.parquet	39	15	c4586f2f00b85912d4883a308572437de18bc84de23721623141a1e2eea0f8dd						not_applicable_local_campaign	not_applicable_local_campaign	105007	098cd42b378a9e9badd7f81c3bfa720c3f4af6f661fca4e900011f35a9b3505f	MadGraph5_aMC@NLO_3.5.3;Pythia_8.312;Delphes_3.5.2pre01-33-ga3b0385;FastJet_3.5.1;no_container_original_environment_retained	exact_deterministic_regeneration_possible	False
328	event_parquet:/uscms_data/d3/iturkmen/hh4b_delphes/parquet/ttbar_100k_shard008_event_summary.parquet	ttbar_100k_shard008	ttbar_100k	train	10000	/uscms_data/d3/iturkmen/hh4b_delphes/parquet/ttbar_100k_shard008_hh4b_candidates.parquet	33	15	c4586f2f00b85912d4883a308572437de18bc84de23721623141a1e2eea0f8dd						not_applicable_local_campaign	not_applicable_local_campaign	105008	098cd42b378a9e9badd7f81c3bfa720c3f4af6f661fca4e900011f35a9b3505f	MadGraph5_aMC@NLO_3.5.3;Pythia_8.312;Delphes_3.5.2pre01-33-ga3b0385;FastJet_3.5.1;no_container_original_environment_retained	exact_deterministic_regeneration_possible	False
329	event_parquet:/uscms_data/d3/iturkmen/hh4b_delphes/parquet/ttbar_100k_shard009_event_summary.parquet	ttbar_100k_shard009	ttbar_100k	train	10000	/uscms_data/d3/iturkmen/hh4b_delphes/parquet/ttbar_100k_shard009_hh4b_candidates.parquet	44	15	c4586f2f00b85912d4883a308572437de18bc84de23721623141a1e2eea0f8dd						not_applicable_local_campaign	not_applicable_local_campaign	105009	098cd42b378a9e9badd7f81c3bfa720c3f4af6f661fca4e900011f35a9b3505f	MadGraph5_aMC@NLO_3.5.3;Pythia_8.312;Delphes_3.5.2pre01-33-ga3b0385;FastJet_3.5.1;no_container_original_environment_retained	exact_deterministic_regeneration_possible	False
330	event_parquet:/uscms_data/d3/iturkmen/hh4b_delphes/parquet/ttbar_200k_shard000_event_summary.parquet	ttbar_200k_shard000	ttbar_200k	train	10000	/uscms_data/d3/iturkmen/hh4b_delphes/parquet/ttbar_200k_shard000_hh4b_candidates.parquet	37	15	c4586f2f00b85912d4883a308572437de18bc84de23721623141a1e2eea0f8dd	/uscms_data/d3/iturkmen/hh4b_delphes/parquet_v2_nominal/per_root/ttbar_200k__000__ttbar_200k_shard000_pythia8_delphes_v2_hh4b_candidates.parquet	/uscms_data/d3/iturkmen/hh4b_delphes/root/ttbar_200k_shard000_pythia8_delphes.root				not_applicable_local_campaign	not_applicable_local_campaign	109000	098cd42b378a9e9badd7f81c3bfa720c3f4af6f661fca4e900011f35a9b3505f	MadGraph5_aMC@NLO_3.5.3;Pythia_8.312;Delphes_3.5.2pre01-33-ga3b0385;FastJet_3.5.1;no_container_original_environment_retained	canonical72_existing_verified	False
331	event_parquet:/uscms_data/d3/iturkmen/hh4b_delphes/parquet/ttbar_200k_shard001_event_summary.parquet	ttbar_200k_shard001	ttbar_200k	train	10000	/uscms_data/d3/iturkmen/hh4b_delphes/parquet/ttbar_200k_shard001_hh4b_candidates.parquet	39	15	c4586f2f00b85912d4883a308572437de18bc84de23721623141a1e2eea0f8dd	/uscms_data/d3/iturkmen/hh4b_delphes/parquet_v2_nominal/per_root/ttbar_200k__001__ttbar_200k_shard001_pythia8_delphes_v2_hh4b_candidates.parquet	/uscms_data/d3/iturkmen/hh4b_delphes/root/ttbar_200k_shard001_pythia8_delphes.root				not_applicable_local_campaign	not_applicable_local_campaign	109001	098cd42b378a9e9badd7f81c3bfa720c3f4af6f661fca4e900011f35a9b3505f	MadGraph5_aMC@NLO_3.5.3;Pythia_8.312;Delphes_3.5.2pre01-33-ga3b0385;FastJet_3.5.1;no_container_original_environment_retained	canonical72_existing_verified	False
332	event_parquet:/uscms_data/d3/iturkmen/hh4b_delphes/parquet/ttbar_200k_shard002_event_summary.parquet	ttbar_200k_shard002	ttbar_200k	train	10000	/uscms_data/d3/iturkmen/hh4b_delphes/parquet/ttbar_200k_shard002_hh4b_candidates.parquet	33	15	c4586f2f00b85912d4883a308572437de18bc84de23721623141a1e2eea0f8dd	/uscms_data/d3/iturkmen/hh4b_delphes/parquet_v2_nominal/per_root/ttbar_200k__002__ttbar_200k_shard002_pythia8_delphes_v2_hh4b_candidates.parquet	/uscms_data/d3/iturkmen/hh4b_delphes/root/ttbar_200k_shard002_pythia8_delphes.root				not_applicable_local_campaign	not_applicable_local_campaign	109002	098cd42b378a9e9badd7f81c3bfa720c3f4af6f661fca4e900011f35a9b3505f	MadGraph5_aMC@NLO_3.5.3;Pythia_8.312;Delphes_3.5.2pre01-33-ga3b0385;FastJet_3.5.1;no_container_original_environment_retained	canonical72_existing_verified	False
333	event_parquet:/uscms_data/d3/iturkmen/hh4b_delphes/parquet/ttbar_200k_shard004_event_summary.parquet	ttbar_200k_shard004	ttbar_200k	train	10000	/uscms_data/d3/iturkmen/hh4b_delphes/parquet/ttbar_200k_shard004_hh4b_candidates.parquet	37	15	c4586f2f00b85912d4883a308572437de18bc84de23721623141a1e2eea0f8dd	/uscms_data/d3/iturkmen/hh4b_delphes/parquet_v2_nominal/per_root/ttbar_200k__004__ttbar_200k_shard004_pythia8_delphes_v2_hh4b_candidates.parquet	/uscms_data/d3/iturkmen/hh4b_delphes/root/ttbar_200k_shard004_pythia8_delphes.root				not_applicable_local_campaign	not_applicable_local_campaign	109004	098cd42b378a9e9badd7f81c3bfa720c3f4af6f661fca4e900011f35a9b3505f	MadGraph5_aMC@NLO_3.5.3;Pythia_8.312;Delphes_3.5.2pre01-33-ga3b0385;FastJet_3.5.1;no_container_original_environment_retained	canonical72_existing_verified	False
334	event_parquet:/uscms_data/d3/iturkmen/hh4b_delphes/parquet/ttbar_200k_shard005_event_summary.parquet	ttbar_200k_shard005	ttbar_200k	train	10000	/uscms_data/d3/iturkmen/hh4b_delphes/parquet/ttbar_200k_shard005_hh4b_candidates.parquet	46	15	c4586f2f00b85912d4883a308572437de18bc84de23721623141a1e2eea0f8dd	/uscms_data/d3/iturkmen/hh4b_delphes/parquet_v2_nominal/per_root/ttbar_200k__005__ttbar_200k_shard005_pythia8_delphes_v2_hh4b_candidates.parquet	/uscms_data/d3/iturkmen/hh4b_delphes/root/ttbar_200k_shard005_pythia8_delphes.root				not_applicable_local_campaign	not_applicable_local_campaign	109005	098cd42b378a9e9badd7f81c3bfa720c3f4af6f661fca4e900011f35a9b3505f	MadGraph5_aMC@NLO_3.5.3;Pythia_8.312;Delphes_3.5.2pre01-33-ga3b0385;FastJet_3.5.1;no_container_original_environment_retained	canonical72_existing_verified	False
335	event_parquet:/uscms_data/d3/iturkmen/hh4b_delphes/parquet/ttbar_200k_shard006_event_summary.parquet	ttbar_200k_shard006	ttbar_200k	train	10000	/uscms_data/d3/iturkmen/hh4b_delphes/parquet/ttbar_200k_shard006_hh4b_candidates.parquet	24	15	c4586f2f00b85912d4883a308572437de18bc84de23721623141a1e2eea0f8dd	/uscms_data/d3/iturkmen/hh4b_delphes/parquet_v2_nominal/per_root/ttbar_200k__006__ttbar_200k_shard006_pythia8_delphes_v2_hh4b_candidates.parquet	/uscms_data/d3/iturkmen/hh4b_delphes/root/ttbar_200k_shard006_pythia8_delphes.root				not_applicable_local_campaign	not_applicable_local_campaign	109006	098cd42b378a9e9badd7f81c3bfa720c3f4af6f661fca4e900011f35a9b3505f	MadGraph5_aMC@NLO_3.5.3;Pythia_8.312;Delphes_3.5.2pre01-33-ga3b0385;FastJet_3.5.1;no_container_original_environment_retained	canonical72_existing_verified	False
336	event_parquet:/uscms_data/d3/iturkmen/hh4b_delphes/parquet/ttbar_200k_shard007_event_summary.parquet	ttbar_200k_shard007	ttbar_200k	train	10000	/uscms_data/d3/iturkmen/hh4b_delphes/parquet/ttbar_200k_shard007_hh4b_candidates.parquet	38	15	c4586f2f00b85912d4883a308572437de18bc84de23721623141a1e2eea0f8dd	/uscms_data/d3/iturkmen/hh4b_delphes/parquet_v2_nominal/per_root/ttbar_200k__007__ttbar_200k_shard007_pythia8_delphes_v2_hh4b_candidates.parquet	/uscms_data/d3/iturkmen/hh4b_delphes/root/ttbar_200k_shard007_pythia8_delphes.root				not_applicable_local_campaign	not_applicable_local_campaign	109007	098cd42b378a9e9badd7f81c3bfa720c3f4af6f661fca4e900011f35a9b3505f	MadGraph5_aMC@NLO_3.5.3;Pythia_8.312;Delphes_3.5.2pre01-33-ga3b0385;FastJet_3.5.1;no_container_original_environment_retained	canonical72_existing_verified	False
337	event_parquet:/uscms_data/d3/iturkmen/hh4b_delphes/parquet/ttbar_200k_shard009_event_summary.parquet	ttbar_200k_shard009	ttbar_200k	train	10000	/uscms_data/d3/iturkmen/hh4b_delphes/parquet/ttbar_200k_shard009_hh4b_candidates.parquet	34	15	c4586f2f00b85912d4883a308572437de18bc84de23721623141a1e2eea0f8dd	/uscms_data/d3/iturkmen/hh4b_delphes/parquet_v2_nominal/per_root/ttbar_200k__009__ttbar_200k_shard009_pythia8_delphes_v2_hh4b_candidates.parquet	/uscms_data/d3/iturkmen/hh4b_delphes/root/ttbar_200k_shard009_pythia8_delphes.root				not_applicable_local_campaign	not_applicable_local_campaign	109009	098cd42b378a9e9badd7f81c3bfa720c3f4af6f661fca4e900011f35a9b3505f	MadGraph5_aMC@NLO_3.5.3;Pythia_8.312;Delphes_3.5.2pre01-33-ga3b0385;FastJet_3.5.1;no_container_original_environment_retained	canonical72_existing_verified	False
