member_index	source_member_id	target_tag	dataset_split	generated_events	candidate_path	candidate_sha256	candidate_rows	schema_sha256	classification	canonical72_ready	include_in_future_dataset_v2_manifest	normalization_authorized
324	event_parquet:/uscms_data/d3/iturkmen/hh4b_delphes/parquet/ttbar_100k_shard001_event_summary.parquet	ttbar_100k_shard001	train	10000			0		exact_deterministic_regeneration_possible	False	False	False
325	event_parquet:/uscms_data/d3/iturkmen/hh4b_delphes/parquet/ttbar_100k_shard002_event_summary.parquet	ttbar_100k_shard002	train	10000			0		exact_deterministic_regeneration_possible	False	False	False
326	event_parquet:/uscms_data/d3/iturkmen/hh4b_delphes/parquet/ttbar_100k_shard003_event_summary.parquet	ttbar_100k_shard003	train	10000			0		exact_deterministic_regeneration_possible	False	False	False
327	event_parquet:/uscms_data/d3/iturkmen/hh4b_delphes/parquet/ttbar_100k_shard007_event_summary.parquet	ttbar_100k_shard007	train	10000			0		exact_deterministic_regeneration_possible	False	False	False
328	event_parquet:/uscms_data/d3/iturkmen/hh4b_delphes/parquet/ttbar_100k_shard008_event_summary.parquet	ttbar_100k_shard008	train	10000			0		exact_deterministic_regeneration_possible	False	False	False
329	event_parquet:/uscms_data/d3/iturkmen/hh4b_delphes/parquet/ttbar_100k_shard009_event_summary.parquet	ttbar_100k_shard009	train	10000			0		exact_deterministic_regeneration_possible	False	False	False
330	event_parquet:/uscms_data/d3/iturkmen/hh4b_delphes/parquet/ttbar_200k_shard000_event_summary.parquet	ttbar_200k_shard000	train	10000	/uscms_data/d3/iturkmen/hh4b_delphes/parquet_v2_nominal/per_root/ttbar_200k__000__ttbar_200k_shard000_pythia8_delphes_v2_hh4b_candidates.parquet	489301be2c5f9597234263ae3bf088a8765c83e397ac356955e77c0c29f1f7ef	37	4008b937032acad6aac87c2fea1df12a110d19a3876d1f8008496e9ca0c85cf4	canonical72_existing_verified	True	True	False
331	event_parquet:/uscms_data/d3/iturkmen/hh4b_delphes/parquet/ttbar_200k_shard001_event_summary.parquet	ttbar_200k_shard001	train	10000	/uscms_data/d3/iturkmen/hh4b_delphes/parquet_v2_nominal/per_root/ttbar_200k__001__ttbar_200k_shard001_pythia8_delphes_v2_hh4b_candidates.parquet	788771c68504a24ba2ca686c4b8067dd1d4dd9a9bca5b3521c942c6b6689f298	39	4008b937032acad6aac87c2fea1df12a110d19a3876d1f8008496e9ca0c85cf4	canonical72_existing_verified	True	True	False
332	event_parquet:/uscms_data/d3/iturkmen/hh4b_delphes/parquet/ttbar_200k_shard002_event_summary.parquet	ttbar_200k_shard002	train	10000	/uscms_data/d3/iturkmen/hh4b_delphes/parquet_v2_nominal/per_root/ttbar_200k__002__ttbar_200k_shard002_pythia8_delphes_v2_hh4b_candidates.parquet	93cd725e1e936790b16c824eb765aa8b04ee62cf8b10170da9c5c61c4d5e22f6	33	4008b937032acad6aac87c2fea1df12a110d19a3876d1f8008496e9ca0c85cf4	canonical72_existing_verified	True	True	False
333	event_parquet:/uscms_data/d3/iturkmen/hh4b_delphes/parquet/ttbar_200k_shard004_event_summary.parquet	ttbar_200k_shard004	train	10000	/uscms_data/d3/iturkmen/hh4b_delphes/parquet_v2_nominal/per_root/ttbar_200k__004__ttbar_200k_shard004_pythia8_delphes_v2_hh4b_candidates.parquet	cda9d612358fee7aaf910ffc7bb7f6c26a3d73364573d48cf0442d5a2dbde740	37	4008b937032acad6aac87c2fea1df12a110d19a3876d1f8008496e9ca0c85cf4	canonical72_existing_verified	True	True	False
334	event_parquet:/uscms_data/d3/iturkmen/hh4b_delphes/parquet/ttbar_200k_shard005_event_summary.parquet	ttbar_200k_shard005	train	10000	/uscms_data/d3/iturkmen/hh4b_delphes/parquet_v2_nominal/per_root/ttbar_200k__005__ttbar_200k_shard005_pythia8_delphes_v2_hh4b_candidates.parquet	252c339cc0f5df99f2c51153e93f66edce6051424b41e5588a3458460ec1f808	46	4008b937032acad6aac87c2fea1df12a110d19a3876d1f8008496e9ca0c85cf4	canonical72_existing_verified	True	True	False
335	event_parquet:/uscms_data/d3/iturkmen/hh4b_delphes/parquet/ttbar_200k_shard006_event_summary.parquet	ttbar_200k_shard006	train	10000	/uscms_data/d3/iturkmen/hh4b_delphes/parquet_v2_nominal/per_root/ttbar_200k__006__ttbar_200k_shard006_pythia8_delphes_v2_hh4b_candidates.parquet	83f662c1e418254cad53a3c6c7b2efc25e96233990b7b660e52c8bb3ddc11567	24	4008b937032acad6aac87c2fea1df12a110d19a3876d1f8008496e9ca0c85cf4	canonical72_existing_verified	True	True	False
336	event_parquet:/uscms_data/d3/iturkmen/hh4b_delphes/parquet/ttbar_200k_shard007_event_summary.parquet	ttbar_200k_shard007	train	10000	/uscms_data/d3/iturkmen/hh4b_delphes/parquet_v2_nominal/per_root/ttbar_200k__007__ttbar_200k_shard007_pythia8_delphes_v2_hh4b_candidates.parquet	a93a19b7f3a12598b47bd3f4b047c8cadda53e7f9c64fcff8996873a541f8748	38	4008b937032acad6aac87c2fea1df12a110d19a3876d1f8008496e9ca0c85cf4	canonical72_existing_verified	True	True	False
337	event_parquet:/uscms_data/d3/iturkmen/hh4b_delphes/parquet/ttbar_200k_shard009_event_summary.parquet	ttbar_200k_shard009	train	10000	/uscms_data/d3/iturkmen/hh4b_delphes/parquet_v2_nominal/per_root/ttbar_200k__009__ttbar_200k_shard009_pythia8_delphes_v2_hh4b_candidates.parquet	c263c1b58107d770ba0c7f59d14552c110f7896ea63fd0fe738e233e7359eef0	34	4008b937032acad6aac87c2fea1df12a110d19a3876d1f8008496e9ca0c85cf4	canonical72_existing_verified	True	True	False
338	event_parquet:/uscms_data/d3/iturkmen/hh4b_delphes/parquet/ttbar_200k_shard011_event_summary.parquet	ttbar_200k_shard011	train	10000	/uscms_data/d3/iturkmen/hh4b_delphes/parquet_v2_nominal/per_root/ttbar_200k__011__ttbar_200k_shard011_pythia8_delphes_v2_hh4b_candidates.parquet	78e68082764ff5b2630583df473e4de8ab6f5b27f1ce558a72ee2de92dfa2a71	34	4008b937032acad6aac87c2fea1df12a110d19a3876d1f8008496e9ca0c85cf4	canonical72_existing_verified	True	True	False
339	event_parquet:/uscms_data/d3/iturkmen/hh4b_delphes/parquet/ttbar_200k_shard012_event_summary.parquet	ttbar_200k_shard012	train	10000	/uscms_data/d3/iturkmen/hh4b_delphes/parquet_v2_nominal/per_root/ttbar_200k__012__ttbar_200k_shard012_pythia8_delphes_v2_hh4b_candidates.parquet	cedeec5f5056c79b9300243d2926e8a8e7783a87c9f56345aaf21e87344f681f	32	4008b937032acad6aac87c2fea1df12a110d19a3876d1f8008496e9ca0c85cf4	canonical72_existing_verified	True	True	False
340	event_parquet:/uscms_data/d3/iturkmen/hh4b_delphes/parquet/ttbar_200k_shard013_event_summary.parquet	ttbar_200k_shard013	train	10000	/uscms_data/d3/iturkmen/hh4b_delphes/parquet_v2_nominal/per_root/ttbar_200k__013__ttbar_200k_shard013_pythia8_delphes_v2_hh4b_candidates.parquet	d82ea5c2936af683fb7c8c34771bb8092023ba97657f331883639dbeef828098	34	4008b937032acad6aac87c2fea1df12a110d19a3876d1f8008496e9ca0c85cf4	canonical72_existing_verified	True	True	False
