production_row_index	source_uid	group_id	sample_class	process_or_mode	workflow_population	source_fold	precut_rows	postcut_rows	precut_yield	postcut_yield	precut_sumw2	postcut_sumw2	precut_absolute_weight_sum	postcut_absolute_weight_sum	precut_negative_weight_rows	postcut_negative_weight_rows	raw_efficiency	signed_physical_efficiency	absolute_weight_efficiency	postcut_effective_events
23	2b75740d79c95d2ed01426b1::background::1::bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/bbh_hbb_4fs_scaleout40k_20260722_v1/bbh_hbb_4fs_run2_frozen_v2_train_shard9802_10k_bundle.tar.gz	2b75740d79c95d2ed01426b1	background	bbh_hbb_4fs	primary_physical_background	2	3114	1403	4544.53779933557	2047.522971248492	6632.249136027545	2988.1327995653965	4544.53779933557	2047.522971248492	0	0	0.45054592164418755	0.45054592164418755	0.45054592164418755	1403.0000000000007
24	44496f1095922dfadc459546::background::2::bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/bbh_hbb_4fs_scaleout40k_20260722_v1/bbh_hbb_4fs_run2_frozen_v2_train_shard9803_10k_bundle.tar.gz	44496f1095922dfadc459546	background	bbh_hbb_4fs	primary_physical_background	3	3180	1424	4614.247792922513	2066.254357585427	6695.371916506381	2998.1791223600903	4614.247792922513	2066.254357585427	0	0	0.4477987421383648	0.4477987421383647	0.4477987421383647	1423.999999999999
25	6b17060f283655da93e0921e::background::0::bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/bbh_hbb_4fs_scaleout40k_20260722_v1/bbh_hbb_4fs_run2_frozen_v2_train_shard9801_10k_bundle.tar.gz	6b17060f283655da93e0921e	background	bbh_hbb_4fs	primary_physical_background	1	3154	1432	4578.945084478573	2078.9630186979443	6647.665848658999	3018.2173415598245	4578.945084478573	2078.9630186979443	0	0	0.4540266328471782	0.45402663284717815	0.45402663284717815	1432.0
26	5581eba7ecceab1d7eb22b19::background::11::bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/ggh_hbb_scaleout90k_20260722_v1/ggh_hbb_run2_frozen_v2_train_shard9707_10k_bundle.tar.gz	5581eba7ecceab1d7eb22b19	background	ggh_hbb	primary_physical_background	3	785	326	52488.93609115218	21797.953077344722	3509666.7668548506	1457517.663687492	52488.93609115218	21797.953077344722	0	0	0.4152866242038217	0.41528662420382156	0.41528662420382156	325.9999999999999
27	6aeca1df086a5ba7b74a5ebf::background::6::bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/ggh_hbb_scaleout90k_20260722_v1/ggh_hbb_run2_frozen_v2_train_shard9702_10k_bundle.tar.gz	6aeca1df086a5ba7b74a5ebf	background	ggh_hbb	primary_physical_background	4	761	278	50943.81581522232	18610.224437098295	3410344.7697967114	1245828.9697811902	50943.81581522232	18610.224437098295	0	0	0.36530880420499345	0.3653088042049934	0.3653088042049934	277.9999999999998
28	7dcf83e3d7a9fbe6d951f885::background::8::bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/ggh_hbb_scaleout90k_20260722_v1/ggh_hbb_run2_frozen_v2_train_shard9704_10k_bundle.tar.gz	7dcf83e3d7a9fbe6d951f885	background	ggh_hbb	primary_physical_background	4	746	261	49998.154532006374	17492.65192071537	3350959.057113123	1172386.47976746	49998.154532006374	17492.65192071537	0	0	0.34986595174262736	0.34986595174262736	0.34986595174262736	261.0
29	9524da743bed17f1a164de40::background::10::bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/ggh_hbb_scaleout90k_20260722_v1/ggh_hbb_run2_frozen_v2_train_shard9706_10k_bundle.tar.gz	9524da743bed17f1a164de40	background	ggh_hbb	primary_physical_background	2	738	262	49428.73551149957	17547.870872646192	3310568.9624197544	1175296.8403170402	49428.73551149957	17547.870872646192	0	0	0.35501355013550134	0.3550135501355014	0.3550135501355014	262.00000000000006
30	b01df2690d845a4ec70c448d::background::5::bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/ggh_hbb_scaleout90k_20260722_v1/ggh_hbb_run2_frozen_v2_train_shard9701_10k_bundle.tar.gz	b01df2690d845a4ec70c448d	background	ggh_hbb	primary_physical_background	1	746	310	50023.44833954005	20787.22384082764	3354350.380400314	1393898.9516408811	50023.44833954005	20787.22384082764	0	0	0.4155495978552279	0.41554959785522794	0.41554959785522794	309.99999999999983
31	c3243743a4a6a550a9c5c805::background::12::bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/ggh_hbb_scaleout90k_20260722_v1/ggh_hbb_run2_frozen_v2_train_shard9708_10k_bundle.tar.gz	c3243743a4a6a550a9c5c805	background	ggh_hbb	primary_physical_background	0	802	304	53857.644609004245	20414.8677819667	3616765.4399374127	1370943.5084052035	53857.644609004245	20414.8677819667	0	0	0.3790523690773067	0.37905236907730677	0.37905236907730677	304.00000000000006
32	d57b5a8ba73ef272a21399fc::background::9::bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/ggh_hbb_scaleout90k_20260722_v1/ggh_hbb_run2_frozen_v2_train_shard9705_10k_bundle.tar.gz	d57b5a8ba73ef272a21399fc	background	ggh_hbb	primary_physical_background	2	780	281	52363.2201113263	18864.18570677268	3515265.1543938564	1266396.8056213765	52363.2201113263	18864.18570677268	0	0	0.36025641025641025	0.3602564102564103	0.3602564102564103	280.99999999999994
33	db851bd542564798669015d6::background::7::bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/ggh_hbb_scaleout90k_20260722_v1/ggh_hbb_run2_frozen_v2_train_shard9703_10k_bundle.tar.gz	db851bd542564798669015d6	background	ggh_hbb	primary_physical_background	1	766	279	51272.415878625165	18674.93998712326	3431932.9373768857	1250012.127321346	51272.415878625165	18674.93998712326	0	0	0.3642297650130548	0.3642297650130547	0.3642297650130547	278.99999999999983
34	01311a969155f53d6624fd5f::background::186::bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/qcd_hardqcd_importance_adaptive500k_phys_20260717_0022/qcd_hardqcd_importance_adaptive500k_phys_20260717_0022_bin05_pthat500to700_shard1868_seed1251868_bundle.tar.gz	01311a969155f53d6624fd5f	background	qcd_hardqcd	primary_physical_background	2	1372	293	2876462.5703348145	614288.2894373911	6030639153.452746	1287884309.0099525	2876462.5703348145	614288.2894373911	0	0	0.21355685131195334	0.21355685131195334	0.21355685131195334	292.9999999999999
35	03b82368ee8a80a11d321612::background::218::bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/qcd_hardqcd_importance_adaptive500k_phys_wave2_20260717/qcd_hardqcd_importance_adaptive500k_phys_wave2_20260717_bin03_pthat200to300_shard9820_seed1239820_bundle.tar.gz	03b82368ee8a80a11d321612	background	qcd_hardqcd	primary_physical_background	4	1548	306	283333223.9291601	56007730.311578155	51858989523314.95	10251195603445.98	283333223.9291601	56007730.311578155	0	0	0.19767441860465115	0.19767441860465113	0.19767441860465113	306.00000000000006
36	0bc14151d9ef1452b67c229a::background::180::bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/qcd_hardqcd_importance_adaptive500k_phys_20260717_0022/qcd_hardqcd_importance_adaptive500k_phys_20260717_0022_bin02_pthat100to200_shard1861_seed1221861_bundle.tar.gz	0bc14151d9ef1452b67c229a	background	qcd_hardqcd	primary_physical_background	2	1427	376	647487806.6258137	170606457.80750245	293791492452072.4	77411072993678.5	647487806.6258137	170606457.80750245	0	0	0.263489838822705	0.263489838822705	0.263489838822705	375.99999999999994
37	0c8c993da718c671b9e4b916::background::168::bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/qcd_hardqcd_importance_adaptive500k_phys_20260717_0022/qcd_hardqcd_importance_adaptive500k_phys_20260717_0022_bin00_pthat50to75_shard1846_seed1201846_bundle.tar.gz	0c8c993da718c671b9e4b916	background	qcd_hardqcd	primary_physical_background	3	129	44	240248886.9627512	81945356.79349653	447438199122797.06	152614579545760.28	240248886.9627512	81945356.79349653	0	0	0.34108527131782945	0.34108527131782945	0.34108527131782945	43.99999999999998
38	0d6f9c8a8ab14ab9a78b6ebe::background::166::bundle:/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/qcd_hardqcd_importance_adaptive500k_phys_20260717_0022/qcd_hardqcd_importance_adaptive500k_phys_20260717_0022_bin00_pthat50to75_shard1844_seed1201844_bundle.tar.gz	0d6f9c8a8ab14ab9a78b6ebe	background	qcd_hardqcd	primary_physical_background	0	99	38	184347721.39619023	70759731.4450023	343273559434013.75	131761568267601.17	184347721.39619023	70759731.4450023	0	0	0.3838383838383838	0.3838383838383838	0.3838383838383838	38.00000000000003
