sample_class	source_fold	sources	precut_rows	postcut_rows	precut_yield	postcut_yield	precut_sumw2	postcut_sumw2	precut_absolute_weight_sum	postcut_absolute_weight_sum	precut_negative_weight_rows	postcut_negative_weight_rows	raw_efficiency	signed_physical_efficiency	absolute_weight_efficiency	postcut_effective_events
background	0	68	188734	97840	12151259617.242788	3920924870.216944	1.3507714700691384e+16	4640486771736713.0	12151259619.27392	3920924870.216944	2	0	0.5184015598673265	0.32267641328748364	0.322676413233547	3312.939481159675
background	1	75	190976	96702	10716894095.343645	3778476802.814515	1.4681237830341092e+16	5164895355847749.0	10716894098.157768	3778476802.814515	4	0	0.5063568197050938	0.3525720016638231	0.352572001571242	2764.216110059802
background	2	76	192212	97909	13424190209.542377	4417418894.513872	1.3149294838673612e+16	4553598543413535.0	13424190212.077929	4417418895.525712	3	1	0.5093802676211683	0.3290640869624909	0.32906408697571193	4285.311826145327
background	3	68	191021	97499	11526499485.123075	3685952256.28121	1.2338028689622734e+16	4268048152189035.0	11526499487.67884	3685952256.7923627	5	1	0.5104098502258914	0.31978071582257594	0.31978071579601697	3183.2452566441425
background	4	67	188816	98238	14475644103.94509	4437850025.94936	1.170503279271653e+16	3842058150380980.5	14475644105.986944	4437850026.461484	3	1	0.5202842979408525	0.306573579322795	0.30657357931492973	5126.031955259661
signal	0	20	17502	9376	173.13027444267098	96.5017211615276	2.3385326295920708	1.3142581890147051	173.13027444267098	96.5017211615276	0	0	0.5357102045480516	0.5573936821401068	0.5573936821401068	7085.808758870153
signal	1	13	18857	9762	115.44986805062372	63.643543268422306	1.3558919598598118	0.7654143514196594	115.44986805062372	63.643543268422306	0	0	0.5176857400434852	0.5512656215467928	0.5512656215467928	5291.905740004533
signal	2	13	18937	9606	116.18276509593294	63.12583830509454	1.3657191828961615	0.7614109085653438	116.18276509593294	63.12583830509454	0	0	0.5072609177800074	0.5433322081202929	0.5433322081202929	5233.53608005074
signal	3	21	17776	9526	177.0325013187127	99.00934274457325	2.3944950019050903	1.3510132623440265	177.0325013187127	99.00934274457325	0	0	0.5358910891089109	0.5592721223902617	0.5592721223902617	7255.924293225887
signal	4	20	17566	9347	172.98954766390628	95.18228745607416	2.334692194391005	1.2935497144171968	172.98954766390628	95.18228745607416	0	0	0.532107480359786	0.5502198759488036	0.5502198759488036	7003.726060464965
