signal_precut_yield	background_precut_yield	signal_postcut_yield	background_postcut_yield	signal_postcut_sumw2	background_postcut_sumw2	signal_precut_rows	background_precut_rows	signal_postcut_rows	background_postcut_rows	signal_physical_efficiency	background_physical_efficiency	signal_raw_efficiency	background_raw_efficiency	signal_over_background	signal_over_sqrt_background	asimov_significance_stat_only	signal_effective_events	background_effective_events	signal_mc_relative_uncertainty	background_mc_relative_uncertainty	replica
753.046919448205	64424929425.739525	416.19454798557007	20863668156.42791	5.469530984343083	2.226955613237572e+16	90587	942018	47466	486578	0.5526807656162203	0.3238446412343651	0.5239824698908232	0.5165272850412624	1.9948292163444147e-08	0.0028813834246848727	0.002881383410964201	31669.60791862436	19546.534576354254	0.0056192539127878855	0.007152619361559584	0
753.6214078037785	64934591227.77426	415.5790584443106	21038153782.555794	5.4608668350014105	2.244687406823849e+16	90459	944701	47399	487441	0.5514427458415772	0.3239899317878082	0.5239832410263213	0.515973837224688	1.975358972748342e-08	0.002865166351164059	0.002865166346052994	31626.10608090668	19717.841924579385	0.005623117238060766	0.00712148083209706	1
752.7240473099088	60186879503.938675	416.46699261404046	19729206487.581886	5.470027212959719	2.158340264159538e+16	90396	982666	47582	495007	0.5532797764365488	0.3277991258259334	0.526372848356122	0.5037388085066543	2.1109160820845807e-08	0.0029650073732899527	0.002965007364153341	31708.20714128328	18034.301407114537	0.005615832639529811	0.007446468181494911	2
753.8704780312783	65581477757.01306	415.0592904590688	21183136914.64072	5.45265380404349	2.3376049105251964e+16	90448	943028	47375	488719	0.5505710895364813	0.32300487331387506	0.52378162037856	0.5182444211624682	1.9593853928791852e-08	0.0028517733270796587	0.0028517733304964294	31594.563085709444	19195.942287937698	0.005625923507473679	0.007217641090309265	3
757.8182942455028	63149199360.59744	414.86892249723957	20392563125.626816	5.450631078706631	2.1882735275964508e+16	90811	954136	47351	489217	0.547451711904488	0.32292670900196646	0.5214236160817523	0.5127329856540367	2.0344128393349648e-08	0.002905193044479913	0.0029051930475971223	31577.30185159801	19003.868830303032	0.005627460958581328	0.007254023996906507	4
754.1028839779583	62872231300.096535	419.30747300183754	20103337321.021748	5.509707666859837	2.1571215536917884e+16	90646	984613	47856	493636	0.5560348354457341	0.31974906735958136	0.5279438695585023	0.5013502767077014	2.0857605197887927e-08	0.0029573213772595597	0.002957321374185603	31910.723317085092	18735.3452915584	0.005597984295816486	0.007305823050333827	5
754.9427263922722	65030513396.5364	417.32550640635003	20935891540.78727	5.4836376209109465	2.1834189867232028e+16	90363	955929	47592	490380	0.5527909493223007	0.32193950881375544	0.5266757411772518	0.5129878892679268	1.9933495814750337e-08	0.0028842254134064387	0.002884225419809309	31760.04512646567	20074.550843098157	0.005611247754147327	0.007057925689660361	6
753.8913045823925	66672850866.4636	416.4567352138396	21154181540.785435	5.472018533991875	2.2849352115809176e+16	90597	969835	47534	493357	0.5524095220126327	0.31728329096282837	0.524675209995916	0.5087019957002995	1.9686733538279777e-08	0.002863332459980293	0.002863332432194084	31695.106883793247	19584.773974877306	0.005616993090787298	0.007145633181848727	7
755.7557876153172	64212595861.33266	418.16452691533834	20778121135.000237	5.49818079631086	2.15323567344348e+16	90529	966357	47547	491752	0.5533064169244388	0.3235832605159067	0.5252129151984447	0.5088719800239456	2.0125232892734965e-08	0.002900975437960743	0.002900975419626058	31803.53248617368	20050.304907419413	0.005607410101477186	0.007062191817048131	8
753.6276462524077	61477335221.055016	417.4649697181907	19974584746.29206	5.4847583444720325	2.2239981848681704e+16	90538	957457	47735	488362	0.5539406254456486	0.32490973583141064	0.5272371821776491	0.510061548455962	2.089980718100715e-08	0.0029538004962988227	0.0029538004821258665	31774.782040754777	17939.944308473147	0.005609946375158021	0.0074660252563745885	9
