sample_class	process_or_mode	workflow_population	sources	precut_rows	postcut_rows	precut_yield	postcut_yield	precut_sumw2	postcut_sumw2	precut_absolute_weight_sum	postcut_absolute_weight_sum	precut_negative_weight_rows	postcut_negative_weight_rows	raw_efficiency	signed_physical_efficiency	absolute_weight_efficiency	postcut_effective_events
background	bbh_hbb_4fs	primary_physical_background	3	9448	4259	13737.730676736657	6192.740347531863	19975.286901192925	9004.52926348531	13737.730676736657	6192.740347531863	0	0	0.4507832345469941	0.45078335667320885	0.45078335667320885	4258.9714453440765
background	ggh_hbb	primary_physical_background	8	6124	2301	410376.3708883762	154189.91762449485	27499853.468292907	10332281.34654199	410376.3708883762	154189.91762449485	0	0	0.37573481384715873	0.3757280598069206	0.3757280598069206	2300.9952884224717
background	qcd_hardqcd	primary_physical_background	186	138122	35474	62226803557.78889	20201139163.04866	6.538130096044612e+16	2.2469082423463696e+16	62226803557.78889	20201139163.04866	0	0	0.2568309175945903	0.32463726253090014	0.32463726253090014	18162.11342296328
background	schannel_single_top	primary_physical_background	1	2254	978	115116.53935712665	49948.52506267518	5879244.735386373	2550976.642062055	115116.53935712665	49948.52506267518	0	0	0.4338952972493345	0.4338952972493345	0.4338952972493345	978.0000000000005
background	tchannel_antitop	primary_physical_background	5	11942	5046	1648905.3195692534	696728.6440009214	227674641.44701448	96201174.61756541	1648905.3195692534	696728.6440009214	0	0	0.4225422877239993	0.4225401153917856	0.4225401153917856	5045.996634668198
background	tchannel_top	primary_physical_background	6	13430	5532	3110891.766444447	1281395.7425769796	720601450.6315639	296814917.111494	3110891.766444447	1281395.7425769796	0	0	0.4119136262099777	0.4119062438618795	0.4119062438618795	5531.982910675699
background	ttbar_inclusive	primary_physical_background	81	525672	318145	59312637.94808976	35896900.318469286	6692373306.872369	4050319842.6870623	59312637.94808976	35896900.318469286	0	0	0.6052157999665191	0.605215036125794	0.605215036125794	318144.61635682726
background	tth_hbb	primary_physical_background	2	18400	11346	18777.526017157754	11578.828775363512	19162.80865670892	11816.441945813378	18777.526017157754	11578.828775363512	0	0	0.6166304347826087	0.6166322850402917	0.6166322850402917	11345.993694547577
background	tttt	primary_physical_background	3	29807	15594	1043.7831117694377	546.0523791612948	36.55147041861473	19.121135389655137	1043.7831117694377	546.0523791612948	0	0	0.5231656993323716	0.523147359833805	0.523147359833805	15593.906675072614
background	ttw	primary_physical_background	4	31544	19694	25686.571802282815	16037.355717538132	20916.970556969678	13059.748627888515	25686.571802282815	16037.355717538132	0	0	0.6243342632513315	0.6243478437287167	0.6243478437287167	19693.853667414445
background	ttz_zbb	primary_physical_background	3	27191	14458	7973.753360174982	4239.839663020983	2338.307628815166	1243.3456404848437	7973.753360174982	4239.839663020983	0	0	0.5317200544297745	0.5317244554110387	0.5317244554110387	14457.959060455649
background	tw_antitop	primary_physical_background	4	18735	9048	1034908.6480181161	499800.9554043469	57167726.48238113	27608458.088980317	1034908.6480181161	499800.9554043469	0	0	0.4829463570856685	0.48294209963505674	0.48294209963505674	9047.987910733918
background	tw_top	primary_physical_background	5	23210	11099	1282968.2347406573	613512.9469183602	70918056.37059389	33912809.47669867	1282968.2347406573	613512.9469183602	0	0	0.4781990521327014	0.47819808028401994	0.47819808028401994	11098.995979530155
background	vbf_hbb	primary_physical_background	3	7417	2588	33329.81544128421	11629.636627386339	149774.58530157837	52259.90488678233	33329.81544128421	11629.636627386339	0	0	0.34892813806121076	0.34892592333353295	0.34892592333353295	2587.996445421262
background	wh_hbb	primary_physical_background	4	8533	3497	15700.380397765539	6434.261911546286	28888.1002926156	11838.65089939026	15700.380397765539	6434.261911546286	0	0	0.40982069612094224	0.40981566997332136	0.40981566997332136	3496.9969718853285
background	ww	primary_physical_background	2	1767	639	394571.5672502681	142686.6760746708	88107978.64722283	31861498.51628072	394571.5672502681	142686.6760746708	0	0	0.3616298811544992	0.3616243234884884	0.3616243234884884	638.9996854301959
background	wwz_zbb	primary_physical_background	4	9999	3714	5070.276278164016	1884.9384075288797	2578.253467728099	957.6808482568531	5077.383474228812	1885.9502466996616	7	1	0.3714371437143714	0.3717624650251662	0.3714413646855998	3709.9967140875565
background	wz_zbb	primary_physical_background	4	4983	1729	40809.196562517885	14160.04162850446	334215.2386723378	115967.18376511466	40809.196562517885	14160.04162850446	0	0	0.34697973108569136	0.34698163211353356	0.34698163211353356	1728.9958452996066
background	wzz_zbb	primary_physical_background	4	6079	2416	1552.0141465743664	617.428558689884	398.3334318061234	158.31255453595344	1556.1060313477076	618.4518357036816	8	2	0.397433788452048	0.39782405337778876	0.3974355366825837	2408.0088038708977
background	zbbbb	primary_physical_background	19	54948	19677	209478.75241511886	75016.75297686053	798605.1807428537	285997.1418064625	209478.75241511886	75016.75297686053	0	0	0.3581022057217733	0.3581115130388102	0.3581115130388102	19676.816319372574
background	zzz_zbb	primary_physical_background	3	2154	954	417.2135214904773	185.12411525725136	81.114079881484	35.92376078725584	417.9928675742141	185.12411525725136	2	0	0.4428969359331476	0.443715521481431	0.4428882156090446	953.9908210817923
signal	ggf_hh4b	primary_physical_signal	80	46340	26028	667.5925213202042	374.96918735443813	9.6177068557954	5.402005609639602	667.5925213202042	374.96918735443813	0	0	0.5616745791972378	0.5616737386645885	0.5616737386645885	26027.720373772077
signal	vbf_hh4b	primary_physical_signal	7	44298	21589	87.19243525164241	42.493545581253684	0.17162411284873968	0.08364081612133009	87.19243525164241	42.493545581253684	0	0	0.48735834574924375	0.48735358128964806	0.48735358128964806	21588.758931365737
