sample_class	sources	precut_rows	postcut_rows	precut_yield	postcut_yield	precut_sumw2	postcut_sumw2	precut_absolute_weight_sum	postcut_absolute_weight_sum	precut_negative_weight_rows	postcut_negative_weight_rows	raw_efficiency	signed_physical_efficiency	absolute_weight_efficiency	postcut_effective_events
background	354	951759	488188	62294487511.196976	20240622849.7759	6.538130885204535e+16	2.2469086973568012e+16	62294487523.1754	20240622851.811016	17	3	0.512932370484545	0.3249183620964503	0.324918362066642	18233.17582191076
signal	87	90638	47617	754.7849565718466	417.46273293569186	9.78933096864414	5.485646425760931	754.7849565718466	417.46273293569186	0	0	0.5253536044484653	0.5530883058821991	0.5530883058821991	31769.297520111777
