sample,version,n_candidates,median_mbb1,median_mbb2,median_mbb_avg,median_mass_distance_hh,frac_hh_window_90_150
ggf_hh4b_smoke20,AK4AK8,3,118.54492206693153,124.53527949666373,120.37318061298522,25.1173302729527,0.6666666666666666
ggf_hh4b_smoke20,R05,4,113.06817074667322,125.18921239412124,119.12869157039724,14.942895907956071,0.75
qcd_bbbb_10k,AK4AK8,687,90.89930385236946,132.86253024449192,112.55286379372073,64.4867771717696,0.24745269286754004
qcd_bbbb_10k,R05,697,95.13823450183496,133.5608503815487,115.37183851047004,63.03914009065309,0.30416068866571017
ttbar_10k,AK4AK8,81,97.61947687408842,141.4798185644628,119.89403414099246,76.10603474862036,0.2716049382716049
ttbar_10k,R05,50,94.03531034962451,139.85536136986968,116.44408741523642,65.68205252657197,0.26
vbf_hh4b_smoke1000,AK4AK8,111,100.88697316738275,129.0230282151518,114.955126170631,47.00344957872554,0.4594594594594595
vbf_hh4b_smoke1000,R05,105,105.87519567726098,130.26314278932193,115.9433560537376,44.539718602904685,0.4857142857142857
zbbbb_10k,AK4AK8,588,91.7346097242665,132.7254438592471,112.91712060985407,63.95848591122761,0.272108843537415
zbbbb_10k,R05,574,93.5942417932896,132.37953607089443,113.1690299931789,58.20825678052941,0.3118466898954704
