sample,version,event,mbb1,mbb2,mbb_avg,mass_distance_hh,in_hh_window_90_150
ggf_hh4b_smoke20,R05,4,124.5332484565947,133.54613689899242,129.03969267779357,9.01288844239771,True
ggf_hh4b_smoke20,R05,11,106.62100806887824,122.50608855760733,114.56354831324279,20.872903373514433,True
ggf_hh4b_smoke20,R05,12,119.51533342446821,127.87233623063516,123.69383482755168,8.357002806166946,True
ggf_hh4b_smoke20,R05,13,81.49219505071146,103.43799474695145,92.46509489883145,65.0698102023371,False
ggf_hh4b_smoke20,AK4AK8,1,100.34739023038357,124.53527949666373,112.44133486352365,25.1173302729527,True
ggf_hh4b_smoke20,AK4AK8,6,118.54492206693153,122.20143915903891,120.37318061298522,9.253638774029554,True
ggf_hh4b_smoke20,AK4AK8,9,138.76932643142655,157.9755363532083,148.37243139231742,46.74486278463485,False
vbf_hh4b_smoke1000,R05,32,123.2039343312578,155.83593140007284,139.5199328656653,32.63199706881504,False
vbf_hh4b_smoke1000,R05,33,106.83007076136103,133.38156336402886,120.10581706269494,26.551492602667835,True
vbf_hh4b_smoke1000,R05,38,117.89931906729748,126.46023590953118,122.17977748841433,8.560916842233695,True
vbf_hh4b_smoke1000,R05,46,141.88438994450715,159.25398830790465,150.5691891262059,51.1383782524118,False
vbf_hh4b_smoke1000,R05,69,100.12880065193352,101.66935991996762,100.89908028595056,48.201839428098864,True
vbf_hh4b_smoke1000,R05,71,92.56793421359946,114.03384764458511,103.30089092909228,43.398218141815434,True
vbf_hh4b_smoke1000,R05,78,81.329781464874,125.86950006777869,103.59964076632635,44.539718602904685,False
vbf_hh4b_smoke1000,R05,84,99.17533969541101,120.61712336313511,109.89623152927305,30.20753694145388,True
vbf_hh4b_smoke1000,R05,94,115.57434024772917,116.31237185974605,115.9433560537376,18.11328789252478,True
vbf_hh4b_smoke1000,R05,108,100.82420543828255,142.18606155666365,121.5051334974731,41.3618561183811,True
vbf_hh4b_smoke1000,R05,125,91.25883502774843,122.10229915310907,106.68056709042875,36.638865819142495,True
vbf_hh4b_smoke1000,R05,131,84.51635246702638,129.31435814644786,106.91535530673713,44.79800567942148,False
vbf_hh4b_smoke1000,R05,136,113.11740242458669,127.50278619303215,120.31009430880943,14.385383768445465,True
vbf_hh4b_smoke1000,R05,140,96.64182373591993,154.0847525868201,125.36328816137001,57.44292885090016,False
vbf_hh4b_smoke1000,R05,152,119.98349701705702,129.43656126569567,124.71002914137634,9.453064248638654,True
vbf_hh4b_smoke1000,R05,156,96.14753394328261,132.46129320340552,114.30441357334406,36.31375926012291,True
vbf_hh4b_smoke1000,R05,181,293.72508084356474,736.5981637354942,515.1616222895294,780.3232445790588,False
vbf_hh4b_smoke1000,R05,188,125.97094627638897,151.90304785220943,138.9369970642992,27.873994128598397,False
vbf_hh4b_smoke1000,R05,190,77.89203004550727,83.55753788260819,80.72478396405774,88.55043207188454,False
vbf_hh4b_smoke1000,R05,192,127.77602128369271,326.63785166786994,227.20693647578133,204.41387295156267,False
vbf_hh4b_smoke1000,R05,199,56.088368343945625,158.0559082146396,107.07213827929262,101.96753987069397,False
vbf_hh4b_smoke1000,R05,202,143.38262086943666,160.17333937304926,151.77798012124296,53.555960242485924,False
vbf_hh4b_smoke1000,R05,204,102.76668432004976,180.37869890895217,141.57269161450097,77.61201458890241,False
vbf_hh4b_smoke1000,R05,210,140.9416061233416,157.3629905455362,149.1522983344389,48.30459666887779,False
vbf_hh4b_smoke1000,R05,214,120.39199868513754,140.85082736975605,130.6214130274468,20.45882868461851,True
vbf_hh4b_smoke1000,R05,215,101.34233944070039,132.2522385821242,116.79728901141229,30.909899141423807,True
vbf_hh4b_smoke1000,R05,219,78.51059972328852,121.07452823452864,99.79256397890859,50.414872042182836,False
vbf_hh4b_smoke1000,R05,221,128.1658068341076,235.36857244342593,181.76718963876675,113.53437927753353,False
vbf_hh4b_smoke1000,R05,236,74.66114141746596,119.33186904210972,96.99650522978783,56.00698954042433,False
vbf_hh4b_smoke1000,R05,259,68.73224191954574,108.2210148363975,88.47662837797162,73.04674324405676,False
vbf_hh4b_smoke1000,R05,260,104.41048528989752,116.77690447032764,110.59369488011258,28.81261023977484,True
vbf_hh4b_smoke1000,R05,265,100.3347951912204,150.7230658934636,125.528930542342,50.388270702243204,False
vbf_hh4b_smoke1000,R05,272,92.84009778722647,113.12632988504113,102.9832138361338,44.0335723277324,True
vbf_hh4b_smoke1000,R05,283,126.66882870399539,157.5682326007248,142.1185306523601,34.237061304720186,False
vbf_hh4b_smoke1000,R05,284,113.0460624708977,117.28275526519637,115.16440886804703,19.671182263905933,True
vbf_hh4b_smoke1000,R05,285,127.26969416643104,134.66638710628072,130.96804063635588,11.93608127271176,True
vbf_hh4b_smoke1000,R05,291,104.88315665997006,120.0003045724145,112.44173061619227,25.116538767615438,True
vbf_hh4b_smoke1000,R05,303,127.15515692748068,653.7696363949484,390.46239666121454,530.9247933224291,False
vbf_hh4b_smoke1000,R05,310,60.20195944454123,125.98481315627717,93.09338630040921,65.78285371173594,False
vbf_hh4b_smoke1000,R05,324,102.40133688299736,124.94024258852517,113.67078973576126,22.65842052847748,True
vbf_hh4b_smoke1000,R05,329,124.37507834546552,747.3156971392301,435.84538774234784,622.9406187937645,False
vbf_hh4b_smoke1000,R05,331,114.55525054805726,294.7980454932933,204.67664802067526,180.24279494523603,False
vbf_hh4b_smoke1000,R05,340,111.40199976391818,131.93940913018514,121.67070444705166,20.537409366266957,True
vbf_hh4b_smoke1000,R05,347,142.80714798023865,144.78878747684988,143.79796772854428,37.59593545708853,True
vbf_hh4b_smoke1000,R05,357,109.89177345959975,112.52775387331388,111.20976366645681,27.58047266708637,True
vbf_hh4b_smoke1000,R05,365,88.34377838889523,102.56548651614324,95.45463245251923,59.09073509496153,False
vbf_hh4b_smoke1000,R05,386,130.89650442838845,133.1996779361306,132.04809118225953,14.096182364519052,True
vbf_hh4b_smoke1000,R05,412,63.04886643262494,114.19277859550087,88.62082251406291,72.75835497187418,False
vbf_hh4b_smoke1000,R05,417,112.3254155765814,116.5494817855852,114.43744868108331,21.125102637833393,True
vbf_hh4b_smoke1000,R05,418,75.15775040957092,125.0167789184595,100.08726466401521,49.85902850888857,False
vbf_hh4b_smoke1000,R05,419,99.4224430014788,111.34647796770962,105.3844604845942,39.231079030811586,True
vbf_hh4b_smoke1000,R05,420,50.059570918854526,296.92122912374793,173.49040002130124,246.86165820489342,False
vbf_hh4b_smoke1000,R05,422,114.15706942374545,135.33654830232467,124.74680886303506,21.179478878579218,True
vbf_hh4b_smoke1000,R05,431,82.70448823953647,114.75464078224654,98.7295645108915,52.54087097821699,False
vbf_hh4b_smoke1000,R05,455,118.89418129987352,123.31404447561728,121.1041128877454,7.791774224509197,True
vbf_hh4b_smoke1000,R05,465,112.48748604545227,119.11040000321388,115.79894302433308,18.402113951333845,True
vbf_hh4b_smoke1000,R05,474,88.29739398102282,135.5562786889852,111.92683633500401,47.25888470796238,False
vbf_hh4b_smoke1000,R05,481,136.25470358270942,158.28807411648242,147.27138884959592,44.542777699191845,False
vbf_hh4b_smoke1000,R05,489,103.55717584472667,108.60862860754547,106.08290222613607,37.83419554772786,True
