projection	path	sha256	rows	columns	process_column	weight_column	qcd_hardqcd_rows	physical_weight_sum	physical_absolute_weight_sum	negative_weight_rows	zero_weight_rows	all_rows_train
primary_physical_train	/uscms_data/d3/iturkmen/hh4b_delphes/harvest_checkpoints/pn_c7s_final_train_baseline_inputs_20260802_v1/tables/train_primary_physical_projection.parquet	04ecbc94bd8862345d9f93d837f07b7d235c2cf4be2b6c9b6b80dd39775deb0c	31225	136	registry_process_or_mode	primary_projection_physical_weight_inclusive	576	4150691.071266058	4150691.071266058	0	0	True
direct_secondary_train	/uscms_data/d3/iturkmen/hh4b_delphes/harvest_checkpoints/pn_c7s_final_train_baseline_inputs_20260802_v1/tables/train_direct_qcd_secondary_projection.parquet	f8d68205bc3daf9fcec58d591676d469bb1ec35c281631702d9c99ef199a19f3	30705	123	registry_process_or_mode	direct_projection_physical_weight	56	9211904.516042346	9211904.516042346	0	0	True
auxiliary_qcd_train_overlay	source paths from qcd_bbbb_train_source_inventory.tsv	per-source frozen candidate SHA256	22457	72	process_or_mode	auxiliary_training_weight_to_be_materialized	0	0.0	0.0	0	22457	True
