process_or_mode	sample_class	generated_events	included_in_22_process_ordinary_registry	nominal_physical_addition_role	global_ordinary_registry_frozen
bbh_hbb_4fs	background	50000	True	ordinary_background	True
ggf_hh4b	signal	100000	True	ordinary_signal	True
ggh_hbb	background	100000	True	ordinary_background	True
schannel_single_top	background	30000	True	ordinary_background	True
tchannel_antitop	background	80000	True	ordinary_background	True
tchannel_top	background	80000	True	ordinary_background	True
ttbar_inclusive	background	1020000	True	ordinary_background	True
tth_hbb	background	40000	True	ordinary_background	True
tttt	background	40000	True	ordinary_background	True
ttw	background	60000	True	ordinary_background	True
ttz_zbb	background	40000	True	ordinary_background	True
tw_antitop	background	70000	True	ordinary_background	True
tw_top	background	70000	True	ordinary_background	True
vbf_hbb	background	50000	True	ordinary_background	True
vbf_hh4b	signal	100000	True	ordinary_signal	True
wh_hbb	background	60000	True	ordinary_background	True
ww	background	40000	True	ordinary_background	True
wwz_zbb	background	26000	True	ordinary_background	True
wz_zbb	background	60000	True	ordinary_background	True
wzz_zbb	background	16500	True	ordinary_background	True
zbbbb	background	250000	True	ordinary_background	True
zzz_zbb	background	7500	True	ordinary_background	True
