sample_class	process_or_mode	campaign	members	generated_events	sumw	sumw2	negative_weight_events	zero_weight_events	positive_weight_events	denominator_frozen	denominator_use_authorized	global_ordinary_registry_frozen	cross_campaign_process_aggregation_authorized	integrated_luminosity_contract_frozen	physical_weight_application_authorized	source_registry
background	tttt	unified_background_5m_waveb_priority_scale400k_20260721_v1	3	30000	275.06073005497456	2.521951048353602	0	0	30000	True	True	True	True	False	False	docs/checkpoints/hh4b_physical_normalization_full_bundle_backed_denominator_freeze_20260729_v1/frozen_campaign_denominator_registry.tsv
background	ttw	unified_background_5m_wavec1_pilot40k_20260721_v1	1	10000	3535.720109939575	1250.1316695831122	0	0	10000	True	True	True	True	False	False	docs/checkpoints/hh4b_physical_normalization_full_bundle_backed_denominator_freeze_20260729_v1/frozen_campaign_denominator_registry.tsv
background	ttw	unified_background_5m_wavec1_scaleout180k_20260721_v2	5	50000	17645.8603143692	6227.563237190274	0	0	50000	True	True	True	True	False	False	docs/checkpoints/hh4b_physical_normalization_full_bundle_backed_denominator_freeze_20260729_v1/frozen_campaign_denominator_registry.tsv
background	ttz_zbb	unified_background_5m_waveb_priority_pilots10k_20260721_v1	1	10000	848.7270027399063	72.0337525179865	0	0	10000	True	True	True	True	False	False	docs/checkpoints/hh4b_physical_normalization_full_bundle_backed_denominator_freeze_20260729_v1/frozen_campaign_denominator_registry.tsv
background	ttz_zbb	unified_background_5m_waveb_priority_scale400k_20260721_v1	3	30000	2548.779994249344	216.54326261656087	0	0	30000	True	True	True	True	False	False	docs/checkpoints/hh4b_physical_normalization_full_bundle_backed_denominator_freeze_20260729_v1/frozen_campaign_denominator_registry.tsv
background	tw_antitop	unified_background_5m_single_top_pilot50k_20260722_v1	1	10000	279978.5041809082	7838796.280337883	0	0	10000	True	True	True	True	False	False	docs/checkpoints/hh4b_physical_normalization_full_bundle_backed_denominator_freeze_20260729_v1/frozen_campaign_denominator_registry.tsv
background	tw_antitop	unified_background_5m_single_top_scaleout280k_20260722_v1	6	60000	1681371.4981079102	47116897.70802695	0	0	60000	True	True	True	True	False	False	docs/checkpoints/hh4b_physical_normalization_full_bundle_backed_denominator_freeze_20260729_v1/frozen_campaign_denominator_registry.tsv
background	tw_top	unified_background_5m_single_top_pilot50k_20260722_v1	1	10000	280492.8970336914	7867626.528635301	0	0	10000	True	True	True	True	False	False	docs/checkpoints/hh4b_physical_normalization_full_bundle_backed_denominator_freeze_20260729_v1/frozen_campaign_denominator_registry.tsv
background	tw_top	unified_background_5m_single_top_scaleout280k_20260722_v1	6	60000	1681723.403930664	47136574.29033199	0	0	60000	True	True	True	True	False	False	docs/checkpoints/hh4b_physical_normalization_full_bundle_backed_denominator_freeze_20260729_v1/frozen_campaign_denominator_registry.tsv
background	vbf_hbb	unified_background_5m_waveb_priority_pilots10k_20260721_v1	1	10000	27932.138442993164	78020.43579985366	0	0	10000	True	True	True	True	False	False	docs/checkpoints/hh4b_physical_normalization_full_bundle_backed_denominator_freeze_20260729_v1/frozen_campaign_denominator_registry.tsv
background	vbf_hbb	unified_background_5m_waveb_priority_scale400k_20260721_v1	4	40000	111710.23845672607	311981.044614032	0	0	40000	True	True	True	True	False	False	docs/checkpoints/hh4b_physical_normalization_full_bundle_backed_denominator_freeze_20260729_v1/frozen_campaign_denominator_registry.tsv
signal	vbf_hh4b	vbf_hh4b_sm_pilot10k_20260722_v1	1	10000	14.25917143933475	0.020332397013633985	0	0	10000	True	True	True	True	False	False	docs/checkpoints/hh4b_physical_normalization_full_bundle_backed_denominator_freeze_20260729_v1/frozen_campaign_denominator_registry.tsv
signal	vbf_hh4b	vbf_hh4b_sm_scaleout90k_20260722_v1	9	90000	128.18485382013023	0.18257224036224087	0	0	90000	True	True	True	True	False	False	docs/checkpoints/hh4b_physical_normalization_full_bundle_backed_denominator_freeze_20260729_v1/frozen_campaign_denominator_registry.tsv
background	wh_hbb	unified_background_5m_wavec1_pilot40k_20260721_v1	1	10000	9130.300283432007	8336.238326563858	0	0	10000	True	True	True	True	False	False	docs/checkpoints/hh4b_physical_normalization_full_bundle_backed_denominator_freeze_20260729_v1/frozen_campaign_denominator_registry.tsv
background	wh_hbb	unified_background_5m_wavec1_scaleout180k_20260721_v2	5	50000	45675.20022392273	41724.52692139444	0	0	50000	True	True	True	True	False	False	docs/checkpoints/hh4b_physical_normalization_full_bundle_backed_denominator_freeze_20260729_v1/frozen_campaign_denominator_registry.tsv
background	ww	unified_background_5m_wavec1_pilot40k_20260721_v1	1	10000	646639.0228271484	41814202.58428494	0	0	10000	True	True	True	True	False	False	docs/checkpoints/hh4b_physical_normalization_full_bundle_backed_denominator_freeze_20260729_v1/frozen_campaign_denominator_registry.tsv
background	ww	unified_background_5m_wavec1_scaleout180k_20260721_v2	3	30000	1940829.0100097656	125560621.39308429	0	0	30000	True	True	True	True	False	False	docs/checkpoints/hh4b_physical_normalization_full_bundle_backed_denominator_freeze_20260729_v1/frozen_campaign_denominator_registry.tsv
background	wwz_zbb	final_background_triboson_zbb_pilot10k_20260722_v1	1	5200	495.21063286066055	47.59866040979362	12	0	5188	True	True	True	True	False	False	docs/checkpoints/hh4b_physical_normalization_full_bundle_backed_denominator_freeze_20260729_v1/frozen_campaign_denominator_registry.tsv
background	wwz_zbb	final_background_triboson_zbb_scaleout40k_20260722_v1	4	20800	1981.8741404861212	189.96938497875948	31	0	20769	True	True	True	True	False	False	docs/checkpoints/hh4b_physical_normalization_full_bundle_backed_denominator_freeze_20260729_v1/frozen_campaign_denominator_registry.tsv
background	wz_zbb	unified_background_5m_wavec1_pilot40k_20260721_v1	1	10000	35566.10107421875	126494.75456215441	0	0	10000	True	True	True	True	False	False	docs/checkpoints/hh4b_physical_normalization_full_bundle_backed_denominator_freeze_20260729_v1/frozen_campaign_denominator_registry.tsv
background	wz_zbb	unified_background_5m_wavec1_scaleout180k_20260721_v2	5	50000	178216.5002822876	635225.6324771099	0	0	50000	True	True	True	True	False	False	docs/checkpoints/hh4b_physical_normalization_full_bundle_backed_denominator_freeze_20260729_v1/frozen_campaign_denominator_registry.tsv
background	wzz_zbb	final_background_triboson_zbb_pilot10k_20260722_v1	1	3300	100.86702873557806	3.0980808166724527	4	0	3296	True	True	True	True	False	False	docs/checkpoints/hh4b_physical_normalization_full_bundle_backed_denominator_freeze_20260729_v1/frozen_campaign_denominator_registry.tsv
background	wzz_zbb	final_background_triboson_zbb_scaleout40k_20260722_v1	4	13200	402.0103596188128	12.332860608401818	24	0	13176	True	True	True	True	False	False	docs/checkpoints/hh4b_physical_normalization_full_bundle_backed_denominator_freeze_20260729_v1/frozen_campaign_denominator_registry.tsv
background	zbbbb	unified_background_5m_wavea_pilots_20260720_retry1	1	10000	68993.02005767822	476003.681667919	0	0	10000	True	True	True	True	False	False	docs/checkpoints/hh4b_physical_normalization_full_bundle_backed_denominator_freeze_20260729_v1/frozen_campaign_denominator_registry.tsv
background	zbbbb	unified_background_5m_wavea_proven111_20260720_v1	9	90000	621061.7017745972	4285794.233383851	0	0	90000	True	True	True	True	False	False	docs/checkpoints/hh4b_physical_normalization_full_bundle_backed_denominator_freeze_20260729_v1/frozen_campaign_denominator_registry.tsv
background	zbbbb	unified_background_5m_wavea_zbbbb_remaining15_20260721_v1	15	150000	1037608.0894470215	7177573.806186401	0	0	150000	True	True	True	True	False	False	docs/checkpoints/hh4b_physical_normalization_full_bundle_backed_denominator_freeze_20260729_v1/frozen_campaign_denominator_registry.tsv
background	zzz_zbb	final_background_triboson_zbb_pilot10k_20260722_v1	1	1500	15.810139574110508	0.1675326584033728	2	0	1498	True	True	True	True	False	False	docs/checkpoints/hh4b_physical_normalization_full_bundle_backed_denominator_freeze_20260729_v1/frozen_campaign_denominator_registry.tsv
background	zzz_zbb	final_background_triboson_zbb_scaleout40k_20260722_v1	4	6000	62.95489630103111	0.6667729344445799	14	0	5986	True	True	True	True	False	False	docs/checkpoints/hh4b_physical_normalization_full_bundle_backed_denominator_freeze_20260729_v1/frozen_campaign_denominator_registry.tsv
