process_or_mode	sample_class	batch	campaigns	generated_events	reference_class	sigma_reference_pb	external_branching_factor	external_H_to_bb_power	effective_reference_factor_pb	additional_k_factor	filter_efficiency_multiplier	exact_generation_scope_embedded	external_Z_to_bb_factor_applied	decay_mode	process_denominator_sumw	process_denominator_sumw2	negative_weight_events	zero_weight_events	positive_weight_events	weight_convention_class	all_campaign_denominators_frozen	all_campaign_denominator_use_authorized	candidate_cross_campaign_process_aggregation_ready	global_ordinary_registry_frozen	cross_campaign_process_aggregation_authorized	integrated_luminosity_contract_frozen	preexisting_batch_process_binding	reference_frozen	physical_weight_application_authorized	physical_yield_calculation_authorized	source_reference_registry	source_process_denominator_binding
bbh_hbb_4fs	background	A	2	50000	authoritative_inclusive_13TeV	0.5277	1	0	0.5277	1	1	False	False		1434.6193888299167	41.16635819828508	1	0	49999	signed_generator_weights	True	True	True	True	True	False	False	True	False	False	docs/checkpoints/hh4b_physical_normalization_batch_A_complete_mixed_reference_freeze_20260731_v1/batch_A_complete_reference_registry.tsv	candidate aggregate from frozen PN-c5l campaign denominators; no Batch-A process-binding TSV exists
ggf_hh4b	signal	A	2	100000	authoritative_inclusive_13TeV	0.03077	0.33918976	2	0.0104368689152	1	1	False	False		99.21761008445174	0.09844231523337046	0	0	100000	positive_generator_weights	True	True	True	True	True	False	False	True	False	False	docs/checkpoints/hh4b_physical_normalization_batch_A_complete_mixed_reference_freeze_20260731_v1/batch_A_complete_reference_registry.tsv	candidate aggregate from frozen PN-c5l campaign denominators; no Batch-A process-binding TSV exists
ggh_hbb	background	A	2	100000	authoritative_inclusive_13TeV	48.58	1	0	48.58	1	1	False	False		1283562.5934734344	16476694.351347933	2	0	99998	signed_generator_weights	True	True	True	True	True	False	False	True	False	False	docs/checkpoints/hh4b_physical_normalization_batch_A_complete_mixed_reference_freeze_20260731_v1/batch_A_complete_reference_registry.tsv	candidate aggregate from frozen PN-c5l campaign denominators; no Batch-A process-binding TSV exists
schannel_single_top	background	B	2	30000	authoritative_inclusive_13TeV_NNLO	11.073	1	0	11.073	1	1	False	False		210001.99794769287	1470034.004201882	0	0	30000	positive_generator_weights	True	True	True	True	True	False	True	True	False	False	docs/checkpoints/hh4b_physical_normalization_batch_B_complete_mixed_reference_freeze_20260731_v1/batch_B_complete_reference_registry.tsv	docs/checkpoints/hh4b_physical_normalization_batch_B_complete_mixed_reference_freeze_20260731_v1/batch_B_process_denominator_binding.tsv
tchannel_antitop	background	B	2	80000	authoritative_inclusive_13TeV_NNLO	80.0	1	0	80.0	1	1	False	False		4651620.025634766	270470010.3965436	0	0	80000	positive_generator_weights	True	True	True	True	True	False	True	True	False	False	docs/checkpoints/hh4b_physical_normalization_batch_B_complete_mixed_reference_freeze_20260731_v1/batch_B_complete_reference_registry.tsv	docs/checkpoints/hh4b_physical_normalization_batch_B_complete_mixed_reference_freeze_20260731_v1/batch_B_process_denominator_binding.tsv
tchannel_top	background	B	2	80000	authoritative_inclusive_13TeV_NNLO	134.2	1	0	134.2	1	1	False	False		8036450.042724609	807309518.3609402	0	0	80000	positive_generator_weights	True	True	True	True	True	False	True	True	False	False	docs/checkpoints/hh4b_physical_normalization_batch_B_complete_mixed_reference_freeze_20260731_v1/batch_B_complete_reference_registry.tsv	docs/checkpoints/hh4b_physical_normalization_batch_B_complete_mixed_reference_freeze_20260731_v1/batch_B_process_denominator_binding.tsv
ttbar_inclusive	background	B	4	1020000	authoritative_inclusive_13TeV_NNLO_NNLL	833.9	1	0	833.9	1	1	False	False		522528495.48339844	267682720973.43274	0	0	1020000	positive_generator_weights	True	True	True	True	True	False	True	True	False	False	docs/checkpoints/hh4b_physical_normalization_batch_B_complete_mixed_reference_freeze_20260731_v1/batch_B_complete_reference_registry.tsv	docs/checkpoints/hh4b_physical_normalization_batch_B_complete_mixed_reference_freeze_20260731_v1/batch_B_process_denominator_binding.tsv
tth_hbb	background	A	2	40000	authoritative_inclusive_13TeV	0.5071	0.5824	1	0.29533504	1	1	False	False		13205.78008890152	4359.8278185355975	0	0	40000	positive_generator_weights	True	True	True	True	True	False	False	True	False	False	docs/checkpoints/hh4b_physical_normalization_batch_A_complete_mixed_reference_freeze_20260731_v1/batch_A_complete_reference_registry.tsv	candidate aggregate from frozen PN-c5l campaign denominators; no Batch-A process-binding TSV exists
tttt	background	B	2	40000	authoritative_inclusive_13TeV_NLO_NLLprime	0.01015	1	0	0.01015	1	1	False	False		366.3682285696268	3.3556569768539246	0	0	40000	positive_generator_weights	True	True	True	True	True	False	True	True	False	False	docs/checkpoints/hh4b_physical_normalization_batch_B_complete_mixed_reference_freeze_20260731_v1/batch_B_complete_reference_registry.tsv	docs/checkpoints/hh4b_physical_normalization_batch_B_complete_mixed_reference_freeze_20260731_v1/batch_B_process_denominator_binding.tsv
ttw	background	B	2	60000	generator_fiducial_LO_campaign_mean	0.3539400100708008	1	0	0.3539400100708008	1	1	True	False		21181.580424308777	7477.694906773386	0	0	60000	positive_generator_weights	True	True	True	True	True	False	True	True	False	False	docs/checkpoints/hh4b_physical_normalization_batch_B_complete_mixed_reference_freeze_20260731_v1/batch_B_complete_reference_registry.tsv	docs/checkpoints/hh4b_physical_normalization_batch_B_complete_mixed_reference_freeze_20260731_v1/batch_B_process_denominator_binding.tsv
