k_lattice,n_events
2,255
4,228
6,212
8,212
10,204
12,223
14,249
16,232
18,229
20,265
22,214
24,218
26,211
28,188
30,223
32,193
34,208
36,188
38,171
40,227
42,190
44,176
46,177
48,186
50,164
52,160
54,142
56,148
58,170
60,143
62,151
64,165
66,144
68,141
70,151
72,140
74,127
76,133
78,131
80,132
82,117
84,127
86,113
88,120
90,102
92,113
94,89
96,112
98,116
100,108
102,112
104,102
106,105
108,102
110,114
112,108
114,97
116,97
118,87
120,92
122,104
124,92
126,93
128,90
130,86
132,88
134,97
136,80
138,76
140,80
142,71
144,65
146,80
148,75
150,73
152,71
154,71
156,84
158,84
160,56
162,60
164,80
166,73
168,86
170,73
172,71
174,65
176,69
178,66
180,62
182,62
184,54
186,59
188,58
190,57
192,61
194,65
196,58
198,72
200,62
202,62
204,52
206,60
208,54
210,53
212,63
214,53
216,58
218,37
220,47
222,35
224,52
226,47
228,72
230,45
232,34
234,45
236,49
238,54
240,45
242,42
244,47
246,44
248,49
250,35
252,47
254,47
256,46
258,31
260,49
262,40
264,51
266,39
268,48
270,39
272,38
274,38
276,52
278,51
280,33
282,44
284,51
286,44
288,35
290,45
292,43
294,44
296,39
298,43
300,36
302,28
304,42
306,38
308,31
310,41
312,36
314,37
316,35
318,36
320,38
322,37
324,40
326,27
328,32
330,36
332,42
334,30
336,30
338,38
340,32
342,37
344,36
346,38
348,22
350,37
352,32
354,33
356,34
358,45
360,31
362,20
364,34
366,35
368,29
370,25
372,27
374,37
376,35
378,32
380,37
382,39
384,30
386,28
388,17
390,34
392,35
394,24
396,33
398,28
400,28
402,28
404,24
406,28
408,37
410,22
412,29
414,23
416,22
418,26
420,21
422,24
424,35
426,31
428,22
430,30
432,27
434,31
436,19
438,27
440,20
442,22
444,31
446,33
448,29
450,23
452,26
454,21
456,23
458,27
460,19
462,23
464,17
466,16
468,29
470,19
472,33
474,24
476,23
478,26
480,25
482,21
484,28
486,19
488,20
490,17
492,15
494,22
496,32
498,19
500,18
502,22
504,27
506,20
508,28
510,19
512,27
514,27
516,22
518,24
520,21
522,16
524,17
526,18
528,8
530,12
532,18
534,21
536,20
538,22
540,27
542,21
544,24
546,17
548,19
550,24
552,16
554,26
556,21
558,19
560,20
562,16
564,19
566,17
568,17
570,12
572,16
574,16
576,15
578,22
580,10
582,22
584,23
586,21
588,22
590,18
592,18
594,11
596,20
598,20
600,17
602,16
604,23
606,22
608,23
610,12
612,17
614,16
616,17
618,18
620,16
622,11
624,14
626,11
628,14
630,18
632,18
634,8
636,11
638,17
640,14
642,20
644,16
646,15
648,27
650,10
652,10
654,19
656,17
658,19
660,16
662,8
664,11
666,13
668,12
670,15
672,15
674,22
676,13
678,23
680,13
682,15
684,15
686,18
688,12
690,14
692,7
694,23
696,14
698,14
700,19
702,13
704,16
706,16
708,14
710,14
712,7
714,19
716,12
718,25
720,13
722,11
724,13
726,16
728,20
730,15
732,15
734,15
736,16
738,17
740,11
742,17
744,13
746,15
748,14
750,8
752,7
754,10
756,21
758,14
760,21
762,10
764,12
766,10
768,11
770,9
772,13
774,5
776,16
778,7
780,11
782,12
784,9
786,4
788,16
790,15
792,10
794,8
796,8
798,6
800,10
802,13
804,16
806,11
808,14
810,9
812,20
814,13
816,11
