feature,signal_median,lane1_median,lane1_ratio_to_signal,lane2_median,lane2_ratio_to_signal,both_lanes_boosted_gt1p5x
pT_H1,173.02210795532966,337.00118283042264,1.9477348115388158,549.4823485940818,3.175792706998724,True
jet1_pt,165.21066284179688,254.40284729003906,1.5398694183174557,549.8615112304688,3.3282446893697624,True
HT,456.4609069824219,575.7196655273438,1.261268285455855,1138.5902709960938,2.4943872598490464,False
pT_H2,146.84365588884523,178.95623221328194,1.2186854864792023,433.0341030972246,2.9489466226924645,False
jet2_pt,113.97019958496094,130.47373962402344,1.1448057483373948,342.7494201660156,3.007360006512119,False
