frac_of_final_selected,n_files_done,n_files_total,cum_selected_events,cum_generated_events_approx,n_qcd_survivors_u35,n_qcd_survivors_u45,rate_u35_per_1e9_generated,rate_u45_per_1e9_generated,running_weight_450fb,running_B_u35,running_B_u45
0.125,23,176,3617065.0,11500000000.0,4,0,0.34782608695652173,0.0,176.97130434782608,707.8852173913043,0.0
0.25,45,176,7077060.0,22500000000.0,6,0,0.26666666666666666,0.0,90.452,542.712,0.0
0.375,67,176,10535091.0,33500000000.0,11,3,0.3283582089552239,0.08955223880597016,60.75134328358209,668.264776119403,182.25402985074626
0.5,89,176,13998280.0,44500000000.0,12,3,0.2696629213483146,0.06741573033707865,45.734157303370786,548.8098876404495,137.20247191011237
0.625,111,176,17457928.0,55500000000.0,15,4,0.27027027027027023,0.07207207207207207,36.66972972972973,550.045945945946,146.67891891891892
0.75,133,176,20917133.0,66500000000.0,18,4,0.2706766917293233,0.06015037593984963,30.60406015037594,550.8730827067669,122.41624060150376
0.875,155,176,24376009.0,77500000000.0,20,4,0.25806451612903225,0.05161290322580645,26.26025806451613,525.2051612903226,105.04103225806452
1.0,176,176,27683689.0,88000000000.0,22,5,0.25,0.056818181818181816,23.126931818181816,508.79249999999996,115.63465909090908
