frac_of_final_selected,n_files_done,n_files_total,cum_selected_events,cum_generated_events_approx,n_qcd_survivors_u35,n_qcd_survivors_u45,rate_u35_per_1e9_generated,rate_u45_per_1e9_generated,running_weight_450fb,running_B_u35,running_B_u45
0.125,48,381,7551141.0,23981387815.007225,3,0,0.1250970136983749,0.0,84.86456312284055,254.59368936852167,0.0
0.25,96,381,15098285.0,47950081706.39462,11,0,0.22940523996089543,0.0,42.443514746474136,466.8786622112155,0.0
0.375,143,381,22501072.0,71460317571.26509,20,2,0.27987561040509845,0.027987561040509847,28.47972230140721,569.5944460281443,56.95944460281442
0.5,191,381,30067019.0,95488727210.91962,25,3,0.2618110087987551,0.031417321055850614,21.313196431078495,532.8299107769624,63.939589293235485
0.625,238,381,37465389.0,118984935289.79338,30,5,0.2521327588819004,0.04202212648031674,17.104434229789245,513.1330268936773,85.52217114894623
0.75,286,381,45023609.0,142988805037.57635,33,6,0.23078729828763764,0.04196132696138866,14.233072298668228,469.6913858560515,85.39843379200937
0.875,334,381,52581562.0,166991826829.99118,39,7,0.23354436405863502,0.04191821919001142,12.187243164133648,475.30248340121227,85.31070214893553
1.0,381,381,59939617.0,190359999999.9999,46,7,0.24164740491699946,0.03677243118302166,10.69116411010717,491.79354906492983,74.8381487707502
