derived_on,threshold,eval_lane,eval_threshold,eval_n_ttbar_before,eval_n_ttbar_after,eval_ttbar_rejection,eval_ttbar_rejection_ci68_lo,eval_ttbar_rejection_ci68_hi,eval_n_signal_before,eval_n_signal_after,eval_signal_efficiency
inference_ttbar_1,337.00118283042264,inference_ttbar_2,337.00118283042264,16,5,0.6875,0.5635125625313441,0.7894286139392442,27339,26212,0.958776838948023
inference_ttbar_2,549.4823485940818,inference_ttbar_1,549.4823485940818,11,7,0.36363636363636365,0.23566989274432185,0.5143301072556783,27339,27278,0.9977687552580563
