representative_index	member_index	sample_class	process_or_mode	dataset_split	candidate_rows	zero_row_4b_candidate_file	resolution_method	layout_rule	bundle_campaign	schema_stratum_key	representative_selection_reasons	remote_bundle_path	root_container_member	root_archive_member	root_basename	archive_depth
1	1	signal	ggf_hh4b	train	58	False	candidate_source_root_nested_reconstruction_bundle	nested_reconstruction_bundle_source_root_basename	ggf_hh4b_ml_ext20k_frozen_v2_20260716	"[""candidate_source_root_nested_reconstruction_bundle"",""nested_reconstruction_bundle_source_root_basename"",""ggf_hh4b_ml_ext20k_frozen_v2_20260716"",""ggf_hh4b""]"	"[""ggf_source_campaign_coverage"",""primary_schema_stratum"",""source_layout_train_coverage""]"	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/ggf_hh4b_ml_ext20k_frozen_v2_20260716/HH4b_ggf_ggf_hh4b_ml_ext20k_frozen_v2_20260716_shard000_seed86000_bundle.tar.gz	products/HH4b_ggf_ggf_hh4b_ml_ext20k_frozen_v2_20260716_shard000_seed86000_reconstruction.tar.gz	root/HH4b_ggf_hh4b_ml_ext20k_frozen_v2_20260716_cluster_3586817_shard_16000_1000_pythia8_delphes.root	HH4b_ggf_hh4b_ml_ext20k_frozen_v2_20260716_cluster_3586817_shard_16000_1000_pythia8_delphes.root	2
2	15	signal	ggf_hh4b	validation	60	False	candidate_source_root_nested_reconstruction_bundle	nested_reconstruction_bundle_source_root_basename	ggf_hh4b_ml_ext20k_frozen_v2_20260716	"[""candidate_source_root_nested_reconstruction_bundle"",""nested_reconstruction_bundle_source_root_basename"",""ggf_hh4b_ml_ext20k_frozen_v2_20260716"",""ggf_hh4b""]"	"[""source_layout_validation_coverage""]"	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/ggf_hh4b_ml_ext20k_frozen_v2_20260716/HH4b_ggf_ggf_hh4b_ml_ext20k_frozen_v2_20260716_shard014_seed86014_bundle.tar.gz	products/HH4b_ggf_ggf_hh4b_ml_ext20k_frozen_v2_20260716_shard014_seed86014_reconstruction.tar.gz	root/HH4b_ggf_hh4b_ml_ext20k_frozen_v2_20260716_cluster_3586817_shard_16014_1000_pythia8_delphes.root	HH4b_ggf_hh4b_ml_ext20k_frozen_v2_20260716_cluster_3586817_shard_16014_1000_pythia8_delphes.root	2
3	18	signal	ggf_hh4b	train	74	False	candidate_source_root_nested_reconstruction_bundle	nested_reconstruction_bundle_source_root_basename	ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1	"[""candidate_source_root_nested_reconstruction_bundle"",""nested_reconstruction_bundle_source_root_basename"",""ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1"",""ggf_hh4b""]"	"[""ggf_source_campaign_coverage"",""primary_schema_stratum""]"	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1/HH4b_ggf_ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1_shard020_seed86020_bundle.tar.gz	products/HH4b_ggf_ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1_shard020_seed86020_reconstruction.tar.gz	root/HH4b_ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1_cluster_59851531_shard_16020_1000_pythia8_delphes.root	HH4b_ggf_hh4b_ml_ext80k_frozen_v2_20260721_v1_cluster_59851531_shard_16020_1000_pythia8_delphes.root	2
4	98	signal	vbf_hh4b	validation	581	False	vbf_registry_standard_bundle_layout	standard_bundle_root_target_tag	vbf_hh4b_sm_pilot10k_20260722_v1	"[""vbf_registry_standard_bundle_layout"",""standard_bundle_root_target_tag"",""vbf_hh4b_sm_pilot10k_20260722_v1"",""vbf_hh4b""]"	"[""primary_schema_stratum"",""source_layout_validation_coverage"",""vbf_coverage""]"	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/vbf_hh4b_sm_pilot10k_20260722_v1/vbf_hh4b_sm_run2_frozen_v2_pilot_shard9301_10k_bundle.tar.gz		root/vbf_hh4b_sm_run2_frozen_v2_pilot_shard9301_10k_delphes.root	vbf_hh4b_sm_run2_frozen_v2_pilot_shard9301_10k_delphes.root	1
5	99	signal	vbf_hh4b	train	612	False	vbf_registry_standard_bundle_layout	standard_bundle_root_target_tag	vbf_hh4b_sm_scaleout90k_20260722_v1	"[""vbf_registry_standard_bundle_layout"",""standard_bundle_root_target_tag"",""vbf_hh4b_sm_scaleout90k_20260722_v1"",""vbf_hh4b""]"	"[""primary_schema_stratum"",""source_layout_train_coverage""]"	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/vbf_hh4b_sm_scaleout90k_20260722_v1/vbf_hh4b_sm_run2_frozen_v2_train_shard9401_10k_bundle.tar.gz		root/vbf_hh4b_sm_run2_frozen_v2_train_shard9401_10k_delphes.root	vbf_hh4b_sm_run2_frozen_v2_train_shard9401_10k_delphes.root	1
6	108	background	bbh_hbb_4fs	train	344	False	background_receipt_standard_bundle_layout	standard_bundle_root_target_tag	bbh_hbb_4fs_scaleout40k_20260722_v1	"[""background_receipt_standard_bundle_layout"",""standard_bundle_root_target_tag"",""bbh_hbb_4fs_scaleout40k_20260722_v1"",""bbh_hbb_4fs""]"	"[""background_process_coverage"",""primary_schema_stratum""]"	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/bbh_hbb_4fs_scaleout40k_20260722_v1/bbh_hbb_4fs_run2_frozen_v2_train_shard9801_10k_bundle.tar.gz		root/bbh_hbb_4fs_run2_frozen_v2_train_shard9801_10k_delphes.root	bbh_hbb_4fs_run2_frozen_v2_train_shard9801_10k_delphes.root	1
7	112	background	bbh_hbb_4fs	validation	344	False	background_receipt_standard_bundle_layout	standard_bundle_root_target_tag	bbh_hbb_4fs_pilot10k_20260722_v1	"[""background_receipt_standard_bundle_layout"",""standard_bundle_root_target_tag"",""bbh_hbb_4fs_pilot10k_20260722_v1"",""bbh_hbb_4fs""]"	"[""primary_schema_stratum""]"	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/bbh_hbb_4fs_pilot10k_20260722_v1/bbh_hbb_4fs_run2_frozen_v2_pilot_shard9602_10k_bundle.tar.gz		root/bbh_hbb_4fs_run2_frozen_v2_pilot_shard9602_10k_delphes.root	bbh_hbb_4fs_run2_frozen_v2_pilot_shard9602_10k_delphes.root	1
8	113	background	ggh_hbb	train	7	False	background_receipt_standard_bundle_layout	standard_bundle_root_target_tag	ggh_hbb_scaleout90k_20260722_v1	"[""background_receipt_standard_bundle_layout"",""standard_bundle_root_target_tag"",""ggh_hbb_scaleout90k_20260722_v1"",""ggh_hbb""]"	"[""background_process_coverage"",""primary_schema_stratum""]"	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/ggh_hbb_scaleout90k_20260722_v1/ggh_hbb_run2_frozen_v2_train_shard9701_10k_bundle.tar.gz		root/ggh_hbb_run2_frozen_v2_train_shard9701_10k_delphes.root	ggh_hbb_run2_frozen_v2_train_shard9701_10k_delphes.root	1
9	121	background	ggh_hbb	validation	3	False	background_receipt_standard_bundle_layout	standard_bundle_root_target_tag	ggh_hbb_pilot10k_20260722_v1	"[""background_receipt_standard_bundle_layout"",""standard_bundle_root_target_tag"",""ggh_hbb_pilot10k_20260722_v1"",""ggh_hbb""]"	"[""primary_schema_stratum""]"	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/ggh_hbb_pilot10k_20260722_v1/ggh_hbb_run2_frozen_v2_pilot_shard9601_10k_bundle.tar.gz		root/ggh_hbb_run2_frozen_v2_pilot_shard9601_10k_delphes.root	ggh_hbb_run2_frozen_v2_pilot_shard9601_10k_delphes.root	1
10	123	background	qcd_hardqcd	train	0	True	background_receipt_standard_bundle_layout	standard_bundle_root_target_tag	qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718	"[""background_receipt_standard_bundle_layout"",""standard_bundle_root_target_tag"",""qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718"",""qcd_hardqcd""]"	"[""background_process_coverage"",""primary_schema_stratum"",""zero_row_background_campaign_coverage""]"	/store/user/iturkmen/hh4b_delphes/run2_13tev/frozen_v2/bundles/qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718/qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin00_pthat50to75_shard1033_seed1201033_bundle.tar.gz		root/qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin00_pthat50to75_shard1033_seed1201033_delphes.root	qcd_hardqcd_importance_adaptive1500k_phys_wave3_20260718_bin00_pthat50to75_shard1033_seed1201033_delphes.root	1
