category	rhh_low	rhh_high	signal_rows	background_rows	qcd_rows	signal_yield	background_yield	qcd_yield	background_sumw2	qcd_sumw2	negative_rows	negative_yield	nonqcd_yield	background_neff	qcd_neff	s_over_b	small_signal_information_s2_over_b	contributing_source_groups	largest_source_fraction	top5_source_fractions	largest_event_abs_weight_fraction	importance_qcd_yield	ordinary_physical_qcd_yield	support	fraction_small_signal_information
exact3tag	0.0	10.0	2589	5665	12	22.894743994438688	4259032.395523697	3937487.986430553	2420909847160.6763	2420873711603.1006	0	0.0	321544.40909314435	7.492784982222598	6.40422157049172	5.3755740431797105e-06	0.00012307239154174917	170	0.1652689815450712	0.165268981545,0.165240150823,0.165143931996,0.164631360501,0.106612539442	0.1652689815450712	3937487.986430553	0.0	UNSUPPORTED	0.032631598704009335
exact3tag	10.0	20.0	5648	12657	38	50.47255125170218	13314038.499783667	12598809.037275627	12170998032069.512	12170917337917.998	1	-0.2560621549198236	715229.4625080395	14.564427724550413	13.041744081460582	3.790927242137859e-06	0.00019133776952027712	194	0.14106631404337458	0.141066314043,0.140326780284,0.105925197813,0.0532127865438,0.053170885994	0.1410663086172609	12598809.037275627	0.0	UNSUPPORTED	0.05073158353137154
exact3tag	20.0	30.0	5345	14308	50	47.425752925327075	23574755.487066675	22801304.812874157	22576099577841.613	22576012702817.01	0	0.0	773450.674192518	24.61758703529401	23.02884517356449	2.0117177016468006e-06	9.540722667380801e-05	199	0.0802314524262832	0.0802314524263,0.0798949525264,0.0796833752582,0.07897140522,0.0581276861814	0.0802314524262832	22801304.812874157	0.0	LIMITED	0.025296415347759407
exact3tag	30.0	34.0	1840	5378	17	16.048130392109368	6035459.792268061	5763860.691809857	3264418656966.0107	3264387975983.067	0	0.0	271599.1004582038	11.15873260506969	10.177126713801846	2.658973954671754e-06	4.267156073379501e-05	176	0.1505724263771362	0.150572426377,0.118249224632,0.116701494689,0.116536830747,0.116340419833	0.11824922463189141	5763860.691809857	0.0	UNSUPPORTED	0.011314001690351575
ge4tag	0.0	10.0	925	795	2	8.253163951585474	469046.6314989571	454473.9526897271	206510716548.62457	206509155725.98288	0	0.0	14572.678809229983	1.0653429816980786	1.0001811926803434	1.7595615014247947e-05	0.0001452194955415673	108	0.9688435055810205	0.968843505581,0.000961809364006,0.000961756174606,0.00096165885176,0.000961421734789	0.9688435055810205	454473.9526897271	0.0	UNSUPPORTED	0.03850371511553506
ge4tag	10.0	20.0	2001	1900	2	17.781829462334148	217492.67256088127	183995.3226107294	33092971437.402565	33089426839.658974	0	0.0	33497.34995015187	1.4293990706501358	1.023114691791842	8.175829214364268e-05	0.0014538120080299479	126	0.8363171094149999	0.836317109415,0.0096668975139,0.00466632456834,0.00363430764789,0.00363066230818	0.8363171094149999	183995.3226107294	0.0	UNSUPPORTED	0.38546589891373306
ge4tag	20.0	30.0	1888	2539	2	16.266019776059046	760809.7746757187	712959.2106901107	505348108023.58954	505343059979.1195	0	0.0	47850.56398560805	1.1454114580658492	1.005872794867053	2.1379877490391262e-05	0.0003477655100684239	142	0.9343620629649031	0.934362062965,0.00274368202108,0.00148256915532,0.00133564110206,0.00133446727637	0.9343620629649031	712959.2106901107	0.0	UNSUPPORTED	0.0922070695587187
ge4tag	30.0	34.0	663	1089	0	5.582246052031086	22707.724704072778	0.0	2394970.05998244	0.0	0	0.0	22707.724704072778	215.30154796162162	0.0	0.0002458302681038701	0.0013722850435925723	120	0.02985404530251992	0.0298540453025,0.0298332782976,0.0297916572702,0.0297884287415,0.0297676368745	0.010213563576681512	0.0	0.0	UNSUPPORTED	0.3638497171385213
