role	path	bytes	sha256
common_cache_summary	docs/checkpoints/hh4b_full_5m_200k_development_common_cache_20260728_v2/summary.json	2066	83f7f80b4f7ef8fcd4b2ec1c79e10fc9f14dc0b679695da8ceb2240c6d66dee2
common_cache_inventory	docs/checkpoints/hh4b_full_5m_200k_development_common_cache_20260728_v2/cache_artifact_inventory.tsv	822	a756679d451669a2938745fb6c046a51883f10b343156af178318f81d59bf012
common_feature_contract	docs/checkpoints/hh4b_full_5m_200k_development_common_cache_20260728_v2/feature_contract.json	2884	c5ad391e1244c9fe161dc185fabe746bd930bd3a6d55f2eb660087ff6ddba6ba
development_manifest	docs/checkpoints/hh4b_full_5m_200k_expanded_manifest_split_20260728_v1/development_manifest.tsv	526723	9714959c0f0427385de9dca66d9437d4a2b9d10f66c89a68e54fd537a1699b54
global_selected_hyperparameters	docs/checkpoints/hh4b_bdt_v1_grouped_cv_20260725_v1/selected_hyperparameters.tsv	787	1aeebfb0ae13393bd20f161d2bc1417e461b33ed4a9ae03e70316bb17e50740f
categorized_selected_hyperparameters	docs/checkpoints/hh4b_bdt_v2_cms_inspired_grouped_cv_20260726_v1/selected_category_hyperparameters.tsv	542	3e9d3835faef3caeb7613191941f5804c85591a5343a5b8467951ab695439536
prior_validation_configuration	configs/baselines/hh4b_bdt_validation_selection_v1.yaml	5926	ff49ef8eaf256f13a08391d8999723606b7af1070fea3ed710e885ab473445d1
expanded_protocol_configuration	configs/baselines/hh4b_expanded_cut_bdt_protocol_v1.json	10413	55e03bc9687b7837e36b8dc76b51f6928d0c3d8e448b913f9149f64c52497307
development_all_cache	outputs/agent_runs/hh4b_full_5m_200k_development_common_cache_20260728_v2/cache/development_all_canonical72_plus_features.parquet	32977848	bc7f574e84f26efd706b09e92071d86ded5699dfa773268849410cd84c42c707
development_train_cache	outputs/agent_runs/hh4b_full_5m_200k_development_common_cache_20260728_v2/cache/development_train_canonical72_plus_features.parquet	27448012	da5ad0750a98986bf1687b66b223a2851a131fbf86aeb05753a71b84ca5cf6b7
development_validation_cache	outputs/agent_runs/hh4b_full_5m_200k_development_common_cache_20260728_v2/cache/development_validation_canonical72_plus_features.parquet	5532575	1f14ffca2d9fdb954bee07c9652414f34df467e8b47680b2b14b254e0fe2e2a0
