sample_class	process_or_mode	balancing_stratum	status
background	bbh_hbb_4fs	single_higgs	frozen
background	ggh_hbb	single_higgs	frozen
background	qcd_bbbb_general	qcd_multijet	frozen
background	qcd_bbbb_iht400to600	qcd_multijet	frozen
background	qcd_hardqcd	qcd_multijet	frozen
background	schannel_single_top	single_top	frozen
background	tchannel_antitop	single_top	frozen
background	tchannel_top	single_top	frozen
background	ttbar_inclusive	ttbar	frozen
background	tth_hbb	top_associated	frozen
background	tttt	top_associated	frozen
background	ttw	top_associated	frozen
background	ttz_zbb	top_associated	frozen
background	tw_antitop	single_top	frozen
background	tw_top	single_top	frozen
background	vbf_hbb	single_higgs	frozen
background	wh_hbb	single_higgs	frozen
background	ww	diboson	frozen
background	wwz_zbb	triboson	frozen
background	wz_zbb	diboson	frozen
background	wzz_zbb	triboson	frozen
background	zbbbb	zbbbb	frozen
background	zzz_zbb	triboson	frozen
signal	ggf_hh4b	ggf_hh4b	frozen
signal	vbf_hh4b	vbf_hh4b	frozen
