selection_id	evaluation_role	scope	outer_fold	sqrt_s_tev	luminosity_fb_inverse	luminosity_pb_inverse_internal	yield_interpretation	signal_total_rows	signal_selected_rows	signal_negative_weight_rows	signal_selected_negative_weight_rows	signal_total_signed_yield	signal_selected_signed_yield	signal_total_sumw2	signal_selected_sumw2	signal_physical_efficiency	signal_raw_efficiency	signal_total_effective_events	signal_selected_effective_events	signal_finite_mc_relative_uncertainty	background_total_rows	background_selected_rows	background_negative_weight_rows	background_selected_negative_weight_rows	background_total_signed_yield	background_selected_signed_yield	background_total_sumw2	background_selected_sumw2	background_physical_efficiency	background_raw_efficiency	background_total_effective_events	background_selected_effective_events	background_finite_mc_relative_uncertainty	background_rejection	signal_over_background	asimov_significance_stat_only	systematics_included	official_cms_result	validation_payloads_opened	test_payloads_opened
nested_outer_oof	primary_train_only_generalization_estimate_pooled_nested_outer_oof	exact3tag	0	13.0	138.0	138000.0	Run-2 expected-yield projection	5405	3167	0	0	54.1614917640692	32.68483750225907	0.7335798599699261	0.44538246697105166	0.6034700381709618	0.5859389454209065	3998.8382317769688	2398.609468878165	0.020418330447709396	16005	7788	1	0	29804053.907410175	8465617.728033759	23107202262838.92	4513220868351.37	0.2840424914789513	0.4865979381443299	38.44176457244022	15.879276819744588	0.25094852081706903	3.5206000158398982	3.860892205659576e-06	0.0112335422703028	False	False	0	0
nested_outer_oof	primary_train_only_generalization_estimate_pooled_nested_outer_oof	ge4tag	0	13.0	138.0	138000.0	Run-2 expected-yield projection	1834	1065	0	0	18.47947620006338	10.929824587886351	0.2505953254362041	0.14876539969164226	0.5914574888139342	0.5806979280261723	1362.7191171035824	803.0164659899505	0.035288871854289194	4361	1184	0	0	525078.5564721678	19097.361518046677	205862359562.0135	6204131.603596451	0.03637048453541055	0.2714973629901399	1.3392807264692899	58.78489372139577	0.13042688776879227	27.494822045232674	0.0005723211857071385	0.07908335570015455	False	False	0	0
nested_outer_oof	primary_train_only_generalization_estimate_pooled_nested_outer_oof	combined	0	13.0	138.0	138000.0	Run-2 expected-yield projection	7239	4232	0	0	72.64096796413259	43.61466209014542	0.9841751854061302	0.5941478666626939	0.6004141094551593	0.584611134134549	5361.555854091816	3201.6251441284667	0.017673182369838416	20366	8972	1	0	30329132.463882342	8484715.089551805	23313064622400.934	4513227072482.974	0.279754625347622	0.44053815182166356	39.456686236259785	15.95097897683713	0.2503838590234824	3.574561095307732	5.1403802755679e-06	0.014973161475931071	False	False	0	0
nested_outer_oof	primary_train_only_generalization_estimate_pooled_nested_outer_oof	exact3tag	1	13.0	138.0	138000.0	Run-2 expected-yield projection	5750	3262	0	0	36.06719549015676	21.875775165636515	0.42762423067765104	0.26577702399643827	0.6065283110688968	0.567304347826087	3042.0226385762903	1800.5677537569704	0.023566509673024313	15827	7650	0	0	55881415.580051094	17637795.28855124	78465452673582.3	23141657994879.27	0.3156289994709385	0.4833512352309345	39.79754784849074	13.442935796116165	0.2727425758577466	3.168276684576554	1.2402783232117545e-06	0.0052088423408977605	False	False	0	0
nested_outer_oof	primary_train_only_generalization_estimate_pooled_nested_outer_oof	ge4tag	1	13.0	138.0	138000.0	Run-2 expected-yield projection	1911	1113	0	0	11.612878134358706	6.982171037635143	0.13599229545540276	0.0827954113933083	0.6012438050974792	0.5824175824175825	991.6660213128919	588.8093504023719	0.04121095236453211	4240	1202	0	0	1973111.9877702089	25861.51103178508	3590915111173.7	2765628.3496072683	0.013106965642133104	0.28349056603773587	1.0841723615710903	241.83211491237304	0.06430474391073367	76.29530947921629	0.0002699831045855638	0.04341541881479875	False	False	0	0
nested_outer_oof	primary_train_only_generalization_estimate_pooled_nested_outer_oof	combined	1	13.0	138.0	138000.0	Run-2 expected-yield projection	7661	4375	0	0	47.68007362451547	28.85794620327166	0.5636165261330538	0.3485724353897466	0.6052412257273421	0.5710742722882131	4033.5748073904665	2389.1190883747595	0.02045884447438756	20067	8852	0	0	57854527.5678213	17663656.799583025	82056367784756.0	23141660760507.617	0.3053115727006222	0.44112224049434395	40.79081795182275	13.482384637921369	0.2723432673928239	3.275342598888529	1.6337469942210884e-06	0.006866335062192567	False	False	0	0
nested_outer_oof	primary_train_only_generalization_estimate_pooled_nested_outer_oof	exact3tag	2	13.0	138.0	138000.0	Run-2 expected-yield projection	5715	3309	0	0	35.90021630867406	21.912349034972515	0.4258859716230072	0.26502583818604675	0.6103681617561213	0.579002624671916	3026.2220802859665	1811.7140710386032	0.023493902998752775	16759	8640	0	0	11793863.70345349	3858498.185310789	4444460747947.732	1707093173967.0198	0.32716150384042	0.5155438868667581	31.296309933632802	8.721262830340553	0.3386182122833594	3.0565943372352615	5.67898389025873e-06	0.011155251750175656	False	False	0	0
nested_outer_oof	primary_train_only_generalization_estimate_pooled_nested_outer_oof	ge4tag	2	13.0	138.0	138000.0	Run-2 expected-yield projection	1909	1096	0	0	12.222689561502637	7.286240009962321	0.14603275934743992	0.08824831263718802	0.5961241159974747	0.574122577265584	1023.0179911990039	601.5898989597654	0.040770846844507914	4260	1382	0	0	770812.3378158313	25633.59156175971	241653155926.64523	6773259.103119521	0.033255294841796235	0.3244131455399061	2.4586960507540994	97.01105573423146	0.1015288307206449	30.070399458409568	0.00028424577150678963	0.04550699626114191	False	False	0	0
nested_outer_oof	primary_train_only_generalization_estimate_pooled_nested_outer_oof	combined	2	13.0	138.0	138000.0	Run-2 expected-yield projection	7624	4405	0	0	48.122905870176695	29.198589044934835	0.5719187309704471	0.35327415082323477	0.6067503305744912	0.5777806925498427	4049.2013007868286	2413.303096839306	0.02035607605842188	21019	10022	0	0	12564676.041269321	3884131.7768725487	4686113903874.378	1707099947226.1228	0.3091310722309846	0.47680669870117515	33.68912648314478	8.837490555034705	0.33638414572081077	3.234873779536448	7.517404331849201e-06	0.014815432823766775	False	False	0	0
nested_outer_oof	primary_train_only_generalization_estimate_pooled_nested_outer_oof	exact3tag	3	13.0	138.0	138000.0	Run-2 expected-yield projection	5433	3241	0	0	53.54793515855517	33.42321072953524	0.722687455291442	0.45535932758598185	0.6241736610491008	0.5965396650101233	3967.664498325192	2453.2516362256456	0.02018965749233494	16110	7905	0	0	30489762.156161867	8285580.621848283	19244388741599.79	4001184588357.994	0.27174959841967145	0.49068901303538176	48.30631977048913	17.157630377987815	0.2414189441223202	3.679858243822199	4.033900851969436e-06	0.011611448529361275	False	False	0	0
