criterion,available,qcd_threshold,top_threshold,signal_events_450fb,background_events_450fb,S_over_B,S_over_sqrtB,S_over_sqrtB_10pct_syst,n_signal_test_rows,n_background_test_rows,neff_background_rows
raw_best_no_stability_cut,True,0.95,0.6,15.961590135428755,8143.042390387135,0.0019601506869559,0.1768816606346457,0.0194822467836813,7.0,3.0,1.1429810927418884
min_10_bkg_rows,True,0.925,0.55,19.08417256307549,17179.59206937101,0.0011108629638011,0.1456018560840136,0.0110764392131449,8.0,10.0,2.539337594860306
_stability_cut,True,0.95,0.6,15.961590135428755,8143.042390387135,0.0019601506869559,0.1768816606346457,0.0194822467836813,7.0,3.0,1.1429810927418884
min_10min_25_bkg_rows,True,0.75,0.575,47.202933959005,182503.3362463468,0.0002586414853002,0.1104927008887301,0.0025857065502117,34.0,155.0,48.70739687944425
min_50_bkg_rows,True,0.75,0.575,47.202933959005,182503.3362463468,0.0002586414853002,0.1104927008887301,0.0025857065502117,34.0,155.0,48.70739687944425
min_10_neff_bkg,True,0.75,0.575,47.202933959005,182503.3362463468,0.0002586414853002,0.1104927008887301,0.0025857065502117,34.0,155.0,48.70739687944425
min_25_neff_bkg,True,0.75,0.575,47.202933959005,182503.3362463468,0.0002586414853002,0.1104927008887301,0.0025857065502117,34.0,155.0,48.70739687944425
